PRDO,Date
13.400809288024902,2001-06-05
13.48908519744873,2001-06-06
13.30272388458252,2001-06-07
13.045252799987793,2001-06-08
12.753450393676758,2001-06-11
12.608774185180664,2001-06-12
13.400809288024902,2001-06-13
13.229161262512207,2001-06-14
13.241421699523926,2001-06-15
13.229161262512207,2001-06-18
12.996209144592285,2001-06-19
14.185484886169434,2001-06-20
13.913301467895508,2001-06-21
13.70487117767334,2001-06-22
14.435601234436035,2001-06-25
14.491999626159668,2001-06-26
14.852461814880371,2001-06-27
14.712690353393555,2001-06-28
14.688170433044434,2001-06-29
14.011385917663574,2001-07-02
14.501809120178223,2001-07-03
14.160964012145996,2001-07-05
14.332612991333008,2001-07-06
14.531233787536621,2001-07-09
14.98978042602539,2001-07-10
14.705334663391113,2001-07-11
15.391926765441895,2001-07-12
15.141810417175293,2001-07-13
15.472846031188965,2001-07-16
16.068710327148438,2001-07-17
15.622425079345703,2001-07-18
15.389472961425781,2001-07-19
15.328170776367188,2001-07-20
15.178593635559082,2001-07-23
14.835296630859375,2001-07-24
14.538590431213379,2001-07-25
14.651387214660645,2001-07-26
15.399282455444336,2001-07-27
15.097672462463379,2001-07-30
14.957901000976562,2001-07-31
15.767101287841797,2001-08-01
15.909323692321777,2001-08-02
15.705798149108887,2001-08-03
15.467942237854004,2001-08-06
15.681276321411133,2001-08-07
15.195757865905762,2001-08-08
15.448324203491211,2001-08-09
14.827939987182617,2001-08-10
14.879433631896973,2001-08-13
14.825488090515137,2001-08-14
15.10257625579834,2001-08-15
15.313458442687988,2001-08-16
15.119742393493652,2001-08-17
16.0711612701416,2001-08-20
15.951008796691895,2001-08-21
15.718057632446289,2001-08-22
15.546409606933594,2001-08-23
15.399282455444336,2001-08-24
15.78671646118164,2001-08-27
15.86518383026123,2001-08-28
15.931392669677734,2001-08-29
16.245262145996094,2001-08-30
14.163416862487793,2001-08-31
14.175678253173828,2001-09-04
13.378740310668945,2001-09-05
12.876055717468262,2001-09-06
12.885865211486816,2001-09-07
12.77061653137207,2001-09-10
11.981034278869629,2001-09-17
12.655365943908691,2001-09-18
11.94670581817627,2001-09-19
11.55191421508789,2001-09-20
11.120341300964355,2001-09-21
12.155134201049805,2001-09-24
13.388547897338867,2001-09-25
13.30272388458252,2001-09-26
12.971689224243164,2001-09-27
13.486632347106934,2001-09-28
13.560195922851562,2001-10-01
13.731844902038574,2001-10-02
15.281580924987793,2001-10-03
15.973077774047852,2001-10-04
15.497366905212402,2001-10-05
14.688170433044434,2001-10-08
14.349777221679688,2001-10-09
14.663647651672363,2001-10-10
14.570466995239258,2001-10-11
13.731844902038574,2001-10-12
13.761269569396973,2001-10-15
13.75146198272705,2001-10-16
13.265942573547363,2001-10-17
13.192378997802734,2001-10-18
12.628392219543457,2001-10-19
12.554829597473145,2001-10-22
12.554829597473145,2001-10-23
12.72647762298584,2001-10-24
13.2904634475708,2001-10-25
13.486632347106934,2001-10-26
13.594526290893555,2001-10-29
12.92755126953125,2001-10-30
12.785326957702637,2001-10-31
14.555755615234375,2001-11-01
14.094757080078125,2001-11-02
14.693073272705078,2001-11-05
15.516983985900879,2001-11-06
15.673918724060059,2001-11-07
14.908859252929688,2001-11-08
15.252156257629395,2001-11-09
15.448324203491211,2001-11-12
14.119279861450195,2001-11-13
13.388547897338867,2001-11-14
13.589620590209961,2001-11-15
13.682801246643066,2001-11-16
13.692610740661621,2001-11-19
13.771078109741211,2001-11-20
13.952534675598145,2001-11-21
14.040811538696289,2001-11-23
14.707786560058594,2001-11-26
14.830391883850098,2001-11-27
14.506712913513184,2001-11-28
15.08541202545166,2001-11-29
15.335528373718262,2001-11-30
15.266867637634277,2001-12-03
15.203113555908203,2001-12-04
15.8063325881958,2001-12-05
17.110858917236328,2001-12-06
16.53215980529785,2001-12-07
16.664573669433594,2001-12-10
16.497831344604492,2001-12-11
16.77246856689453,2001-12-12
17.449251174926758,2001-12-13
17.140283584594727,2001-12-14
17.704269409179688,2001-12-17
17.140283584594727,2001-12-18
16.77246856689453,2001-12-19
16.84602928161621,2001-12-20
17.42963409423828,2001-12-21
17.655227661132812,2001-12-24
17.704269409179688,2001-12-26
17.5816650390625,2001-12-27
17.15009307861328,2001-12-28
16.81170082092285,2001-12-31
16.87055206298828,2002-01-02
16.919593811035156,2002-01-03
17.096145629882812,2002-01-04
16.52235221862793,2002-01-07
16.816606521606445,2002-01-08
16.394840240478516,2002-01-09
16.708709716796875,2002-01-10
16.036832809448242,2002-01-11
15.78181266784668,2002-01-14
15.713153839111328,2002-01-15
15.52188777923584,2002-01-16
15.418899536132812,2002-01-17
14.94318962097168,2002-01-18
14.810775756835938,2002-01-22
15.22763442993164,2002-01-23
15.619973182678223,2002-01-24
15.423803329467773,2002-01-25
15.570931434631348,2002-01-28
15.816142082214355,2002-01-29
16.74794578552246,2002-01-30
16.1839599609375,2002-01-31
18.179981231689453,2002-02-01
17.459056854248047,2002-02-04
17.826875686645508,2002-02-05
18.04756736755371,2002-02-06
17.596378326416016,2002-02-07
17.655227661132812,2002-02-08
18.219215393066406,2002-02-11
18.145652770996094,2002-02-12
17.861204147338867,2002-02-13
17.807262420654297,2002-02-14
17.356069564819336,2002-02-15
16.86074447631836,2002-02-19
17.944578170776367,2002-02-20
17.213848114013672,2002-02-21
17.964197158813477,2002-02-22
18.17017364501953,2002-02-25
18.63607406616211,2002-02-26
18.50856590270996,2002-02-27
18.1407470703125,2002-02-28
18.405574798583984,2002-03-01
18.837148666381836,2002-03-04
18.44481086730957,2002-03-05
18.54289436340332,2002-03-06
18.297683715820312,2002-03-07
18.75868034362793,2002-03-08
18.121131896972656,2002-03-11
17.915151596069336,2002-03-12
17.895536422729492,2002-03-13
18.39086151123047,2002-03-14
18.229022979736328,2002-03-15
18.16036605834961,2002-03-18
18.95975112915039,2002-03-19
18.80281639099121,2002-03-20
18.92542266845703,2002-03-21
18.47423553466797,2002-03-22
18.6704044342041,2002-03-25
19.101978302001953,2002-03-26
19.59239959716797,2002-03-27
19.42074966430664,2002-03-28
19.366806030273438,2002-04-01
19.60711097717285,2002-04-02
19.180444717407227,2002-04-03
19.582592010498047,2002-04-04
19.81308937072754,2002-04-05
20.293704986572266,2002-04-08
20.298608779907227,2002-04-09
20.450639724731445,2002-04-10
19.739526748657227,2002-04-11
20.27408790588379,2002-04-12
20.092632293701172,2002-04-15
20.15638542175293,2002-04-16
19.852323532104492,2002-04-17
19.562973022460938,2002-04-18
19.984737396240234,2002-04-19
19.494314193725586,2002-04-22
21.877771377563477,2002-04-23
21.946430206298828,2002-04-24
21.833633422851562,2002-04-25
21.774782180786133,2002-04-26
21.348112106323242,2002-04-29
22.04451560974121,2002-04-30
21.578611373901367,2002-05-01
21.970951080322266,2002-05-02
21.64727020263672,2002-05-03
21.897388458251953,2002-05-06
21.931716918945312,2002-05-07
22.098461151123047,2002-05-08
21.676698684692383,2002-05-09
21.33340072631836,2002-05-10
21.495243072509766,2002-05-13
22.103364944458008,2002-05-14
22.06903648376465,2002-05-15
21.995473861694336,2002-05-16
21.642370223999023,2002-05-17
21.097997665405273,2002-05-20
20.842979431152344,2002-05-21
20.887115478515625,2002-05-22
21.402061462402344,2002-05-23
21.411869049072266,2002-05-24
21.33340072631836,2002-05-28
21.137231826782227,2002-05-29
21.09309196472168,2002-05-30
21.3824405670166,2002-05-31
21.637462615966797,2002-06-03
21.318689346313477,2002-06-04
21.33340072631836,2002-06-05
21.377540588378906,2002-06-06
21.931716918945312,2002-06-07
21.941526412963867,2002-06-10
22.20635223388672,2002-06-11
21.701217651367188,2002-06-12
21.063669204711914,2002-06-13
21.78949546813965,2002-06-14
21.740453720092773,2002-06-17
21.55409049987793,2002-06-18
21.348112106323242,2002-06-19
21.544282913208008,2002-06-20
22.118078231811523,2002-06-21
22.63792610168457,2002-06-24
22.559457778930664,2002-06-25
22.103364944458008,2002-06-26
22.559457778930664,2002-06-27
22.06903648376465,2002-06-28
22.23577880859375,2002-07-01
21.284358978271484,2002-07-02
20.686044692993164,2002-07-03
21.42658233642578,2002-07-05
20.71546745300293,2002-07-08
