TRIN,Date
11.503289222717285,2023-02-24
11.344796180725098,2023-02-27
11.136251449584961,2023-02-28
11.127909660339355,2023-03-01
11.1696195602417,2023-03-02
11.89535140991211,2023-03-03
11.77856731414795,2023-03-06
11.77856731414795,2023-03-07
11.753541946411133,2023-03-08
11.286402702331543,2023-03-09
10.34378433227539,2023-03-10
9.66810131072998,2023-03-13
10.452226638793945,2023-03-14
10.71916389465332,2023-03-15
10.994441986083984,2023-03-16
10.860974311828613,2023-03-17
10.936049461364746,2023-03-20
11.436554908752441,2023-03-21
11.236353874206543,2023-03-22
11.061176300048828,2023-03-23
11.378164291381836,2023-03-24
11.553340911865234,2023-03-27
11.311429023742676,2023-03-28
11.186302185058594,2023-03-29
11.238170623779297,2023-03-30
11.004762649536133,2023-03-31
10.313182830810547,2023-04-03
10.131643295288086,2023-04-04
9.820432662963867,2023-04-05
10.122998237609863,2023-04-06
9.924169540405273,2023-04-10
10.287248611450195,2023-04-11
10.512011528015137,2023-04-12
10.926960945129395,2023-04-13
10.9356050491333,2023-04-14
11.056631088256836,2023-04-17
10.745420455932617,2023-04-18
10.693552017211914,2023-04-19
10.546591758728027,2023-04-20
10.477432250976562,2023-04-21
10.382342338562012,2023-04-24
10.563880920410156,2023-04-25
10.295893669128418,2023-04-26
10.442854881286621,2023-04-27
10.512011528015137,2023-04-28
10.797287940979004,2023-05-01
10.944249153137207,2023-05-02
10.650328636169434,2023-05-03
10.183510780334473,2023-05-04
10.21809196472168,2023-05-05
10.21809196472168,2023-05-08
10.122998237609863,2023-05-09
10.114354133605957,2023-05-10
10.019261360168457,2023-05-11
9.846367835998535,2023-05-12
9.9846830368042,2023-05-15
10.174867630004883,2023-05-16
10.442854881286621,2023-05-17
10.581169128417969,2023-05-18
10.468788146972656,2023-05-19
10.823223114013672,2023-05-22
10.745420455932617,2023-05-23
10.650328636169434,2023-05-24
10.667617797851562,2023-05-25
10.797287940979004,2023-05-26
10.970183372497559,2023-05-30
10.926960945129395,2023-05-31
11.117144584655762,2023-06-01
11.013407707214355,2023-06-02
11.151723861694336,2023-06-05
11.3851318359375,2023-06-06
11.359198570251465,2023-06-07
11.471580505371094,2023-06-08
11.467257499694824,2023-06-09
11.592605590820312,2023-06-12
11.558026313781738,2023-06-13
11.376486778259277,2023-06-14
12.0248441696167,2023-06-15
11.730921745300293,2023-06-16
11.81736946105957,2023-06-20
11.76550006866455,2023-06-21
11.644474029541016,2023-06-22
11.58396053314209,2023-06-23
11.618538856506348,2023-06-26
11.76550006866455,2023-06-27
11.808725357055664,2023-06-28
11.934636116027832,2023-06-29
11.925642967224121,2023-06-30
12.366333961486816,2023-07-03
