TT,Date
0.9446640014648438,1983-10-13
0.9358767867088318,1983-10-14
0.9512541890144348,1983-10-17
0.9358767867088318,1983-10-18
0.9183017015457153,1983-10-19
0.9007266163825989,1983-10-20
0.8172439336776733,1983-10-21
0.8150474429130554,1983-10-24
0.834819495677948,1983-10-25
0.8370161056518555,1983-10-26
0.8370161056518555,1983-10-27
0.8172439336776733,1983-10-28
0.799668550491333,1983-10-31
0.799668550491333,1983-11-01
0.799668550491333,1983-11-02
0.7864878177642822,1983-11-03
0.799668550491333,1983-11-04
0.8084568977355957,1983-11-07
0.8216381072998047,1983-11-08
0.8523950576782227,1983-11-09
0.8655760288238525,1983-11-10
0.8589850664138794,1983-11-11
0.8392133712768555,1983-11-14
0.8597041964530945,1983-11-15
0.8797482848167419,1983-11-16
0.8708391189575195,1983-11-17
0.8708391189575195,1983-11-18
0.8819759488105774,1983-11-21
0.890884280204773,1983-11-22
0.8886575698852539,1983-11-23
0.884202778339386,1983-11-25
0.8864300847053528,1983-11-28
0.8864300847053528,1983-11-29
0.884202778339386,1983-11-30
0.8730671405792236,1983-12-01
0.8463400602340698,1983-12-02
0.8507946133613586,1983-12-05
0.8552486300468445,1983-12-06
0.8686121702194214,1983-12-07
0.8819759488105774,1983-12-08
0.8864300847053528,1983-12-09
0.8864300847053528,1983-12-12
0.8775208592414856,1983-12-13
0.8864300847053528,1983-12-14
0.8864300847053528,1983-12-15
0.895338773727417,1983-12-16
0.8997932076454163,1983-12-19
0.8997932076454163,1983-12-20
0.9176106452941895,1983-12-21
0.91538405418396,1983-12-22
0.922065019607544,1983-12-23
0.9265204071998596,1983-12-27
0.9265204071998596,1983-12-28
0.9443371295928955,1983-12-29
0.9332016110420227,1983-12-30
0.922065019607544,1984-01-03
0.9309746026992798,1984-01-04
0.9309746026992798,1984-01-05
0.9265204071998596,1984-01-06
0.9265204071998596,1984-01-09
0.9421108961105347,1984-01-10
0.9443371295928955,1984-01-11
0.9443371295928955,1984-01-12
0.9643815159797668,1984-01-13
0.9666090607643127,1984-01-16
0.9799728989601135,1984-01-17
