PXD,Date
16.24796485900879,2001-05-25
16.01390838623047,2001-05-29
15.560901641845703,2001-05-30
15.930859565734863,2001-05-31
16.172454833984375,2001-06-01
16.610370635986328,2001-06-04
16.64812469482422,2001-06-05
15.704345703125,2001-06-06
15.621295928955078,2001-06-07
15.742104530334473,2001-06-08
15.696802139282227,2001-06-11
15.674145698547363,2001-06-12
15.477846145629883,2001-06-13
15.2513427734375,2001-06-14
15.304195404052734,2001-06-15
15.364590644836426,2001-06-18
15.024835586547852,2001-06-19
14.549175262451172,2001-06-20
13.982915878295898,2001-06-21
14.081067085266113,2001-06-22
13.49215316772461,2001-06-25
13.696006774902344,2001-06-26
13.220348358154297,2001-06-27
12.835282325744629,2001-06-28
12.873037338256836,2001-06-29
12.684281349182129,2001-07-02
12.571032524108887,2001-07-03
12.654083251953125,2001-07-05
12.850386619567871,2001-07-06
12.261474609375,2001-07-09
12.231271743774414,2001-07-10
11.642361640930176,2001-07-11
11.70276165008545,2001-07-12
11.853767395019531,2001-07-13
11.476255416870117,2001-07-16
11.627260208129883,2001-07-17
11.665014266967773,2001-07-18
11.408308982849121,2001-07-19
12.08027172088623,2001-07-20
12.586130142211914,2001-07-23
12.04251766204834,2001-07-24
12.654083251953125,2001-07-25
13.031594276428223,2001-07-26
13.190144538879395,2001-07-27
12.835282325744629,2001-07-30
12.827741622924805,2001-07-31
13.371346473693848,2001-08-01
13.567655563354492,2001-08-02
13.024043083190918,2001-08-03
12.873037338256836,2001-08-06
13.061796188354492,2001-08-07
12.66163444519043,2001-08-08
12.608784675598145,2001-08-09
13.107096672058105,2001-08-10
13.356250762939453,2001-08-13
13.741311073303223,2001-08-14
14.503875732421875,2001-08-15
14.5416259765625,2001-08-16
14.39062786102295,2001-08-17
14.04331111907959,2001-08-20
13.748856544494629,2001-08-21
13.741311073303223,2001-08-22
13.967815399169922,2001-08-23
13.658266067504883,2001-08-24
13.416647911071777,2001-08-27
13.13729190826416,2001-08-28
13.560104370117188,2001-08-29
13.288293838500977,2001-08-30
13.212797164916992,2001-08-31
13.824361801147461,2001-09-04
13.967815399169922,2001-09-05
13.831907272338867,2001-09-06
14.21696949005127,2001-09-07
13.914958000183105,2001-09-10
14.04331111907959,2001-09-17
13.099546432495117,2001-09-18
12.034971237182617,2001-09-19
11.997220993041992,2001-09-20
12.04251766204834,2001-09-21
11.174249649047852,2001-09-24
10.940196990966797,2001-09-25
9.634015083312988,2001-09-26
10.434332847595215,2001-09-27
10.743892669677734,2001-09-28
10.30597972869873,2001-10-01
10.487186431884766,2001-10-02
10.57023811340332,2001-10-03
11.113847732543945,2001-10-04
11.378103256225586,2001-10-05
11.378103256225586,2001-10-08
11.763162612915039,2001-10-09
12.382275581359863,2001-10-10
12.08027172088623,2001-10-11
11.989665985107422,2001-10-12
11.732962608337402,2001-10-15
12.24637222290039,2001-10-16
11.914168357849121,2001-10-17
11.710309982299805,2001-10-18
12.08027172088623,2001-10-19
12.072718620300293,2001-10-22
11.997220993041992,2001-10-23
12.684281349182129,2001-10-24
13.107096672058105,2001-10-25
13.582756996154785,2001-10-26
13.242998123168945,2001-10-29
12.880593299865723,2001-10-30
12.842835426330566,2001-10-31
12.827741622924805,2001-11-01
12.563482284545898,2001-11-02
12.352076530456543,2001-11-05
12.812639236450195,2001-11-06
13.099546432495117,2001-11-07
13.265645027160645,2001-11-08
13.643152236938477,2001-11-09
13.446849822998047,2001-11-12
13.439301490783691,2001-11-13
12.827741622924805,2001-11-14
11.551759719848633,2001-11-15
11.657462120056152,2001-11-16
11.914168357849121,2001-11-19
12.382275581359863,2001-11-20
12.382275581359863,2001-11-21
12.82018756866455,2001-11-23
12.518178939819336,2001-11-26
12.533281326293945,2001-11-27
12.269025802612305,2001-11-28
12.548382759094238,2001-11-29
12.646529197692871,2001-11-30
12.948542594909668,2001-12-03
13.175045013427734,2001-12-04
13.590304374694824,2001-12-05
13.205246925354004,2001-12-06
13.363801956176758,2001-12-07
13.242998123168945,2001-12-10
13.061796188354492,2001-12-11
13.054245948791504,2001-12-12
12.835282325744629,2001-12-13
13.205246925354004,2001-12-14
13.212797164916992,2001-12-17
13.212797164916992,2001-12-18
13.748856544494629,2001-12-19
13.748856544494629,2001-12-20
14.156567573547363,2001-12-21
14.420819282531738,2001-12-24
14.511425971984863,2001-12-26
14.61712646484375,2001-12-27
14.685078620910645,2001-12-28
14.5416259765625,2001-12-31
13.937609672546387,2002-01-02
13.748856544494629,2002-01-03
13.763961791992188,2002-01-04
13.635601043701172,2002-01-07
13.6280517578125,2002-01-08
13.197694778442383,2002-01-09
12.940990447998047,2002-01-10
12.66163444519043,2002-01-11
12.163321495056152,2002-01-14
12.548382759094238,2002-01-15
12.684281349182129,2002-01-16
12.827741622924805,2002-01-17
12.593682289123535,2002-01-18
12.344526290893555,2002-01-22
12.978738784790039,2002-01-23
13.242998123168945,2002-01-24
13.401546478271484,2002-01-25
13.212797164916992,2002-01-28
12.91833782196045,2002-01-29
13.039144515991211,2002-01-30
13.152395248413086,2002-01-31
13.431748390197754,2002-02-01
13.190144538879395,2002-02-04
13.227896690368652,2002-02-05
13.175045013427734,2002-02-06
13.424199104309082,2002-02-07
13.960260391235352,2002-02-08
14.005562782287598,2002-02-11
13.786605834960938,2002-02-12
13.696006774902344,2002-02-13
14.118816375732422,2002-02-14
13.816808700561523,2002-02-15
13.61295223236084,2002-02-19
13.86211109161377,2002-02-20
14.118816375732422,2002-02-21
14.33777141571045,2002-02-22
14.715283393859863,2002-02-25
14.632224082946777,2002-02-26
14.722827911376953,2002-02-27
14.964434623718262,2002-02-28
14.911584854125977,2002-03-01
15.100337028503418,2002-03-04
15.055038452148438,2002-03-05
15.402347564697266,2002-03-06
16.04410743713379,2002-03-07
15.651504516601562,2002-03-08
16.074304580688477,2002-03-11
15.953506469726562,2002-03-12
15.621295928955078,2002-03-13
15.8327054977417,2002-03-14
