LW,Date
77.15511322021484,2021-03-18
77.46405792236328,2021-03-19
76.50830078125,2021-03-22
75.30154418945312,2021-03-23
75.2918701171875,2021-03-24
77.03926086425781,2021-03-25
77.85021209716797,2021-03-26
76.45037078857422,2021-03-29
76.189697265625,2021-03-30
74.7995376586914,2021-03-31
75.3787612915039,2021-04-01
77.81158447265625,2021-04-05
78.12051391601562,2021-04-06
75.2918701171875,2021-04-07
74.93468475341797,2021-04-08
74.73196411132812,2021-04-09
75.9676742553711,2021-04-12
75.01190948486328,2021-04-13
74.83814239501953,2021-04-14
76.00627899169922,2021-04-15
77.82123565673828,2021-04-16
76.9716796875,2021-04-19
76.42141723632812,2021-04-20
78.07225799560547,2021-04-21
77.34819793701172,2021-04-22
78.52599334716797,2021-04-23
78.78665161132812,2021-04-26
77.67642211914062,2021-04-27
76.9234390258789,2021-04-28
77.80192565917969,2021-04-29
77.71504974365234,2021-04-30
78.47772216796875,2021-05-03
76.13179016113281,2021-05-04
75.91938781738281,2021-05-05
75.57564544677734,2021-05-06
76.46648406982422,2021-05-07
76.39871215820312,2021-05-10
75.66279602050781,2021-05-11
74.31687927246094,2021-05-12
75.91456604003906,2021-05-13
76.29219055175781,2021-05-14
75.21736907958984,2021-05-17
75.02372741699219,2021-05-18
74.69448852539062,2021-05-19
75.1011734008789,2021-05-20
77.69623565673828,2021-05-21
77.88020324707031,2021-05-24
77.70590209960938,2021-05-25
78.12226867675781,2021-05-26
77.70590209960938,2021-05-27
79.87489318847656,2021-05-28
81.29830169677734,2021-06-01
81.47258758544922,2021-06-02
80.94969940185547,2021-06-03
81.3370132446289,2021-06-04
81.14337921142578,2021-06-07
80.94969940185547,2021-06-08
79.88457489013672,2021-06-09
79.46822357177734,2021-06-10
81.05620574951172,2021-06-11
80.78508758544922,2021-06-14
79.98140716552734,2021-06-15
78.8000717163086,2021-06-16
77.00875091552734,2021-06-17
75.47881317138672,2021-06-18
77.1346206665039,2021-06-21
77.27984619140625,2021-06-22
76.43742370605469,2021-06-23
77.49287414550781,2021-06-24
78.12226867675781,2021-06-25
77.34762573242188,2021-06-28
76.76665496826172,2021-06-29
78.10292053222656,2021-06-30
78.2190933227539,2021-07-01
77.72527313232422,2021-07-02
77.260498046875,2021-07-06
77.39606475830078,2021-07-07
77.07649993896484,2021-07-08
78.2578353881836,2021-07-09
77.17333221435547,2021-07-12
75.4885025024414,2021-07-13
75.52722930908203,2021-07-14
76.15663146972656,2021-07-15
75.18833923339844,2021-07-16
71.75086212158203,2021-07-19
73.5712661743164,2021-07-20
73.3001480102539,2021-07-21
72.21566009521484,2021-07-22
73.10648345947266,2021-07-23
73.66810607910156,2021-07-26
63.704322814941406,2021-07-27
64.70166778564453,2021-07-28
65.11803436279297,2021-07-29
64.65324401855469,2021-07-30
65.21484375,2021-08-02
64.54674530029297,2021-08-03
63.31700134277344,2021-08-04
62.369503021240234,2021-08-05
63.244117736816406,2021-08-06
62.58330535888672,2021-08-09
63.65224838256836,2021-08-10
64.23533630371094,2021-08-11
63.75916290283203,2021-08-12
64.61434173583984,2021-08-13
64.5754623413086,2021-08-16
64.17703247070312,2021-08-17
64.283935546875,2021-08-18
63.875770568847656,2021-08-19
63.244117736816406,2021-08-20
64.2645034790039,2021-08-23
64.75038146972656,2021-08-24
64.22562408447266,2021-08-25
62.69019317626953,2021-08-26
63.7105712890625,2021-08-27
62.53470230102539,2021-08-30
63.312129974365234,2021-08-31
63.730003356933594,2021-09-01
62.680477142333984,2021-09-02
61.786434173583984,2021-09-03
60.4064826965332,2021-09-07
