SBNY,Date
123.4400634765625,2020-03-04
118.68426513671875,2020-03-05
111.00035858154297,2020-03-06
94.21633911132812,2020-03-09
99.78549194335938,2020-03-10
96.51290893554688,2020-03-11
87.2501220703125,2020-03-12
93.94841003417969,2020-03-13
84.10192108154297,2020-03-16
89.95813751220703,2020-03-17
76.76249694824219,2020-03-18
88.66632080078125,2020-03-19
77.17395782470703,2020-03-20
69.93022918701172,2020-03-23
75.4993896484375,2020-03-24
79.64276885986328,2020-03-25
88.03477478027344,2020-03-26
81.61397552490234,2020-03-27
79.44180297851562,2020-03-30
76.92516326904297,2020-03-31
68.86808013916016,2020-04-01
70.61918640136719,2020-04-02
68.9063491821289,2020-04-03
72.93490600585938,2020-04-06
75.23145294189453,2020-04-07
77.94904327392578,2020-04-08
86.341064453125,2020-04-09
81.4991455078125,2020-04-13
83.03974914550781,2020-04-14
80.04466247558594,2020-04-15
78.1787109375,2020-04-16
84.963134765625,2020-04-17
85.27889251708984,2020-04-20
83.90096282958984,2020-04-21
82.26465606689453,2020-04-22
86.61854553222656,2020-04-23
90.06340789794922,2020-04-24
97.51765441894531,2020-04-27
101.9098129272461,2020-04-28
105.77568817138672,2020-04-29
102.56050872802734,2020-04-30
97.64507293701172,2020-05-01
98.19337463378906,2020-05-04
96.92363739013672,2020-05-05
98.09716796875,2020-05-06
96.38494873046875,2020-05-07
99.12644958496094,2020-05-08
98.18374633789062,2020-05-11
92.35447692871094,2020-05-12
84.81299591064453,2020-05-13
87.54486083984375,2020-05-14
86.6983413696289,2020-05-15
95.92323303222656,2020-05-18
91.01739501953125,2020-05-19
95.75007629394531,2020-05-20
94.22061157226562,2020-05-21
92.40257263183594,2020-05-22
98.00098419189453,2020-05-26
105.80220031738281,2020-05-27
102.4931869506836,2020-05-28
98.99176788330078,2020-05-29
100.84828186035156,2020-06-01
99.72281646728516,2020-06-02
104.36893463134766,2020-06-03
106.33125305175781,2020-06-04
111.16973876953125,2020-06-05
113.94010162353516,2020-06-08
112.6415023803711,2020-06-09
107.35089111328125,2020-06-10
98.578125,2020-06-11
103.77252960205078,2020-06-12
103.18575286865234,2020-06-15
106.13886260986328,2020-06-16
101.84868621826172,2020-06-17
103.10880279541016,2020-06-18
102.34888458251953,2020-06-19
102.48355865478516,2020-06-22
101.87755584716797,2020-06-23
97.4334487915039,2020-06-24
101.4735336303711,2020-06-25
98.72241973876953,2020-06-26
100.7232437133789,2020-06-29
102.84908294677734,2020-06-30
101.29077911376953,2020-07-01
100.53084564208984,2020-07-02
100.94447326660156,2020-07-06
98.89557647705078,2020-07-07
100.70399475097656,2020-07-08
96.69276428222656,2020-07-09
100.13645935058594,2020-07-10
101.7140121459961,2020-07-13
99.03987121582031,2020-07-14
104.917236328125,2020-07-15
103.4070053100586,2020-07-16
100.33846282958984,2020-07-17
98.04907989501953,2020-07-20
105.38856506347656,2020-07-21
105.02304077148438,2020-07-22
107.33165740966797,2020-07-23
105.41742706298828,2020-07-24
102.57975769042969,2020-07-27
100.425048828125,2020-07-28
101.05029296875,2020-07-29
99.19348907470703,2020-07-30
99.15480041503906,2020-07-31
97.82024383544922,2020-08-03
97.30768585205078,2020-08-04
101.08898162841797,2020-08-05
99.85111236572266,2020-08-06
104.59947967529297,2020-08-07
104.61881256103516,2020-08-10
106.30154418945312,2020-08-11
107.31697845458984,2020-08-12
103.87417602539062,2020-08-13
103.89350891113281,2020-08-14
102.67498016357422,2020-08-17
99.26118469238281,2020-08-18
98.6712646484375,2020-08-19
93.99059295654297,2020-08-20
93.48771667480469,2020-08-21
95.2091293334961,2020-08-24
96.30193328857422,2020-08-25
92.607666015625,2020-08-26
96.19554138183594,2020-08-27
97.01757049560547,2020-08-28
93.83587646484375,2020-08-31
93.02351379394531,2020-09-01
92.7430648803711,2020-09-02
95.0253677368164,2020-09-03
97.89761352539062,2020-09-04
93.38133239746094,2020-09-08
92.26920318603516,2020-09-09
89.11650848388672,2020-09-10
90.1706314086914,2020-09-11
90.43174743652344,2020-09-14
87.51114654541016,2020-09-15
88.0140380859375,2020-09-16
87.72392272949219,2020-09-17
87.27906799316406,2020-09-18
82.2115478515625,2020-09-21
81.65065002441406,2020-09-22
80.48047637939453,2020-09-23
81.32183074951172,2020-09-24
81.23480224609375,2020-09-25
82.72410583496094,2020-09-28
79.77450561523438,2020-09-29
80.25804138183594,2020-09-30
79.2136001586914,2020-10-01
80.28705596923828,2020-10-02
82.97554016113281,2020-10-05
82.298583984375,2020-10-06
83.21732330322266,2020-10-07
84.03933715820312,2020-10-08
81.87307739257812,2020-10-09
83.12059783935547,2020-10-12
81.81503295898438,2020-10-13
81.92143249511719,2020-10-14
84.08767700195312,2020-10-15
83.93295288085938,2020-10-16
83.09159851074219,2020-10-19
80.3837661743164,2020-10-20
79.5230712890625,2020-10-21
83.15929412841797,2020-10-22
81.78604125976562,2020-10-23
80.76092529296875,2020-10-26
76.99899291992188,2020-10-27
75.04547882080078,2020-10-28
75.79012298583984,2020-10-29
78.64407348632812,2020-10-30
78.67328643798828,2020-11-02
