ZTS,Date
166.9336700439453,2021-05-18
168.08181762695312,2021-05-19
172.51744079589844,2021-05-20
172.7333221435547,2021-05-21
173.106201171875,2021-05-24
173.3220977783203,2021-05-25
172.04638671875,2021-05-26
171.40850830078125,2021-05-27
173.3809814453125,2021-05-28
170.93746948242188,2021-06-01
169.7206268310547,2021-06-02
170.5744171142578,2021-06-03
171.92861938476562,2021-06-04
171.83050537109375,2021-06-07
170.8491668701172,2021-06-08
173.39080810546875,2021-06-09
178.69981384277344,2021-06-10
178.7978973388672,2021-06-11
181.1334991455078,2021-06-14
182.203125,2021-06-15
180.67225646972656,2021-06-16
182.95875549316406,2021-06-17
181.92835998535156,2021-06-18
183.1157684326172,2021-06-21
183.1353759765625,2021-06-22
182.64474487304688,2021-06-23
181.91856384277344,2021-06-24
183.73399353027344,2021-06-25
183.5868377685547,2021-06-28
184.47979736328125,2021-06-29
182.88023376464844,2021-06-30
185.7555389404297,2021-07-01
189.10186767578125,2021-07-02
190.397216796875,2021-07-06
193.71409606933594,2021-07-07
193.28233337402344,2021-07-08
193.81224060058594,2021-07-09
194.6267547607422,2021-07-12
195.58843994140625,2021-07-13
197.52163696289062,2021-07-14
196.50106811523438,2021-07-15
195.95150756835938,2021-07-16
194.1360626220703,2021-07-19
196.62197875976562,2021-07-20
194.58807373046875,2021-07-21
197.0444793701172,2021-07-22
200.04132080078125,2021-07-23
197.31961059570312,2021-07-26
198.351318359375,2021-07-27
199.7268829345703,2021-07-28
200.56207275390625,2021-07-29
199.1668243408203,2021-07-30
198.58712768554688,2021-08-02
200.54241943359375,2021-08-03
201.2203826904297,2021-08-04
200.28695678710938,2021-08-05
198.3611602783203,2021-08-06
196.23880004882812,2021-08-09
195.29551696777344,2021-08-10
193.96905517578125,2021-08-11
196.356689453125,2021-08-12
197.96810913085938,2021-08-13
201.21060180664062,2021-08-16
202.99887084960938,2021-08-17
199.78585815429688,2021-08-18
202.8416290283203,2021-08-19
203.44102478027344,2021-08-20
202.8711395263672,2021-08-23
201.41693115234375,2021-08-24
200.86666870117188,2021-08-25
200.46380615234375,2021-08-26
200.26731872558594,2021-08-27
202.3012237548828,2021-08-30
200.99441528320312,2021-08-31
202.8416290283203,2021-09-01
205.57318115234375,2021-09-02
206.03500366210938,2021-09-03
204.187744140625,2021-09-07
205.68125915527344,2021-09-08
202.42898559570312,2021-09-09
203.3918914794922,2021-09-10
201.42674255371094,2021-09-13
200.00201416015625,2021-09-14
200.40487670898438,2021-09-15
199.235595703125,2021-09-16
195.0302276611328,2021-09-17
195.15794372558594,2021-09-20
197.50628662109375,2021-09-21
197.8403778076172,2021-09-22
201.14181518554688,2021-09-23
201.16143798828125,2021-09-24
194.3522491455078,2021-09-27
189.409912109375,2021-09-28
191.5912322998047,2021-09-29
190.75601196289062,2021-09-30
192.7703094482422,2021-10-01
190.31387329101562,2021-10-04
193.0355987548828,2021-10-05
192.36744689941406,2021-10-06
195.54115295410156,2021-10-07
194.43087768554688,2021-10-08
194.20484924316406,2021-10-11
193.7135772705078,2021-10-12
194.01820373535156,2021-10-13
196.8970947265625,2021-10-14
198.6951904296875,2021-10-15
199.19630432128906,2021-10-18
200.8765106201172,2021-10-19
