NDX,Date
14558.08984375,2023-06-06
14303.2900390625,2023-06-07
14484.5400390625,2023-06-08
14528.3603515625,2023-06-09
14900.849609375,2023-06-13
15185.48046875,2023-06-15
15083.919921875,2023-06-16
15070.150390625,2023-06-20
15042.3203125,2023-06-22
14891.48046875,2023-06-23
14689.01953125,2023-06-26
14945.91015625,2023-06-27
14964.5703125,2023-06-28
14939.9501953125,2023-06-29
15179.2099609375,2023-06-30
15208.6904296875,2023-07-03
15203.7802734375,2023-07-05
15036.849609375,2023-07-07
15045.6396484375,2023-07-10
15119.0595703125,2023-07-11
15307.23046875,2023-07-12
15571.98046875,2023-07-13
15565.599609375,2023-07-14
15713.2802734375,2023-07-17
15841.349609375,2023-07-18
15826.349609375,2023-07-19
15466.08984375,2023-07-20
15425.669921875,2023-07-21
15448.01953125,2023-07-24
15561.419921875,2023-07-25
15499.259765625,2023-07-26
15464.9296875,2023-07-27
15750.9296875,2023-07-28
15757.0,2023-07-31
15718.009765625,2023-08-01
15370.740234375,2023-08-02
15353.5400390625,2023-08-03
15274.919921875,2023-08-04
15407.849609375,2023-08-07
15273.0498046875,2023-08-08
15101.7099609375,2023-08-09
15128.83984375,2023-08-10
15028.0703125,2023-08-11
15205.58984375,2023-08-14
15037.650390625,2023-08-15
14876.4697265625,2023-08-16
14715.8095703125,2023-08-17
14694.83984375,2023-08-18
14936.6904296875,2023-08-21
14908.9599609375,2023-08-22
15148.0595703125,2023-08-23
14816.4404296875,2023-08-24
14941.830078125,2023-08-25
15052.4599609375,2023-08-28
15376.5498046875,2023-08-29
15462.4296875,2023-08-30
15501.0703125,2023-08-31
15490.8603515625,2023-09-01
15508.240234375,2023-09-05
15371.4404296875,2023-09-06
15258.51953125,2023-09-07
15280.23046875,2023-09-08
15461.8701171875,2023-09-11
15289.740234375,2023-09-12
15348.5302734375,2023-09-13
15473.8896484375,2023-09-14
15202.400390625,2023-09-15
15225.3701171875,2023-09-18
15191.23046875,2023-09-19
14969.919921875,2023-09-20
14694.240234375,2023-09-21
14701.099609375,2023-09-22
14768.900390625,2023-09-25
14545.830078125,2023-09-26
14580.16015625,2023-09-27
14702.76953125,2023-09-28
14715.240234375,2023-09-29
14837.5703125,2023-10-02
14565.6201171875,2023-10-03
14776.25,2023-10-04
14723.2197265625,2023-10-05
14973.240234375,2023-10-06
15047.150390625,2023-10-09
15131.51953125,2023-10-10
15241.1201171875,2023-10-11
15184.099609375,2023-10-12
14995.1201171875,2023-10-13
15172.73046875,2023-10-16
15122.009765625,2023-10-17
14909.259765625,2023-10-18
