TSN,Date
10.319452285766602,1995-06-06
10.376466751098633,1995-06-07
10.8895902633667,1995-06-08
10.661534309387207,1995-06-09
10.604524612426758,1995-06-12
10.775555610656738,1995-06-13
10.604524612426758,1995-06-14
10.376466751098633,1995-06-15
10.604524612426758,1995-06-16
10.775555610656738,1995-06-19
10.661534309387207,1995-06-20
10.54750919342041,1995-06-21
10.54750919342041,1995-06-22
10.54750919342041,1995-06-23
10.433475494384766,1995-06-26
10.433475494384766,1995-06-27
10.433475494384766,1995-06-28
10.490498542785645,1995-06-29
10.54750919342041,1995-06-30
10.490498542785645,1995-07-03
10.490498542785645,1995-07-05
10.54750919342041,1995-07-06
10.661534309387207,1995-07-07
10.604524612426758,1995-07-10
10.490498542785645,1995-07-11
10.604524612426758,1995-07-12
10.376466751098633,1995-07-13
10.490498542785645,1995-07-14
10.433475494384766,1995-07-17
10.433475494384766,1995-07-18
10.376466751098633,1995-07-19
10.433475494384766,1995-07-20
10.433475494384766,1995-07-21
10.661534309387207,1995-07-24
10.718546867370605,1995-07-25
10.718546867370605,1995-07-26
11.060625076293945,1995-07-27
11.231671333312988,1995-07-28
11.31718921661377,1995-07-31
11.402711868286133,1995-08-01
11.3742036819458,1995-08-02
11.402711868286133,1995-08-03
11.402711868286133,1995-08-04
11.630767822265625,1995-08-07
11.687776565551758,1995-08-08
11.716285705566406,1995-08-09
11.687776565551758,1995-08-10
11.744790077209473,1995-08-11
11.744790077209473,1995-08-14
11.516737937927246,1995-08-15
11.744790077209473,1995-08-16
11.915830612182617,1995-08-17
11.744790077209473,1995-08-18
11.630767822265625,1995-08-21
11.573753356933594,1995-08-22
11.687776565551758,1995-08-23
11.630767822265625,1995-08-24
11.573753356933594,1995-08-25
11.602254867553711,1995-08-28
11.687776565551758,1995-08-29
11.753962516784668,1995-08-30
11.753962516784668,1995-08-31
11.639849662780762,1995-09-01
11.753962516784668,1995-09-05
11.868086814880371,1995-09-06
11.868086814880371,1995-09-07
11.753962516784668,1995-09-08
11.925141334533691,1995-09-11
11.868086814880371,1995-09-12
11.982197761535645,1995-09-13
12.410136222839355,1995-09-14
12.438664436340332,1995-09-15
12.267480850219727,1995-09-18
12.181900024414062,1995-09-19
12.153368949890137,1995-09-20
12.153368949890137,1995-09-21
12.153368949890137,1995-09-22
11.925141334533691,1995-09-25
11.925141334533691,1995-09-26
11.896608352661133,1995-09-27
12.09631633758545,1995-09-28
12.267480850219727,1995-09-29
