MDB,Date
260.30999755859375,2021-05-11
251.85000610351562,2021-05-12
244.74000549316406,2021-05-13
261.19000244140625,2021-05-14
264.17999267578125,2021-05-17
270.0199890136719,2021-05-18
273.05999755859375,2021-05-19
282.2300109863281,2021-05-20
281.7799987792969,2021-05-21
286.7699890136719,2021-05-24
288.55999755859375,2021-05-25
295.1600036621094,2021-05-26
291.6400146484375,2021-05-27
291.94000244140625,2021-05-28
289.739990234375,2021-06-01
287.6000061035156,2021-06-02
271.1499938964844,2021-06-03
315.2699890136719,2021-06-04
314.5,2021-06-07
320.3399963378906,2021-06-08
330.29998779296875,2021-06-09
329.5199890136719,2021-06-10
334.1000061035156,2021-06-11
346.6700134277344,2021-06-14
343.82000732421875,2021-06-15
358.8999938964844,2021-06-16
373.1099853515625,2021-06-17
384.0199890136719,2021-06-18
380.0,2021-06-21
380.94000244140625,2021-06-22
387.2300109863281,2021-06-23
382.6300048828125,2021-06-24
379.2300109863281,2021-06-25
389.2300109863281,2021-06-28
383.7099914550781,2021-06-29
361.5199890136719,2021-06-30
357.92999267578125,2021-07-01
362.010009765625,2021-07-02
365.57000732421875,2021-07-06
357.75,2021-07-07
351.80999755859375,2021-07-08
353.70001220703125,2021-07-09
350.69000244140625,2021-07-12
351.29998779296875,2021-07-13
339.1499938964844,2021-07-14
334.5199890136719,2021-07-15
332.70001220703125,2021-07-16
337.6099853515625,2021-07-19
342.3399963378906,2021-07-20
351.1600036621094,2021-07-21
354.1499938964844,2021-07-22
361.5400085449219,2021-07-23
358.1700134277344,2021-07-26
360.489990234375,2021-07-27
363.7900085449219,2021-07-28
362.05999755859375,2021-07-29
358.9200134277344,2021-07-30
358.989990234375,2021-08-02
359.1700134277344,2021-08-03
363.17999267578125,2021-08-04
376.7200012207031,2021-08-05
373.45001220703125,2021-08-06
380.3800048828125,2021-08-09
364.4700012207031,2021-08-10
360.92999267578125,2021-08-11
372.7900085449219,2021-08-12
377.7799987792969,2021-08-13
367.45001220703125,2021-08-16
365.0,2021-08-17
366.5400085449219,2021-08-18
364.8999938964844,2021-08-19
367.6600036621094,2021-08-20
375.760009765625,2021-08-23
384.1700134277344,2021-08-24
393.75,2021-08-25
388.760009765625,2021-08-26
395.6099853515625,2021-08-27
396.17498779296875,2021-08-30
391.8299865722656,2021-08-31
393.42999267578125,2021-09-01
401.6499938964844,2021-09-02
507.4100036621094,2021-09-03
489.75,2021-09-07
471.739990234375,2021-09-08
474.92999267578125,2021-09-09
488.79998779296875,2021-09-10
485.0,2021-09-13
505.2099914550781,2021-09-14
503.5,2021-09-15
509.6499938964844,2021-09-16
506.989990234375,2021-09-17
489.2699890136719,2021-09-20
488.6400146484375,2021-09-21
510.67999267578125,2021-09-22
514.0599975585938,2021-09-23
508.0400085449219,2021-09-24
483.0400085449219,2021-09-27
463.57000732421875,2021-09-28
458.489990234375,2021-09-29
471.510009765625,2021-09-30
474.510009765625,2021-10-01
444.9700012207031,2021-10-04
452.67999267578125,2021-10-05
466.239990234375,2021-10-06
