TPR,Date
18.888214111328125,2005-04-27
18.414146423339844,2005-04-28
18.150026321411133,2005-04-29
18.522504806518555,2005-05-02
18.603778839111328,2005-05-03
18.928844451904297,2005-05-04
19.179420471191406,2005-05-05
19.19974136352539,2005-05-06
19.44355010986328,2005-05-09
18.644407272338867,2005-05-10
19.423229217529297,2005-05-11
18.84758186340332,2005-05-12
19.037206649780273,2005-05-13
19.490957260131836,2005-05-16
19.633180618286133,2005-05-17
20.14788246154785,2005-05-18
20.14788246154785,2005-05-19
19.87698745727539,2005-05-20
19.951480865478516,2005-05-23
19.93793296813965,2005-05-24
19.7889461517334,2005-05-25
19.75507926940918,2005-05-26
19.843116760253906,2005-05-27
19.667043685913086,2005-05-31
20.77094268798828,2005-06-01
21.719074249267578,2005-06-02
21.509136199951172,2005-06-03
22.044145584106445,2005-06-06
22.193147659301758,2005-06-07
21.664901733398438,2005-06-08
21.671669006347656,2005-06-09
21.26532554626465,2005-06-10
21.394001007080078,2005-06-13
22.023836135864258,2005-06-14
22.626567840576172,2005-06-15
22.484359741210938,2005-06-16
22.308277130126953,2005-06-17
22.484359741210938,2005-06-20
22.971967697143555,2005-06-21
22.721391677856445,2005-06-22
22.091552734375,2005-06-23
21.773252487182617,2005-06-24
21.617490768432617,2005-06-27
22.49112892150879,2005-06-28
