TXT,Date
24.81549072265625,1998-09-08
24.16353416442871,1998-09-09
22.928022384643555,1998-09-10
23.522018432617188,1998-09-11
24.900074005126953,1998-09-14
25.113914489746094,1998-09-15
24.40113067626953,1998-09-16
23.545774459838867,1998-09-17
23.593294143676758,1998-09-18
22.54787826538086,1998-09-21
21.85883331298828,1998-09-22
23.308183670043945,1998-09-23
23.37946319580078,1998-09-24
23.0230712890625,1998-09-25
23.783369064331055,1998-09-28
23.37946319580078,1998-09-29
23.046825408935547,1998-09-30
22.761716842651367,1998-10-01
22.619163513183594,1998-10-02
22.619163513183594,1998-10-05
22.975547790527344,1998-10-06
21.835079193115234,1998-10-07
20.860944747924805,1998-10-08
22.47659683227539,1998-10-09
22.951784133911133,1998-10-12
23.783369064331055,1998-10-13
23.688335418701172,1998-10-14
24.80503273010254,1998-10-15
25.68413543701172,1998-10-16
26.515727996826172,1998-10-19
27.204763412475586,1998-10-20
27.893789291381836,1998-10-21
27.870025634765625,1998-10-22
26.610754013061523,1998-10-23
27.204763412475586,1998-10-26
27.489866256713867,1998-10-27
27.67995262145996,1998-10-28
27.893789291381836,1998-10-29
28.273937225341797,1998-10-30
28.86794090270996,1998-11-02
29.105525970458984,1998-11-03
28.91544532775879,1998-11-04
29.27183723449707,1998-11-05
29.248079299926758,1998-11-06
29.105525970458984,1998-11-09
28.91544532775879,1998-11-10
28.2264347076416,1998-11-11
28.654090881347656,1998-11-12
28.6778507232666,1998-11-13
28.939199447631836,1998-11-16
28.91544532775879,1998-11-17
28.939199447631836,1998-11-18
29.29559326171875,1998-11-19
28.91544532775879,1998-11-20
30.127180099487305,1998-11-23
29.770795822143555,1998-11-24
29.865829467773438,1998-11-25
29.818302154541016,1998-11-27
29.533191680908203,1998-11-30
29.747020721435547,1998-12-01
29.6044864654541,1998-12-02
29.248079299926758,1998-12-03
29.723247528076172,1998-12-04
29.675762176513672,1998-12-07
29.058002471923828,1998-12-08
29.047502517700195,1998-12-09
28.308204650878906,1998-12-10
28.1174259185791,1998-12-11
27.09192657470703,1998-12-14
26.996536254882812,1998-12-15
26.82959747314453,1998-12-16
27.11578369140625,1998-12-17
26.6865177154541,1998-12-18
26.519567489624023,1998-12-21
26.734210968017578,1998-12-22
27.378110885620117,1998-12-23
27.783538818359375,1998-12-24
27.75968360900879,1998-12-28
28.856731414794922,1998-12-29
28.880571365356445,1998-12-30
28.975975036621094,1998-12-31
29.09521484375,1999-01-04
29.333698272705078,1999-01-05
29.3575439453125,1999-01-06
29.142908096313477,1999-01-07
28.904428482055664,1999-01-08
27.33042335510254,1999-01-11
27.711994171142578,1999-01-12
27.378110885620117,1999-01-13
27.11578369140625,1999-01-14
27.211172103881836,1999-01-15
28.236663818359375,1999-01-19
28.3797550201416,1999-01-20
26.972705841064453,1999-01-21
26.710351943969727,1999-01-22
27.401952743530273,1999-01-25
27.401952743530273,1999-01-26
27.974336624145508,1999-01-27
28.3797550201416,1999-01-28
28.403608322143555,1999-01-29
28.45130157470703,1999-02-01
28.71363067626953,1999-02-02
28.83287811279297,1999-02-03
28.47515106201172,1999-02-04
28.809030532836914,1999-02-05
28.47515106201172,1999-02-08
28.1174259185791,1999-02-09
28.188968658447266,1999-02-10
28.498994827270508,1999-02-11
28.332067489624023,1999-02-12
28.856731414794922,1999-02-16
28.856731414794922,1999-02-17
28.999813079833984,1999-02-18
29.405227661132812,1999-02-19
30.406879425048828,1999-02-22
30.144533157348633,1999-02-23
29.57217025756836,1999-02-24
29.381391525268555,1999-02-25
29.762975692749023,1999-02-26
29.023664474487305,1999-03-01
28.975975036621094,1999-03-02
29.596033096313477,1999-03-03
30.02531623840332,1999-03-04
30.597671508789062,1999-03-05
30.716930389404297,1999-03-08
30.383026123046875,1999-03-09
30.651243209838867,1999-03-10
31.202007293701172,1999-03-11
31.13015365600586,1999-03-12
30.9625244140625,1999-03-15
30.81885528564453,1999-03-16
30.459659576416016,1999-03-17
30.124412536621094,1999-03-18
30.2441463470459,1999-03-19
30.100446701049805,1999-03-22
29.88495635986328,1999-03-23
29.549707412719727,1999-03-24
30.19623565673828,1999-03-25
29.980730056762695,1999-03-26
30.315980911254883,1999-03-29
29.837053298950195,1999-03-30
29.645477294921875,1999-03-31
30.07652473449707,1999-04-01
30.60333251953125,1999-04-05
30.00467300415039,1999-04-06
30.363893508911133,1999-04-07
30.50755500793457,1999-04-08
30.2441463470459,1999-04-09
30.363893508911133,1999-04-12
30.14836883544922,1999-04-13
30.890703201293945,1999-04-14
32.207725524902344,1999-04-15
33.716346740722656,1999-04-16
35.91939926147461,1999-04-19
34.482627868652344,1999-04-20
35.00944900512695,1999-04-21
34.62631607055664,1999-04-22
34.410804748535156,1999-04-23
34.17133331298828,1999-04-26
34.362911224365234,1999-04-27
34.50657272338867,1999-04-28
34.985496520996094,1999-04-29
35.29679870605469,1999-04-30
36.85332107543945,1999-05-03
36.54202651977539,1999-05-04
36.61384201049805,1999-05-05
36.75752639770508,1999-05-06
36.3983268737793,1999-05-07
36.87726593017578,1999-05-10
37.16460418701172,1999-05-11
36.254642486572266,1999-05-12
35.84757614135742,1999-05-13
36.01519012451172,1999-05-14
35.51232147216797,1999-05-17
35.87152862548828,1999-05-18
35.67995071411133,1999-05-19
36.01519012451172,1999-05-20
36.230709075927734,1999-05-21
35.87152862548828,1999-05-24
35.440486907958984,1999-05-25
34.21922302246094,1999-05-26
33.74028396606445,1999-05-27
34.12344741821289,1999-05-28
34.86578369140625,1999-06-01
34.38684844970703,1999-06-02
34.81789779663086,1999-06-03
34.841819763183594,1999-06-04
