OXY,Date
27.01836395263672,2006-03-06
26.853191375732422,2006-03-07
26.705129623413086,2006-03-08
26.645898818969727,2006-03-09
26.687358856201172,2006-03-10
27.31810760498047,2006-03-13
27.753442764282227,2006-03-14
27.99921989440918,2006-03-15
28.162094116210938,2006-03-16
28.156164169311523,2006-03-17
27.368465423583984,2006-03-20
27.250019073486328,2006-03-21
27.389204025268555,2006-03-22
27.868934631347656,2006-03-23
27.777118682861328,2006-03-24
27.857086181640625,2006-03-27
28.014028549194336,2006-03-28
28.31312370300293,2006-03-29
27.913347244262695,2006-03-30
27.436569213867188,2006-03-31
27.904460906982422,2006-04-03
28.31312370300293,2006-04-04
28.87281036376953,2006-04-05
28.727693557739258,2006-04-06
28.170969009399414,2006-04-07
28.576669692993164,2006-04-10
28.4375,2006-04-11
28.52928924560547,2006-04-12
28.520410537719727,2006-04-13
29.983301162719727,2006-04-17
30.400842666625977,2006-04-18
30.344579696655273,2006-04-19
30.282398223876953,2006-04-20
31.689029693603516,2006-04-21
31.256669998168945,2006-04-24
30.951662063598633,2006-04-25
29.663480758666992,2006-04-26
30.01291275024414,2006-04-27
30.424528121948242,2006-04-28
30.883544921875,2006-05-01
31.51430892944336,2006-05-02
31.218172073364258,2006-05-03
30.75620460510254,2006-05-04
30.936847686767578,2006-05-05
30.711769104003906,2006-05-08
31.274431228637695,2006-05-09
31.724550247192383,2006-05-10
31.46396827697754,2006-05-11
30.294240951538086,2006-05-12
29.361413955688477,2006-05-15
28.715864181518555,2006-05-16
27.498767852783203,2006-05-17
27.35661506652832,2006-05-18
27.854124069213867,2006-05-19
27.572790145874023,2006-05-22
27.738630294799805,2006-05-23
27.797855377197266,2006-05-24
28.982372283935547,2006-05-25
28.943883895874023,2006-05-26
28.511524200439453,2006-05-30
29.343664169311523,2006-05-31
29.577604293823242,2006-06-01
29.879667282104492,2006-06-02
28.84320831298828,2006-06-05
29.06529998779297,2006-06-06
28.152820587158203,2006-06-07
28.824554443359375,2006-06-08
28.809690475463867,2006-06-09
28.61054801940918,2006-06-12
27.37410545349121,2006-06-13
27.763469696044922,2006-06-14
28.904794692993164,2006-06-15
28.750234603881836,2006-06-16
27.60890769958496,2006-06-19
27.442466735839844,2006-06-20
27.894245147705078,2006-06-21
28.161745071411133,2006-06-22
28.744293212890625,2006-06-23
29.722148895263672,2006-06-26
29.3981876373291,2006-06-27
30.19176483154297,2006-06-28
30.390905380249023,2006-06-29
30.480064392089844,2006-06-30
31.086402893066406,2006-07-03
31.151792526245117,2006-07-05
30.845651626586914,2006-07-06
30.500873565673828,2006-07-07
30.590044021606445,2006-07-10
30.31660270690918,2006-07-11
30.66433334350586,2006-07-12
30.435487747192383,2006-07-13
30.655427932739258,2006-07-14
29.418991088867188,2006-07-17
29.766735076904297,2006-07-18
29.986696243286133,2006-07-19
29.57353401184082,2006-07-20
29.591379165649414,2006-07-21
30.714881896972656,2006-07-24
30.911027908325195,2006-07-25
31.67490577697754,2006-07-26
31.704627990722656,2006-07-27
31.683826446533203,2006-07-28
