K,Date
42.961585998535156,2014-11-07
43.123558044433594,2014-11-10
43.02232360839844,2014-11-11
42.97508239746094,2014-11-12
43.05605697631836,2014-11-13
43.06281661987305,2014-11-14
43.96037292480469,2014-11-17
44.27080535888672,2014-11-18
44.466522216796875,2014-11-19
44.29780197143555,2014-11-20
44.183067321777344,2014-11-21
43.946876525878906,2014-11-24
43.96037292480469,2014-11-25
44.17253112792969,2014-11-26
45.0705451965332,2014-11-28
44.96168518066406,2014-12-01
45.2950439453125,2014-12-02
45.15898132324219,2014-12-03
44.96168518066406,2014-12-04
45.17258834838867,2014-12-05
44.95488739013672,2014-12-08
44.77800750732422,2014-12-09
44.07728576660156,2014-12-10
45.64879608154297,2014-12-11
44.648738861083984,2014-12-12
43.601078033447266,2014-12-15
43.607887268066406,2014-12-16
44.111297607421875,2014-12-17
44.91407012939453,2014-12-18
45.45831298828125,2014-12-19
45.478721618652344,2014-12-22
45.74405288696289,2014-12-23
45.59436798095703,2014-12-24
45.587581634521484,2014-12-26
45.55355453491211,2014-12-29
45.3222541809082,2014-12-30
44.51948547363281,2014-12-31
44.546695709228516,2015-01-02
43.71672439575195,2015-01-05
43.84598159790039,2015-01-06
44.90727615356445,2015-01-07
45.7236442565918,2015-01-08
45.1929931640625,2015-01-09
44.546695709228516,2015-01-12
44.880062103271484,2015-01-13
45.39708709716797,2015-01-14
46.08420181274414,2015-01-15
46.34272766113281,2015-01-16
46.92099380493164,2015-01-20
46.96179962158203,2015-01-21
