MS,Date
43.63103103637695,2019-11-29
43.278316497802734,2019-12-02
42.4229850769043,2019-12-03
43.06669235229492,2019-12-04
43.269508361816406,2019-12-05
43.9132194519043,2019-12-06
43.73685073852539,2019-12-09
43.798587799072266,2019-12-10
43.604591369628906,2019-12-11
44.698001861572266,2019-12-12
44.30120086669922,2019-12-13
44.72446060180664,2019-12-16
44.883182525634766,2019-12-17
44.67155075073242,2019-12-18
44.84791946411133,2019-12-19
44.698001861572266,2019-12-20
44.72446060180664,2019-12-23
44.698001861572266,2019-12-24
45.06835174560547,2019-12-26
45.05072021484375,2019-12-27
44.93608856201172,2019-12-30
45.07717514038086,2019-12-31
45.888427734375,2020-01-02
45.14772033691406,2020-01-03
44.98899459838867,2020-01-06
44.900821685791016,2020-01-07
45.473976135253906,2020-01-08
45.90606689453125,2020-01-09
46.038326263427734,2020-01-10
46.54094314575195,2020-01-13
46.61149215698242,2020-01-14
46.68203353881836,2020-01-15
49.768310546875,2020-01-16
50.71181869506836,2020-01-17
49.30977249145508,2020-01-21
49.256866455078125,2020-01-22
48.965885162353516,2020-01-23
48.10172653198242,2020-01-24
46.831947326660156,2020-01-27
47.634368896484375,2020-01-28
47.33456039428711,2020-01-29
47.769474029541016,2020-01-30
46.384857177734375,2020-01-31
46.68662643432617,2020-02-03
47.94698715209961,2020-02-04
48.80793762207031,2020-02-05
48.8256950378418,2020-02-06
48.84344482421875,2020-02-07
49.12746810913086,2020-02-10
49.50912857055664,2020-02-11
49.86416244506836,2020-02-12
49.64226150512695,2020-02-13
49.5623893737793,2020-02-14
49.27835464477539,2020-02-18
49.979549407958984,2020-02-19
47.70734786987305,2020-02-20
46.5268669128418,2020-02-21
44.09490203857422,2020-02-24
42.63039779663086,2020-02-25
41.9292106628418,2020-02-26
40.3049430847168,2020-02-27
39.96765899658203,2020-02-28
41.254661560058594,2020-03-02
39.40848159790039,2020-03-03
40.154056549072266,2020-03-04
37.80197525024414,2020-03-05
37.13628005981445,2020-03-06
33.28419494628906,2020-03-09
35.059356689453125,2020-03-10
32.72501754760742,2020-03-11
27.790081024169922,2020-03-12
33.28419494628906,2020-03-13
28.091861724853516,2020-03-16
29.991281509399414,2020-03-17
27.293041229248047,2020-03-18
27.443923950195312,2020-03-19
26.334455490112305,2020-03-20
24.683557510375977,2020-03-23
29.485361099243164,2020-03-24
30.16879653930664,2020-03-25
31.695430755615234,2020-03-26
30.186542510986328,2020-03-27
30.923227310180664,2020-03-30
30.177671432495117,2020-03-31
28.065231323242188,2020-04-01
30.08890724182129,2020-04-02
30.044532775878906,2020-04-03
32.849281311035156,2020-04-06
32.787147521972656,2020-04-07
34.943965911865234,2020-04-08
36.46173095703125,2020-04-09
35.130367279052734,2020-04-13
35.37887954711914,2020-04-14
34.08301544189453,2020-04-15
34.047508239746094,2020-04-16
34.6954460144043,2020-04-17
34.047508239746094,2020-04-20
32.79601287841797,2020-04-21
33.55934524536133,2020-04-22
33.25757598876953,2020-04-23
33.701358795166016,2020-04-24
34.890716552734375,2020-04-27
35.618526458740234,2020-04-28
36.522865295410156,2020-04-29
35.305137634277344,2020-04-30
34.38289260864258,2020-05-01
34.10531997680664,2020-05-04
34.006832122802734,2020-05-05
33.3979606628418,2020-05-06
34.749996185302734,2020-05-07
35.88714599609375,2020-05-08
35.663291931152344,2020-05-11
34.400794982910156,2020-05-12
33.120391845703125,2020-05-13
33.8546142578125,2020-05-14
33.389015197753906,2020-05-15
36.06621551513672,2020-05-18
35.21559524536133,2020-05-19
36.764625549316406,2020-05-20
36.084129333496094,2020-05-21
35.931922912597656,2020-05-22
39.11948776245117,2020-05-26
41.95787048339844,2020-05-27
39.755226135253906,2020-05-28
39.57613754272461,2020-05-29
40.02383804321289,2020-06-01
40.8117790222168,2020-06-02
42.00263977050781,2020-06-03
43.59642791748047,2020-06-04
44.34856033325195,2020-06-05
44.9036979675293,2020-06-08
45.12754440307617,2020-06-09
43.59642791748047,2020-06-10
39.907432556152344,2020-06-11
41.43854522705078,2020-06-12
42.441383361816406,2020-06-15
43.48002624511719,2020-06-16
42.76372146606445,2020-06-17
42.60254669189453,2020-06-18
42.02054977416992,2020-06-19
42.4234733581543,2020-06-22
42.880123138427734,2020-06-23
42.03845977783203,2020-06-24
43.68597412109375,2020-06-25
42.127986907958984,2020-06-26
42.298118591308594,2020-06-29
43.24722671508789,2020-06-30
42.62940979003906,2020-07-01
42.790584564208984,2020-07-02
43.71282196044922,2020-07-06
42.52196502685547,2020-07-07
43.793418884277344,2020-07-08
42.53986740112305,2020-07-09
44.590309143066406,2020-07-10
44.96637725830078,2020-07-13
45.21707534790039,2020-07-14
45.978153228759766,2020-07-15
47.133209228515625,2020-07-16
46.92727279663086,2020-07-17
46.43480682373047,2020-07-20
46.90040969848633,2020-07-21
45.6647834777832,2020-07-22
45.270809173583984,2020-07-23
44.93056106567383,2020-07-24
45.9513053894043,2020-07-27
45.00218963623047,2020-07-28
45.297672271728516,2020-07-29
44.13456726074219,2020-07-30
44.07145690917969,2020-07-31
44.594398498535156,2020-08-03
44.414066314697266,2020-08-04
44.8739013671875,2020-08-05
44.585384368896484,2020-08-06
45.396846771240234,2020-08-07
45.604217529296875,2020-08-10
46.68617248535156,2020-08-11
47.22714614868164,2020-08-12
47.04682540893555,2020-08-13
47.15501022338867,2020-08-14
46.23535919189453,2020-08-17
45.9107666015625,2020-08-18
46.316505432128906,2020-08-19
45.80258560180664,2020-08-20
46.073062896728516,2020-08-21
47.21812057495117,2020-08-24
46.92960739135742,2020-08-25
46.623050689697266,2020-08-26
47.43452072143555,2020-08-27
47.68697738647461,2020-08-28
47.11894989013672,2020-08-31
47.40747833251953,2020-09-01
48.01156234741211,2020-09-02
47.56074905395508,2020-09-03
47.524681091308594,2020-09-04
45.23455810546875,2020-09-08
46.0369987487793,2020-09-09
45.34274673461914,2020-09-10
45.396846771240234,2020-09-11
46.11814880371094,2020-09-14
45.43291091918945,2020-09-15
46.11814880371094,2020-09-16
45.30668258666992,2020-09-17
45.15341567993164,2020-09-18
43.60261154174805,2020-09-21
42.944419860839844,2020-09-22
41.853458404541016,2020-09-23
42.02476119995117,2020-09-24
42.412471771240234,2020-09-25
43.62065124511719,2020-09-28
42.59278869628906,2020-09-29
43.593597412109375,2020-09-30
42.61081314086914,2020-10-01
43.250972747802734,2020-10-02
43.819000244140625,2020-10-05
43.04360580444336,2020-10-06
43.918182373046875,2020-10-07
44.179656982421875,2020-10-08
