EW,Date
26.19499969482422,2015-11-06
26.196666717529297,2015-11-09
26.261667251586914,2015-11-10
26.233333587646484,2015-11-11
25.491666793823242,2015-11-12
25.545000076293945,2015-11-13
25.78499984741211,2015-11-16
25.793333053588867,2015-11-17
26.18166732788086,2015-11-18
25.988332748413086,2015-11-19
26.280000686645508,2015-11-20
26.84000015258789,2015-11-23
26.735000610351562,2015-11-24
27.27833366394043,2015-11-25
27.520000457763672,2015-11-27
27.166667938232422,2015-11-30
27.47333335876465,2015-12-01
27.143333435058594,2015-12-02
26.233333587646484,2015-12-03
27.003332138061523,2015-12-04
26.79833221435547,2015-12-07
26.636667251586914,2015-12-08
27.001667022705078,2015-12-09
27.261667251586914,2015-12-10
26.61833381652832,2015-12-11
26.843332290649414,2015-12-14
26.676666259765625,2015-12-15
27.190000534057617,2015-12-16
26.996667861938477,2015-12-17
26.07666778564453,2015-12-18
26.31999969482422,2015-12-21
26.433332443237305,2015-12-22
26.366666793823242,2015-12-23
26.393333435058594,2015-12-24
26.606666564941406,2015-12-28
26.586666107177734,2015-12-29
26.40333366394043,2015-12-30
26.32666778564453,2015-12-31
26.280000686645508,2016-01-04
26.670000076293945,2016-01-05
26.81333351135254,2016-01-06
25.85333251953125,2016-01-07
25.34666633605957,2016-01-08
25.309999465942383,2016-01-11
25.916667938232422,2016-01-12
24.93666648864746,2016-01-13
25.700000762939453,2016-01-14
24.89666748046875,2016-01-15
24.84000015258789,2016-01-19
25.163333892822266,2016-01-20
25.933332443237305,2016-01-21
26.280000686645508,2016-01-22
26.733333587646484,2016-01-25
26.719999313354492,2016-01-26
25.96666717529297,2016-01-27
25.293333053588867,2016-01-28
26.06999969482422,2016-01-29
26.280000686645508,2016-02-01
25.636667251586914,2016-02-02
27.773332595825195,2016-02-03
27.866666793823242,2016-02-04
27.34000015258789,2016-02-05
25.656667709350586,2016-02-08
25.446666717529297,2016-02-09
26.333332061767578,2016-02-10
26.34666633605957,2016-02-11
27.01333236694336,2016-02-12
28.149999618530273,2016-02-16
28.873332977294922,2016-02-17
28.746667861938477,2016-02-18
28.73666763305664,2016-02-19
28.8700008392334,2016-02-22
28.956666946411133,2016-02-23
29.26333236694336,2016-02-24
29.85333251953125,2016-02-25
29.309999465942383,2016-02-26
29.0,2016-02-29
29.290000915527344,2016-03-01
29.43000030517578,2016-03-02
29.040000915527344,2016-03-03
29.1200008392334,2016-03-04
29.086666107177734,2016-03-07
28.373332977294922,2016-03-08
28.583332061767578,2016-03-09
28.829999923706055,2016-03-10
29.209999084472656,2016-03-11
29.31333351135254,2016-03-14
28.76333236694336,2016-03-15
28.593332290649414,2016-03-16
28.123332977294922,2016-03-17
28.60333251953125,2016-03-18
28.546667098999023,2016-03-21
28.75,2016-03-22
28.6299991607666,2016-03-23
29.113332748413086,2016-03-24
28.906667709350586,2016-03-28
29.6299991607666,2016-03-29
29.6299991607666,2016-03-30
29.40333366394043,2016-03-31
29.97333335876465,2016-04-01
35.026668548583984,2016-04-04
34.51333236694336,2016-04-05
35.82666778564453,2016-04-06
35.08333206176758,2016-04-07
34.823333740234375,2016-04-08
35.33000183105469,2016-04-11
35.246665954589844,2016-04-12
36.106666564941406,2016-04-13
35.83000183105469,2016-04-14
35.516666412353516,2016-04-15
36.0,2016-04-18
35.36000061035156,2016-04-19
35.95333480834961,2016-04-20
36.03333282470703,2016-04-21
36.11000061035156,2016-04-22
35.99333190917969,2016-04-25
36.279998779296875,2016-04-26
36.310001373291016,2016-04-27
35.75,2016-04-28
35.4033317565918,2016-04-29
35.619998931884766,2016-05-02
35.143333435058594,2016-05-03
34.599998474121094,2016-05-04
34.790000915527344,2016-05-05
35.246665954589844,2016-05-06
35.459999084472656,2016-05-09
35.529998779296875,2016-05-10
35.026668548583984,2016-05-11
35.1966667175293,2016-05-12
