YUM,Date
3.6558241844177246,2000-08-16
3.6558241844177246,2000-08-17
3.8921892642974854,2000-08-18
4.081286430358887,2000-08-21
3.9394638538360596,2000-08-22
3.970979928970337,2000-08-23
3.8134026527404785,2000-08-24
3.7897632122039795,2000-08-25
3.742490291595459,2000-08-28
3.750368356704712,2000-08-29
3.7109758853912354,2000-08-30
3.6735498905181885,2000-08-31
3.7661285400390625,2000-09-01
3.774007797241211,2000-09-05
3.7897632122039795,2000-09-06
4.034010887145996,2000-09-07
3.9315853118896484,2000-09-08
3.9158272743225098,2000-09-11
3.8606748580932617,2000-09-12
3.8685550689697266,2000-09-13
3.821279525756836,2000-09-14
3.8921892642974854,2000-09-15
3.8134026527404785,2000-09-18
3.6715800762176514,2000-09-19
3.679460048675537,2000-09-20
3.734612226486206,2000-09-21
3.6715800762176514,2000-09-22
3.742490291595459,2000-09-25
3.742490291595459,2000-09-26
3.679460048675537,2000-09-27
3.742490291595459,2000-09-28
3.8606748580932617,2000-09-29
3.8843133449554443,2000-10-02
3.726733446121216,2000-10-03
3.7818875312805176,2000-10-04
3.9237074851989746,2000-10-05
3.774007797241211,2000-10-06
3.844918727874756,2000-10-09
3.797642946243286,2000-10-10
3.758248805999756,2000-10-11
3.3643038272857666,2000-10-12
3.474607229232788,2000-10-13
3.521880626678467,2000-10-16
3.4667282104492188,2000-10-17
3.5691545009613037,2000-10-18
3.529761552810669,2000-10-19
3.490365982055664,2000-10-20
3.443091630935669,2000-10-23
3.4115757942199707,2000-10-24
3.3800599575042725,2000-10-25
3.348545789718628,2000-10-26
3.3406665325164795,2000-10-27
3.6400647163391113,2000-10-30
3.7818875312805176,2000-10-31
3.821279525756836,2000-11-01
3.7897632122039795,2000-11-02
3.7818875312805176,2000-11-03
3.852794885635376,2000-11-06
3.844918727874756,2000-11-07
3.8134026527404785,2000-11-08
3.829160451889038,2000-11-09
3.774007797241211,2000-11-10
3.8055219650268555,2000-11-13
3.8764336109161377,2000-11-14
4.167952537536621,2000-11-15
4.262500286102295,2000-11-16
4.412199974060059,2000-11-17
4.483110427856445,2000-11-20
4.4752302169799805,2000-11-21
4.490988731384277,2000-11-22
4.483110427856445,2000-11-24
4.483110427856445,2000-11-27
4.624932289123535,2000-11-28
4.7115983963012695,2000-11-29
4.53826379776001,2000-11-30
4.317652702331543,2000-12-01
4.364925861358643,2000-12-04
4.309772968292236,2000-12-05
4.286137104034424,2000-12-06
4.372806072235107,2000-12-07
4.372806072235107,2000-12-08
4.420078754425049,2000-12-11
4.498867511749268,2000-12-12
4.357048988342285,2000-12-13
4.246741771697998,2000-12-14
4.2152276039123535,2000-12-15
4.420078754425049,2000-12-18
4.459472179412842,2000-12-19
4.278257846832275,2000-12-20
4.057647228240967,2000-12-21
4.026132583618164,2000-12-22
3.9946160316467285,2000-12-26
4.0734052658081055,2000-12-27
4.2152276039123535,2000-12-28
4.160074234008789,2000-12-29
4.026132583618164,2001-01-02
4.254620552062988,2001-01-03
4.262500286102295,2001-01-04
4.128557205200195,2001-01-05
4.104922294616699,2001-01-08
4.081286430358887,2001-01-09
4.12067985534668,2001-01-10
4.026132583618164,2001-01-11
4.12067985534668,2001-01-12
4.262500286102295,2001-01-16
4.427958965301514,2001-01-17
4.427958965301514,2001-01-18
4.286137104034424,2001-01-19
4.301896572113037,2001-01-22
4.380683422088623,2001-01-23
4.254620552062988,2001-01-24
4.230985164642334,2001-01-25
4.357048988342285,2001-01-26
4.42354679107666,2001-01-29
4.53322172164917,2001-01-30
4.54078483581543,2001-01-31
4.530699729919434,2001-02-01
4.443716049194336,2001-02-02
4.375641345977783,2001-02-05
4.52187442779541,2001-02-06
4.526916980743408,2001-02-07
4.502965450286865,2001-02-08
4.414720058441162,2001-02-09
4.422286510467529,2001-02-12
4.54078483581543,2001-02-13
4.407158374786377,2001-02-14
4.450018882751465,2001-02-15
4.664327144622803,2001-02-16
4.830729007720947,2001-02-20
4.669368267059326,2001-02-21
4.678191661834717,2001-02-22
4.647936820983887,2001-02-23
4.692060470581055,2001-02-26
4.815600872039795,2001-02-27
4.853418827056885,2001-02-28
4.91771125793457,2001-03-01
4.850898742675781,2001-03-02
4.8193840980529785,2001-03-05
4.739962577819824,2001-03-06
4.7954301834106445,2001-03-07
5.011000156402588,2001-03-08
5.033690452575684,2001-03-09
4.892500877380371,2001-03-12
4.751308917999268,2001-03-13
4.626505374908447,2001-03-14
4.569777965545654,2001-03-15
4.53322172164917,2001-03-16
4.668107032775879,2001-03-19
4.659283638000488,2001-03-20
4.683234691619873,2001-03-21
4.54078483581543,2001-03-22
4.4626264572143555,2001-03-23
4.468926429748535,2001-03-26
4.424807548522949,2001-03-27
4.579863548278809,2001-03-28
4.736180782318115,2001-03-29
4.814340114593506,2001-03-30
4.820643901824951,2001-04-02
4.688277244567871,2001-04-03
4.765177249908447,2001-04-04
4.797952651977539,2001-04-05
4.679453372955322,2001-04-06
4.771480560302734,2001-04-09
4.75887393951416,2001-04-10
4.685757160186768,2001-04-11
4.7223124504089355,2001-04-12
4.794170379638672,2001-04-16
4.785345077514648,2001-04-17
4.921492576599121,2001-04-18
5.042513847351074,2001-04-19
5.042513847351074,2001-04-20
5.168576717376709,2001-04-23
5.269429683685303,2001-04-24
5.405574798583984,2001-04-25
5.486254692077637,2001-04-26
5.508946418762207,2001-04-27
5.650138854980469,2001-04-30
5.641312599182129,2001-05-01
5.326156139373779,2001-05-02
5.173620223999023,2001-05-03
5.289599418640137,2001-05-04
5.253039360046387,2001-05-07
5.225302696228027,2001-05-08
5.20387601852417,2001-05-09
5.222785949707031,2001-05-10
5.304724216461182,2001-05-11
5.322372913360596,2001-05-14
5.351367950439453,2001-05-15
5.311030387878418,2001-05-16
5.293378829956055,2001-05-17
5.414400100708008,2001-05-18
5.403054714202881,2001-05-21
5.477431297302246,2001-05-22
5.458522319793701,2001-05-23
5.628706932067871,2001-05-24
5.672828674316406,2001-05-25
5.74216365814209,2001-05-29
5.836709022521973,2001-05-30
5.76107120513916,2001-05-31
5.836709022521973,2001-06-01
5.806456565856934,2001-06-04
5.748466491699219,2001-06-05
5.6047539710998535,2001-06-06
5.705602169036865,2001-06-07
5.7711567878723145,2001-06-08
5.831666946411133,2001-06-11
6.00563383102417,2001-06-12
6.0245466232299805,2001-06-13
5.917389392852783,2001-06-14
5.911088466644287,2001-06-15
5.829146862030029,2001-06-18
5.79258918762207,2001-06-19
5.829146862030029,2001-06-20
5.806456565856934,2001-06-21
5.685435771942139,2001-06-22
5.590888023376465,2001-06-25
5.507686614990234,2001-06-26
5.471127510070801,2001-06-27
5.5341596603393555,2001-06-28
5.5341596603393555,2001-06-29
5.530376434326172,2001-07-02
5.519031047821045,2001-07-03
5.545506000518799,2001-07-05
5.408097267150879,2001-07-06
5.501384258270264,2001-07-09
5.4207024574279785,2001-07-10
5.391706943511963,2001-07-11
5.357672691345215,2001-07-12
5.5177717208862305,2001-07-13
5.70308256149292,2001-07-16
5.599711894989014,2001-07-17
5.536678314208984,2001-07-18
5.546765327453613,2001-07-19
5.672828674316406,2001-07-20
5.70308256149292,2001-07-23
5.679133415222168,2001-07-24
5.692999839782715,2001-07-25
5.635009765625,2001-07-26
5.483733654022217,2001-07-27
5.727035045623779,2001-07-30
5.767375469207764,2001-07-31
5.766116619110107,2001-08-01
5.729557037353516,2001-08-02
5.685435771942139,2001-08-03
5.59719181060791,2001-08-06
5.469867706298828,2001-08-07
5.483733654022217,2001-08-08
5.52785587310791,2001-08-09
5.496341228485107,2001-08-10
5.469867706298828,2001-08-13
5.496341228485107,2001-08-14
5.483733654022217,2001-08-15
5.526596546173096,2001-08-16
5.5518083572387695,2001-08-17
5.607276916503906,2001-08-20
5.582065105438232,2001-08-21
5.584584712982178,2001-08-22
5.606016159057617,2001-08-23
5.60223388671875,2001-08-24
5.559372425079346,2001-08-27
5.539201259613037,2001-08-28
5.548025608062744,2001-08-29
5.57197904586792,2001-08-30
5.372798442840576,2001-08-31
5.300946235656738,2001-09-04
5.288336753845215,2001-09-05
5.139582633972168,2001-09-06
5.1307573318481445,2001-09-07
5.152191162109375,2001-09-10
4.956790447235107,2001-09-17
4.9983930587768555,2001-09-18
4.905107021331787,2001-09-19
4.971920013427734,2001-09-20
4.859722137451172,2001-09-21
4.9340996742248535,2001-09-24
4.945446491241455,2001-09-25
4.936622619628906,2001-09-26
4.9429240226745605,2001-09-27
4.944185256958008,2001-09-28
4.805517196655273,2001-10-01
4.912671089172363,2001-10-02
5.244215965270996,2001-10-03
5.303464412689209,2001-10-04
5.328676223754883,2001-10-05
5.260602951049805,2001-10-08
5.271948337554932,2001-10-09
5.32993745803833,2001-10-10
5.592148303985596,2001-10-11
5.628706932067871,2001-10-12
5.672828674316406,2001-10-15
