GOLD,Date
0.8187915682792664,1986-07-24
0.8187915682792664,1986-07-25
0.8392614126205444,1986-07-28
0.8392614126205444,1986-07-29
0.8392614126205444,1986-07-30
0.890435516834259,1986-07-31
0.9006708860397339,1986-08-01
0.9006708860397339,1986-08-04
0.9006708860397339,1986-08-05
0.9211404919624329,1986-08-06
0.9416101574897766,1986-08-07
0.9825501441955566,1986-08-08
1.0439594984054565,1986-08-11
1.0234897136688232,1986-08-12
1.0030202865600586,1986-08-13
1.0030202865600586,1986-08-14
0.9723150134086609,1986-08-15
0.9416101574897766,1986-08-18
0.9518454074859619,1986-08-19
0.9723150134086609,1986-08-20
1.0030202865600586,1986-08-21
1.0337246656417847,1986-08-22
1.0644290447235107,1986-08-25
1.0644290447235107,1986-08-26
1.0644290447235107,1986-08-27
1.0746639966964722,1986-08-28
1.0746639966964722,1986-08-29
1.1156038045883179,1986-09-02
1.146308183670044,1986-09-03
1.1156038045883179,1986-09-04
1.1258386373519897,1986-09-05
1.105368971824646,1986-09-08
1.1258386373519897,1986-09-09
1.1360732316970825,1986-09-10
1.1156038045883179,1986-09-11
1.1156038045883179,1986-09-12
1.1258386373519897,1986-09-15
1.1258386373519897,1986-09-16
1.1156038045883179,1986-09-17
1.1258386373519897,1986-09-18
1.146308183670044,1986-09-19
1.1872478723526,1986-09-22
1.146308183670044,1986-09-23
1.1360732316970825,1986-09-24
1.1258386373519897,1986-09-25
1.1258386373519897,1986-09-26
1.1258386373519897,1986-09-29
1.146308183670044,1986-09-30
1.146308183670044,1986-10-01
1.1872478723526,1986-10-02
1.1667779684066772,1986-10-03
1.2281876802444458,1986-10-06
1.310066819190979,1986-10-07
1.310066819190979,1986-10-08
1.299831748008728,1986-10-09
1.3510063886642456,1986-10-10
1.3714755773544312,1986-10-13
1.3305363655090332,1986-10-14
1.2895972728729248,1986-10-15
1.2486573457717896,1986-10-16
1.207717776298523,1986-10-17
1.2281876802444458,1986-10-20
1.2281876802444458,1986-10-21
1.238422155380249,1986-10-22
1.2281876802444458,1986-10-23
1.2281876802444458,1986-10-24
1.2281876802444458,1986-10-27
1.2281876802444458,1986-10-28
1.217952847480774,1986-10-29
1.207717776298523,1986-10-30
1.146308183670044,1986-10-31
1.1360732316970825,1986-11-03
1.1872478723526,1986-11-04
1.1872478723526,1986-11-05
1.217952847480774,1986-11-06
1.2281876802444458,1986-11-07
1.2281876802444458,1986-11-10
1.238422155380249,1986-11-11
1.238422155380249,1986-11-12
1.2281876802444458,1986-11-13
1.2281876802444458,1986-11-14
1.1872478723526,1986-11-17
1.1667779684066772,1986-11-18
1.146308183670044,1986-11-19
1.146308183670044,1986-11-20
1.105368971824646,1986-11-21
