J,Date
53.774566650390625,2014-04-29
54.368194580078125,2014-04-30
54.726261138916016,2014-05-01
53.50130844116211,2014-05-02
53.378822326660156,2014-05-05
53.36940002441406,2014-05-06
53.774566650390625,2014-05-07
53.303443908691406,2014-05-08
52.88884353637695,2014-05-09
53.011329650878906,2014-05-12
52.62501525878906,2014-05-13
51.3341178894043,2014-05-14
50.740501403808594,2014-05-15
50.20341110229492,2014-05-16
50.25053787231445,2014-05-19
49.86421203613281,2014-05-20
49.9866943359375,2014-05-21
50.09977340698242,2014-05-22
50.269371032714844,2014-05-23
51.371803283691406,2014-05-27
51.466041564941406,2014-05-28
51.588531494140625,2014-05-29
51.89004898071289,2014-05-30
52.295230865478516,2014-06-02
51.79581832885742,2014-06-03
51.95600891113281,2014-06-04
52.728660583496094,2014-06-05
53.425933837890625,2014-06-06
53.774566650390625,2014-06-09
53.18093490600586,2014-06-10
51.81468200683594,2014-06-11
51.49431228637695,2014-06-12
51.5791130065918,2014-06-13
51.49431228637695,2014-06-16
51.5319938659668,2014-06-17
51.55083465576172,2014-06-18
51.71102523803711,2014-06-19
52.45541000366211,2014-06-20
51.99370574951172,2014-06-23
51.400081634521484,2014-06-24
50.47666549682617,2014-06-25
50.259944915771484,2014-06-26
50.45781326293945,2014-06-27
50.20341110229492,2014-06-30
50.137454986572266,2014-07-01
50.00554275512695,2014-07-02
50.47666549682617,2014-07-03
50.46723937988281,2014-07-07
50.25053787231445,2014-07-08
50.21283721923828,2014-07-09
50.0809211730957,2014-07-10
50.740501403808594,2014-07-11
51.079715728759766,2014-07-14
51.230472564697266,2014-07-15
51.21162796020508,2014-07-16
50.928951263427734,2014-07-17
51.40950393676758,2014-07-18
51.230472564697266,2014-07-21
51.40950393676758,2014-07-22
51.701602935791016,2014-07-23
51.6827507019043,2014-07-24
50.87241744995117,2014-07-25
50.8253059387207,2014-07-28
49.34596252441406,2014-07-29
48.76176452636719,2014-07-30
47.876033782958984,2014-07-31
47.367218017578125,2014-08-01
47.59336853027344,2014-08-04
47.15050506591797,2014-08-05
47.065704345703125,2014-08-06
47.112815856933594,2014-08-07
47.76296615600586,2014-08-08
48.2529411315918,2014-08-11
47.791236877441406,2014-08-12
48.43197250366211,2014-08-13
49.129241943359375,2014-08-14
48.309471130371094,2014-08-15
49.31769943237305,2014-08-18
49.242305755615234,2014-08-19
50.7876091003418,2014-08-20
51.25874710083008,2014-08-21
50.77819061279297,2014-08-22
51.164520263671875,2014-08-25
51.418922424316406,2014-08-26
51.277584075927734,2014-08-27
51.173946380615234,2014-08-28
50.79703903198242,2014-08-29
50.523780822753906,2014-09-02
50.222259521484375,2014-09-03
49.8359375,2014-09-04
50.231685638427734,2014-09-05
50.67455291748047,2014-09-08
50.44839096069336,2014-09-09
50.335330963134766,2014-09-10
50.55204391479492,2014-09-11
50.373008728027344,2014-09-12
50.15630340576172,2014-09-15
50.31649398803711,2014-09-16
49.722862243652344,2014-09-17
49.96784591674805,2014-09-18
49.48729705810547,2014-09-19
49.138668060302734,2014-09-22
48.073917388916016,2014-09-23
47.43318557739258,2014-09-24
46.660526275634766,2014-09-25
46.81129455566406,2014-09-26
46.472076416015625,2014-09-29
46.000938415527344,2014-09-30
44.6158332824707,2014-10-01
44.172977447509766,2014-10-02
44.5216064453125,2014-10-03
44.60641860961914,2014-10-06
44.43680191040039,2014-10-07
45.23772048950195,2014-10-08
44.5216064453125,2014-10-09
44.012794494628906,2014-10-10
43.57936096191406,2014-10-13
44.00335693359375,2014-10-14
44.022220611572266,2014-10-15
42.61825180053711,2014-10-16
43.30610275268555,2014-10-17
42.77842712402344,2014-10-20
43.94681930541992,2014-10-21
43.07052993774414,2014-10-22
44.578155517578125,2014-10-23
44.62525939941406,2014-10-24
44.31431198120117,2014-10-27
44.66293716430664,2014-10-28
44.4650764465332,2014-10-29
44.42739486694336,2014-10-30
44.71006774902344,2014-10-31
44.35200119018555,2014-11-03
44.135292053222656,2014-11-04
45.16233825683594,2014-11-05
45.15291976928711,2014-11-06
45.47328186035156,2014-11-07
44.8702392578125,2014-11-10
44.832557678222656,2014-11-11
45.605201721191406,2014-11-12
44.738338470458984,2014-11-13
44.93619155883789,2014-11-14
44.502769470214844,2014-11-17
44.94562911987305,2014-11-18
44.474491119384766,2014-11-19
45.93499755859375,2014-11-20
46.245941162109375,2014-11-21
44.76659393310547,2014-11-24
45.53925704956055,2014-11-25
44.72890853881836,2014-11-26
43.76780319213867,2014-11-28
43.31552505493164,2014-12-01
43.890296936035156,2014-12-02
44.08817672729492,2014-12-03
43.63589859008789,2014-12-04
43.63589859008789,2014-12-05
42.3355712890625,2014-12-08
41.836181640625,2014-12-09
39.78205490112305,2014-12-10
40.064735412597656,2014-12-11
38.641929626464844,2014-12-12
38.0577392578125,2014-12-15
37.859859466552734,2014-12-16
38.70789337158203,2014-12-17
39.8009033203125,2014-12-18
40.752586364746094,2014-12-19
41.00699996948242,2014-12-22
41.949249267578125,2014-12-23
41.89270782470703,2014-12-24
41.9869499206543,2014-12-26
42.4392204284668,2014-12-29
42.55229187011719,2014-12-30
42.109432220458984,2014-12-31
42.06231689453125,2015-01-02
40.545284271240234,2015-01-05
39.81032180786133,2015-01-06
39.28265380859375,2015-01-07
40.696048736572266,2015-01-08
39.60303497314453,2015-01-09
38.406375885009766,2015-01-12
37.93523025512695,2015-01-13
37.58660125732422,2015-01-14
36.333404541015625,2015-01-15
36.70087432861328,2015-01-16
36.719730377197266,2015-01-20
37.29450225830078,2015-01-21
37.31334686279297,2015-01-22
37.49238586425781,2015-01-23
37.661983489990234,2015-01-26
36.86106491088867,2015-01-27
36.14494323730469,2015-01-28
36.51243591308594,2015-01-29
35.89996337890625,2015-01-30
37.54890060424805,2015-02-02
38.74558639526367,2015-02-03
37.501800537109375,2015-02-04
38.51001739501953,2015-02-05
38.547706604003906,2015-02-06
39.04709243774414,2015-02-09
39.06594467163086,2015-02-10
39.51822280883789,2015-02-11
40.10243606567383,2015-02-12
40.771427154541016,2015-02-13
40.752586364746094,2015-02-17
41.2896728515625,2015-02-18
41.28025436401367,2015-02-19
41.873870849609375,2015-02-20
41.64772415161133,2015-02-23
41.939823150634766,2015-02-24
42.16596984863281,2015-02-25
41.96809387207031,2015-02-26
41.77964782714844,2015-02-27
41.6383056640625,2015-03-02
41.44985580444336,2015-03-03
41.251976013183594,2015-03-04
41.317935943603516,2015-03-05
40.60182189941406,2015-03-06
40.762001037597656,2015-03-09
40.846805572509766,2015-03-10
40.55471420288086,2015-03-11
41.11064147949219,2015-03-12
40.72431945800781,2015-03-13
41.138916015625,2015-03-16
40.97873306274414,2015-03-17
42.052894592285156,2015-03-18
41.44985580444336,2015-03-19
42.213077545166016,2015-03-20
42.36384201049805,2015-03-23
42.50518798828125,2015-03-24
42.35442352294922,2015-03-25
42.36384201049805,2015-03-26
41.723106384277344,2015-03-27
42.36384201049805,2015-03-30
42.55229187011719,2015-03-31
41.751380920410156,2015-04-01
41.723106384277344,2015-04-02
42.63709259033203,2015-04-06
42.35442352294922,2015-04-07
42.63709259033203,2015-04-08
43.24955749511719,2015-04-09
43.909141540527344,2015-04-10
43.73953628540039,2015-04-13
44.09758758544922,2015-04-14
45.42618179321289,2015-04-15
45.002159118652344,2015-04-16
44.71949005126953,2015-04-17
44.65351867675781,2015-04-20
44.399112701416016,2015-04-21
44.238922119140625,2015-04-22
44.43680191040039,2015-04-23
43.63589859008789,2015-04-24
43.96566390991211,2015-04-27
41.45927429199219,2015-04-28
41.60061264038086,2015-04-29
40.385108947753906,2015-04-30
40.281455993652344,2015-05-01
40.41337966918945,2015-05-04
40.32856750488281,2015-05-05
40.469905853271484,2015-05-06
40.79027557373047,2015-05-07
41.22371292114258,2015-05-08
41.261409759521484,2015-05-11
41.016422271728516,2015-05-12
41.48753356933594,2015-05-13
41.73251724243164,2015-05-14
41.45927429199219,2015-05-15
41.70426559448242,2015-05-18
41.214290618896484,2015-05-19
41.61945724487305,2015-05-20
41.76079559326172,2015-05-21
41.054107666015625,2015-05-22
40.56413650512695,2015-05-26
41.0446891784668,2015-05-27
40.8373908996582,2015-05-28
40.762001037597656,2015-05-29
40.941043853759766,2015-06-01
41.138916015625,2015-06-02
41.694847106933594,2015-06-03
40.66777801513672,2015-06-04
41.12006378173828,2015-06-05
40.18723678588867,2015-06-08
40.460487365722656,2015-06-09
41.148338317871094,2015-06-10
40.941043853759766,2015-06-11
40.620662689208984,2015-06-12
39.85743713378906,2015-06-15
40.21550750732422,2015-06-16
40.319156646728516,2015-06-17
40.696048736572266,2015-06-18
41.02583694458008,2015-06-19
41.23312759399414,2015-06-22
41.327354431152344,2015-06-23
40.545284271240234,2015-06-24
40.0458869934082,2015-06-25
39.791473388671875,2015-06-26
38.3027229309082,2015-06-29
