GE,Date
4.66582727432251,1983-07-22
4.720334053039551,1983-07-25
4.698531627655029,1983-07-26
4.589517593383789,1983-07-27
4.447798252105713,1983-07-28
4.349681854248047,1983-07-29
4.27337646484375,1983-08-01
4.27337646484375,1983-08-02
4.327882766723633,1983-08-03
4.2079668045043945,1983-08-04
4.2079668045043945,1983-08-05
4.131656646728516,1983-08-08
4.2079668045043945,1983-08-09
4.316980361938477,1983-08-10
4.29517936706543,1983-08-11
4.284273147583008,1983-08-12
4.338782787322998,1983-08-15
4.2515716552734375,1983-08-16
4.175262451171875,1983-08-17
4.131656646728516,1983-08-18
4.153459072113037,1983-08-19
4.164360046386719,1983-08-22
4.153459072113037,1983-08-23
4.120754241943359,1983-08-24
4.120754241943359,1983-08-25
4.2079668045043945,1983-08-26
4.2624735832214355,1983-08-29
4.306079387664795,1983-08-30
4.458700656890869,1983-08-31
4.382389545440674,1983-09-01
4.425995826721191,1983-09-02
4.513208389282227,1983-09-06
4.480501174926758,1983-09-07
4.480501174926758,1983-09-08
4.469597816467285,1983-09-09
4.349681854248047,1983-09-12
4.316980361938477,1983-09-13
4.360586643218994,1983-09-14
4.327882766723633,1983-09-15
4.360586643218994,1983-09-16
4.382389545440674,1983-09-19
4.41509485244751,1983-09-20
4.371486186981201,1983-09-21
4.513208389282227,1983-09-22
4.545909881591797,1983-09-23
4.611320972442627,1983-09-26
4.6091179847717285,1983-09-27
4.598118782043457,1983-09-28
4.6091179847717285,1983-09-29
4.642121315002441,1983-09-30
4.741120338439941,1983-10-03
4.785122394561768,1983-10-04
4.873125076293945,1983-10-05
4.862126350402832,1983-10-06
4.928129196166992,1983-10-07
4.917126655578613,1983-10-10
4.752123832702637,1983-10-11
4.686121463775635,1983-10-12
4.708122253417969,1983-10-13
4.675120830535889,1983-10-14
4.730121612548828,1983-10-17
4.664121150970459,1983-10-18
4.697122573852539,1983-10-19
4.708122253417969,1983-10-20
4.631117820739746,1983-10-21
4.521119117736816,1983-10-24
4.576118469238281,1983-10-25
4.576118469238281,1983-10-26
4.642121315002441,1983-10-27
4.576118469238281,1983-10-28
4.554118633270264,1983-10-31
4.532115936279297,1983-11-01
4.6091179847717285,1983-11-02
4.565113067626953,1983-11-03
4.565113067626953,1983-11-04
4.554118633270264,1983-11-07
4.653120040893555,1983-11-08
4.774125099182129,1983-11-09
4.818124771118164,1983-11-10
4.840124130249023,1983-11-11
4.928129196166992,1983-11-14
4.884128093719482,1983-11-15
4.851125240325928,1983-11-16
4.840124130249023,1983-11-17
4.884128093719482,1983-11-18
4.961128234863281,1983-11-21
4.928129196166992,1983-11-22
4.994128704071045,1983-11-23
4.97213077545166,1983-11-25
4.983129978179932,1983-11-28
5.1041340827941895,1983-11-29
5.070844650268555,1983-11-30
5.093037128448486,1983-12-01
5.059747219085693,1983-12-02
5.093037128448486,1983-12-05
5.12632417678833,1983-12-06
5.1818013191223145,1983-12-07
5.12632417678833,1983-12-08
5.1041364669799805,1983-12-09
5.137423038482666,1983-12-12
5.12632417678833,1983-12-13
5.015366077423096,1983-12-14
4.893309116363525,1983-12-15
4.893309116363525,1983-12-16
4.95988655090332,1983-12-19
5.004269599914551,1983-12-20
5.115228652954102,1983-12-21
5.192901611328125,1983-12-22
5.170706272125244,1983-12-23
