SYF,Date
32.60591506958008,2020-01-22
32.408966064453125,2020-01-23
29.212831497192383,2020-01-24
28.827861785888672,2020-01-27
29.159114837646484,2020-01-28
29.221784591674805,2020-01-29
29.651512145996094,2020-01-30
29.015871047973633,2020-01-31
29.024816513061523,2020-02-03
29.230737686157227,2020-02-04
29.929054260253906,2020-02-05
29.911026000976562,2020-02-06
29.911026000976562,2020-02-07
29.983121871948242,2020-02-10
30.037195205688477,2020-02-11
30.262496948242188,2020-02-12
30.478782653808594,2020-02-13
30.415700912475586,2020-02-14
29.983121871948242,2020-02-18
30.073246002197266,2020-02-19
30.316566467285156,2020-02-20
30.037195205688477,2020-02-21
29.06389045715332,2020-02-24
27.721092224121094,2020-02-25
27.567888259887695,2020-02-26
26.747793197631836,2020-02-27
26.225095748901367,2020-02-28
27.387645721435547,2020-03-02
26.0178165435791,2020-03-03
27.16234588623047,2020-03-04
26.369287490844727,2020-03-05
25.459070205688477,2020-03-06
22.548173904418945,2020-03-09
23.6746826171875,2020-03-10
22.070533752441406,2020-03-11
19.529129028320312,2020-03-12
21.746095657348633,2020-03-13
16.086530685424805,2020-03-16
15.735055923461914,2020-03-17
12.553799629211426,2020-03-18
13.157608032226562,2020-03-19
12.085171699523926,2020-03-20
11.535435676574707,2020-03-23
13.283775329589844,2020-03-24
15.014090538024902,2020-03-25
17.149948120117188,2020-03-26
15.410622596740723,2020-03-27
15.1132230758667,2020-03-30
14.50040340423584,2020-03-31
13.076499938964844,2020-04-01
12.896257400512695,2020-04-02
11.94097900390625,2020-04-03
13.959681510925293,2020-04-06
14.527440071105957,2020-04-07
15.158283233642578,2020-04-08
15.879250526428223,2020-04-09
14.617559432983398,2020-04-13
14.32917594909668,2020-04-14
13.473029136657715,2020-04-15
12.770088195800781,2020-04-16
14.076837539672852,2020-04-17
14.049798965454102,2020-04-20
13.671293258666992,2020-04-21
14.464353561401367,2020-04-22
14.509414672851562,2020-04-23
15.29345989227295,2020-04-24
15.879250526428223,2020-04-27
16.888601303100586,2020-04-28
18.97038459777832,2020-04-29
17.834867477416992,2020-04-30
16.868850708007812,2020-05-01
16.79593849182129,2020-05-04
16.404067993164062,2020-05-05
15.766131401062012,2020-05-06
16.394954681396484,2020-05-07
