ETR,Date
16.730188369750977,2002-01-07
16.755720138549805,2002-01-08
16.994050979614258,2002-01-09
17.492000579833984,2002-01-10
17.449443817138672,2002-01-11
17.602657318115234,2002-01-14
17.726072311401367,2002-01-15
17.802684783935547,2002-01-16
17.751609802246094,2002-01-17
17.8537654876709,2002-01-18
17.279199600219727,2002-01-22
17.330278396606445,2002-01-23
17.228132247924805,2002-01-24
17.215368270874023,2002-01-25
17.045124053955078,2002-01-28
16.947240829467773,2002-01-29
16.968524932861328,2002-01-30
17.52604866027832,2002-01-31
17.560096740722656,2002-02-01
17.585628509521484,2002-02-04
17.611173629760742,2002-02-05
17.585628509521484,2002-02-06
17.97604751586914,2002-02-07
17.898813247680664,2002-02-08
17.88594627380371,2002-02-11
17.577058792114258,2002-02-12
17.684314727783203,2002-02-13
17.628528594970703,2002-02-14
17.46121597290039,2002-02-15
17.482667922973633,2002-02-19
17.418310165405273,2002-02-20
17.285320281982422,2002-02-21
17.504117965698242,2002-02-22
17.375411987304688,2002-02-25
17.465503692626953,2002-02-26
17.740074157714844,2002-02-27
17.710044860839844,2002-02-28
17.804431915283203,2002-03-01
18.20342445373535,2002-03-04
18.297815322875977,2002-03-05
18.58525276184082,2002-03-06
18.405061721801758,2002-03-07
18.542356491088867,2002-03-08
18.50802993774414,2002-03-11
18.3364200592041,2002-03-12
18.169103622436523,2002-03-13
17.997501373291016,2002-03-14
17.988916397094727,2002-03-15
17.813016891479492,2002-03-18
17.79585075378418,2002-03-19
17.843040466308594,2002-03-20
18.23345947265625,2002-03-21
18.400774002075195,2002-03-22
18.5123233795166,2002-03-25
18.46083641052246,2002-03-26
18.452259063720703,2002-03-27
18.623868942260742,2002-03-28
18.64531898498535,2002-04-01
18.85125160217285,2002-04-02
18.85553550720215,2002-04-03
18.85553550720215,2002-04-04
18.731121063232422,2002-04-05
19.005691528320312,2002-04-08
18.76116180419922,2002-04-09
19.130117416381836,2002-04-10
19.091493606567383,2002-04-11
19.112957000732422,2002-04-12
18.928468704223633,2002-04-15
19.151569366455078,2002-04-16
19.263107299804688,2002-04-17
19.39610481262207,2002-04-18
19.48191261291504,2002-04-19
19.69641876220703,2002-04-22
19.80367660522461,2002-04-23
19.92809295654297,2002-04-24
19.705005645751953,2002-04-25
19.563426971435547,2002-04-26
19.777942657470703,2002-04-29
19.906644821166992,2002-04-30
19.692136764526367,2002-05-01
20.035350799560547,2002-05-02
19.992448806762695,2002-05-03
19.992448806762695,2002-05-06
19.773651123046875,2002-05-07
19.597749710083008,2002-05-08
19.511943817138672,2002-05-09
19.542198181152344,2002-05-10
19.663196563720703,2002-05-13
19.70209312438965,2002-05-14
19.57244300842285,2002-05-15
19.252647399902344,2002-05-16
19.170534133911133,2002-05-17
19.425521850585938,2002-05-20
19.41254234313965,2002-05-21
19.792842864990234,2002-05-22
19.749629974365234,2002-05-23
19.909523010253906,2002-05-24
19.918176651000977,2002-05-28
19.57244300842285,2002-05-29
19.187820434570312,2002-05-30
19.006315231323242,2002-05-31
18.600088119506836,2002-06-03
18.630334854125977,2002-06-04
18.45747947692871,2002-06-05
18.10742950439453,2002-06-06
18.297582626342773,2002-06-07
18.4617977142334,2002-06-10
18.215469360351562,2002-06-11
18.172258377075195,2002-06-12
18.198183059692383,2002-06-13
17.97777557373047,2002-06-14
18.30190086364746,2002-06-17
18.673559188842773,2002-06-18
18.49637794494629,2002-06-19
18.582801818847656,2002-06-20
18.798887252807617,2002-06-21
18.422908782958984,2002-06-24
18.232751846313477,2002-06-25
