TSCO,Date
8.734332084655762,2005-05-17
8.917390823364258,2005-05-18
9.129915237426758,2005-05-19
8.978408813476562,2005-05-20
9.081512451171875,2005-05-23
9.026808738708496,2005-05-24
8.868993759155273,2005-05-25
9.14042854309082,2005-05-26
9.197240829467773,2005-05-27
9.346635818481445,2005-05-31
9.32559585571289,2005-06-01
9.447639465332031,2005-06-02
9.594929695129395,2005-06-03
9.681197166442871,2005-06-06
9.902134895324707,2005-06-07
9.832697868347168,2005-06-08
9.969466209411621,2005-06-09
9.937902450561523,2005-06-10
10.003134727478027,2005-06-13
10.299816131591797,2005-06-14
10.369256019592285,2005-06-15
10.484980583190918,2005-06-16
10.312445640563965,2005-06-17
10.282986640930176,2005-06-20
10.28719425201416,2005-06-21
10.36715030670166,2005-06-22
10.285091400146484,2005-06-23
10.120965957641602,2005-06-24
10.091506958007812,2005-06-27
10.259841918945312,2005-06-28
10.261941909790039,2005-06-29
10.331382751464844,2005-06-30
10.3208589553833,2005-07-01
10.426068305969238,2005-07-05
10.362942695617676,2005-07-06
10.261941909790039,2005-07-07
10.430277824401855,2005-07-08
10.510231971740723,2005-07-11
10.476568222045898,2005-07-12
10.373464584350586,2005-07-13
10.375567436218262,2005-07-14
10.34400463104248,2005-07-15
10.240901947021484,2005-07-18
10.604921340942383,2005-07-19
10.65121078491211,2005-07-20
10.625960350036621,2005-07-21
11.417123794555664,2005-07-22
11.41291618347168,2005-07-25
11.692767143249512,2005-07-26
11.869512557983398,2005-07-27
12.241952896118164,2005-07-28
11.829540252685547,2005-07-29
11.850577354431152,2005-08-01
11.58124828338623,2005-08-02
11.507596015930176,2005-08-03
11.210916519165039,2005-08-04
11.236165046691895,2005-08-05
10.949997901916504,2005-08-08
11.137267112731934,2005-08-09
11.408705711364746,2005-08-10
11.385562896728516,2005-08-11
11.391873359680176,2005-08-12
11.379246711730957,2005-08-15
10.689088821411133,2005-08-16
10.65331745147705,2005-08-17
10.558629989624023,2005-08-18
10.466050148010254,2005-08-19
10.52706527709961,2005-08-22
10.45131778717041,2005-08-23
10.569151878356934,2005-08-24
10.569151878356934,2005-08-25
10.531275749206543,2005-08-26
10.552316665649414,2005-08-29
10.634379386901855,2005-08-30
10.827958106994629,2005-08-31
10.52075481414795,2005-09-01
10.072571754455566,2005-09-02
10.46183967590332,2005-09-06
10.907917976379395,2005-09-07
10.75221061706543,2005-09-08
10.897397994995117,2005-09-09
11.034170150756836,2005-09-12
11.032063484191895,2005-09-13
10.867940902709961,2005-09-14
10.76694107055664,2005-09-15
10.712231636047363,2005-09-16
10.617547988891602,2005-09-19
10.270359992980957,2005-09-20
10.072571754455566,2005-09-21
9.979991912841797,2005-09-22
10.31033992767334,2005-09-23
10.268257141113281,2005-09-26
10.243006706237793,2005-09-27
10.169363021850586,2005-09-28
9.691719055175781,2005-09-29
9.605451583862305,2005-09-30
9.679093360900879,2005-10-03
9.563368797302246,2005-10-04
9.449748039245605,2005-10-05
9.245643615722656,2005-10-06
9.167787551879883,2005-10-07
9.054157257080078,2005-10-10
8.923707008361816,2005-10-11
8.744850158691406,2005-10-12
8.650166511535645,2005-10-13
8.951061248779297,2005-10-14
9.060476303100586,2005-10-17
8.868993759155273,2005-10-18
9.209866523742676,2005-10-19
9.925278663635254,2005-10-20
9.990510940551758,2005-10-21
10.205132484436035,2005-10-24
10.059943199157715,2005-10-25
9.933694839477539,2005-10-26
9.836907386779785,2005-10-27
10.110444068908691,2005-10-28
10.205132484436035,2005-10-31
10.472363471984863,2005-11-01
10.916336059570312,2005-11-02
10.804810523986816,2005-11-03
10.958417892456055,2005-11-04
10.903712272644043,2005-11-07
10.760625839233398,2005-11-08
10.668045043945312,2005-11-09
10.9415864944458,2005-11-10
10.693293571472168,2005-11-11
10.741691589355469,2005-11-14
10.524961471557617,2005-11-15
10.604921340942383,2005-11-16
10.74589729309082,2005-11-17
10.539690971374512,2005-11-18
10.914230346679688,2005-11-21
10.947897911071777,2005-11-22
10.733271598815918,2005-11-23
10.84900188446045,2005-11-25
10.678567886352539,2005-11-28
10.968936920166016,2005-11-29
11.33295726776123,2005-11-30
11.421326637268066,2005-12-01
11.604393005371094,2005-12-02
