ASML,Date
7.089526176452637,2003-06-11
7.215003490447998,2003-06-12
6.97799015045166,2003-06-13
7.298656940460205,2003-06-16
7.361396789550781,2003-06-17
7.187121391296387,2003-06-18
6.9082794189453125,2003-06-19
6.747944355010986,2003-06-20
6.441222190856934,2003-06-23
6.350596904754639,2003-06-24
6.566699028015137,2003-06-25
6.5457868576049805,2003-06-26
6.671266078948975,2003-06-27
6.671266078948975,2003-06-30
6.859483242034912,2003-07-01
7.417165279388428,2003-07-02
7.305629730224609,2003-07-03
8.12820816040039,2003-07-07
8.12820816040039,2003-07-08
7.856337547302246,2003-07-09
7.61235237121582,2003-07-10
7.807542324066162,2003-07-11
8.23974323272705,2003-07-14
8.664976119995117,2003-07-15
8.420991897583008,2003-07-16
7.682062149047852,2003-07-17
8.065468788146973,2003-07-18
7.912107944488525,2003-07-21
8.55344009399414,2003-07-22
9.041412353515625,2003-07-23
8.99261474609375,2003-07-24
9.229630470275879,2003-07-25
9.173861503601074,2003-07-28
9.013527870178223,2003-07-29
9.020501136779785,2003-07-30
9.020501136779785,2003-07-31
9.389965057373047,2003-08-01
9.508469581604004,2003-08-04
9.145976066589355,2003-08-05
8.790452003479004,2003-08-06
8.76257038116455,2003-08-07
8.288540840148926,2003-08-08
8.58132266998291,2003-08-11
8.846223831176758,2003-08-12
9.041412353515625,2003-08-13
8.915933609008789,2003-08-14
8.888049125671387,2003-08-15
9.494528770446777,2003-08-18
9.759425163269043,2003-08-19
9.794281959533691,2003-08-20
10.254368782043457,2003-08-21
10.37984848022461,2003-08-22
10.428645133972168,2003-08-25
10.540180206298828,2003-08-26
11.035123825073242,2003-08-27
11.153630256652832,2003-08-28
10.993297576904297,2003-08-29
10.92358684539795,2003-09-02
10.526237487792969,2003-09-03
10.665657997131348,2003-09-04
10.965413093566895,2003-09-05
11.774052619934082,2003-09-08
11.42549991607666,2003-09-09
10.637775421142578,2003-09-10
10.630805015563965,2003-09-11
10.48441219329834,2003-09-12
10.282254219055176,2003-09-15
10.616863250732422,2003-09-16
10.80508041381836,2003-09-17
10.644744873046875,2003-09-18
10.45652961730957,2003-09-19
9.898846626281738,2003-09-22
10.205573081970215,2003-09-23
9.564239501953125,2003-09-24
9.487557411193848,2003-09-25
9.166890144348145,2003-09-26
9.250544548034668,2003-09-29
9.145976066589355,2003-09-30
9.42481803894043,2003-10-01
9.633950233459473,2003-10-02
10.498353004455566,2003-10-03
10.205573081970215,2003-10-06
10.470470428466797,2003-10-07
10.37984848022461,2003-10-08
10.470470428466797,2003-10-09
10.372875213623047,2003-10-10
10.512298583984375,2003-10-13
10.310135841369629,2003-10-14
10.909646034240723,2003-10-15
11.0839204788208,2003-10-16
10.951472282409668,2003-10-17
10.930558204650879,2003-10-20
11.355789184570312,2003-10-21
11.049065589904785,2003-10-22
10.819022178649902,2003-10-23
10.902673721313477,2003-10-24
10.902673721313477,2003-10-27
12.073805809020996,2003-10-28
12.004093170166016,2003-10-29
12.05289077758789,2003-10-30
12.234136581420898,2003-10-31
12.805761337280273,2003-11-03
12.485095977783203,2003-11-04
12.512978553771973,2003-11-05
13.182199478149414,2003-11-06
12.938209533691406,2003-11-07
12.296878814697266,2003-11-10
12.471150398254395,2003-11-11
13.03580379486084,2003-11-12
12.945185661315918,2003-11-13
12.324762344360352,2003-11-14
12.213223457336426,2003-11-17
11.927412986755371,2003-11-18
12.213223457336426,2003-11-19
11.990151405334473,2003-11-20
12.526922225952148,2003-11-21
12.993978500366211,2003-11-24
13.168253898620605,2003-11-25
13.098544120788574,2003-11-26
13.119457244873047,2003-11-28
13.279791831970215,2003-12-01
13.384353637695312,2003-12-02
13.788677215576172,2003-12-03
13.809591293334961,2003-12-04
13.161283493041992,2003-12-05
13.384353637695312,2003-12-08
12.924271583557129,2003-12-09
12.610573768615723,2003-12-10
13.084603309631348,2003-12-11
13.2449369430542,2003-12-12
12.980037689208984,2003-12-15
12.840617179870605,2003-12-16
12.729079246520996,2003-12-17
13.237967491149902,2003-12-18
13.2449369430542,2003-12-19
13.210082054138184,2003-12-22
13.558633804321289,2003-12-23
13.691081047058105,2003-12-24
13.907181739807129,2003-12-26
14.039628028869629,2003-12-29
14.123286247253418,2003-12-30
13.976892471313477,2003-12-31
14.311503410339355,2004-01-02
14.457895278930664,2004-01-05
14.604287147521973,2004-01-06
14.653082847595215,2004-01-07
15.343213081359863,2004-01-08
15.447778701782227,2004-01-09
15.559314727783203,2004-01-12
15.245617866516113,2004-01-13
15.189848899841309,2004-01-14
14.84826946258545,2004-01-15
15.168936729431152,2004-01-16
15.30138874053955,2004-01-20
14.980719566345215,2004-01-21
14.436979293823242,2004-01-22
14.109347343444824,2004-01-23
14.199965476989746,2004-01-26
13.914155006408691,2004-01-27
13.698051452636719,2004-01-28
13.488924026489258,2004-01-29
13.426182746887207,2004-01-30
13.398297309875488,2004-02-02
13.363442420959473,2004-02-03
12.9173002243042,2004-02-04
13.300702095031738,2004-02-05
13.96992301940918,2004-02-06
13.767762184143066,2004-02-09
13.732909202575684,2004-02-10
13.935065269470215,2004-02-11
13.621373176574707,2004-02-12
13.607426643371582,2004-02-13
14.464863777160645,2004-02-17
14.158138275146484,2004-02-18
14.179052352905273,2004-02-19
13.718966484069824,2004-02-20
13.314644813537598,2004-02-23
13.021867752075195,2004-02-24
13.210082054138184,2004-02-25
13.042776107788086,2004-02-26
12.729079246520996,2004-02-27
13.00792121887207,2004-03-01
12.973068237304688,2004-03-02
13.0497465133667,2004-03-03
13.363442420959473,2004-03-04
13.363442420959473,2004-03-05
13.028834342956543,2004-03-08
12.756967544555664,2004-03-09
12.512978553771973,2004-03-10
12.1992826461792,2004-03-11
12.526922225952148,2004-03-12
11.767080307006836,2004-03-15
12.192312240600586,2004-03-16
12.568744659423828,2004-03-17
12.415382385253906,2004-03-18
11.711313247680664,2004-03-19
11.488239288330078,2004-03-22
11.662515640258789,2004-03-23
11.85073184967041,2004-03-24
12.582690238952637,2004-03-25
12.582690238952637,2004-03-26
12.812735557556152,2004-03-29
12.680285453796387,2004-03-30
12.777878761291504,2004-03-31
13.03580379486084,2004-04-01
13.502864837646484,2004-04-02
13.481953620910645,2004-04-05
13.161283493041992,2004-04-06
13.098544120788574,2004-04-07
12.959122657775879,2004-04-08
13.175226211547852,2004-04-12
13.0497465133667,2004-04-13
12.743025779724121,2004-04-14
12.05289077758789,2004-04-15
12.248079299926758,2004-04-16
12.499038696289062,2004-04-19
12.038948059082031,2004-04-20
11.794962882995605,2004-04-21
11.613718032836914,2004-04-22
11.774052619934082,2004-04-23
11.592805862426758,2004-04-26
11.634631156921387,2004-04-27
11.18848705291748,2004-04-28
10.832964897155762,2004-04-29
10.853877067565918,2004-04-30
11.056036949157715,2004-05-03
11.30002212524414,2004-05-04
11.341846466064453,2004-05-05
10.88176155090332,2004-05-06
10.812049865722656,2004-05-07
10.623833656311035,2004-05-10
11.042094230651855,2004-05-11
10.80508041381836,2004-05-12
10.839932441711426,2004-05-13
10.70051383972168,2004-05-14
10.568065643310547,2004-05-17
10.812049865722656,2004-05-18
10.993297576904297,2004-05-19
10.902673721313477,2004-05-20
11.063006401062012,2004-05-21
11.251224517822266,2004-05-24
11.634631156921387,2004-05-25
11.711313247680664,2004-05-26
12.143515586853027,2004-05-27
12.27596664428711,2004-05-28
12.025006294250488,2004-06-01
11.85073184967041,2004-06-02
11.550979614257812,2004-06-03
11.85770320892334,2004-06-04
12.36659049987793,2004-06-07
12.241107940673828,2004-06-08
11.732226371765137,2004-06-09
11.73919677734375,2004-06-10
11.0211820602417,2004-06-14
11.411561012268066,2004-06-15
11.167572975158691,2004-06-16
10.80508041381836,2004-06-17
10.92358684539795,2004-06-18
10.965413093566895,2004-06-21
11.286079406738281,2004-06-22
11.369731903076172,2004-06-23
11.453383445739746,2004-06-24
11.571890830993652,2004-06-25
11.585834503173828,2004-06-28
11.85770320892334,2004-06-29
11.927412986755371,2004-06-30
11.746166229248047,2004-07-01
11.634631156921387,2004-07-02
11.230313301086426,2004-07-06
11.286079406738281,2004-07-07
11.293051719665527,2004-07-08
11.571890830993652,2004-07-09
11.153630256652832,2004-07-12
11.1187744140625,2004-07-13
10.351964950561523,2004-07-14
10.212542533874512,2004-07-15
10.400761604309082,2004-07-16
10.282254219055176,2004-07-19
10.519268035888672,2004-07-20
10.324078559875488,2004-07-21
10.338022232055664,2004-07-22
9.689716339111328,2004-07-23
9.585150718688965,2004-07-26
9.654864311218262,2004-07-27
9.522411346435547,2004-07-28
9.843080520629883,2004-07-29
9.891875267028809,2004-07-30
9.863991737365723,2004-08-02
9.403905868530273,2004-08-03
