ADCT,Date
0.800000011920929,2023-10-13
0.7900000214576721,2023-10-16
0.765999972820282,2023-10-17
0.7289999723434448,2023-10-18
0.7760000228881836,2023-10-19
0.8299999833106995,2023-10-20
0.703000009059906,2023-10-23
0.7099999785423279,2023-10-24
0.6510000228881836,2023-10-25
0.6549999713897705,2023-10-26
0.699999988079071,2023-10-27
0.703000009059906,2023-10-30
0.699999988079071,2023-10-31
0.6710000038146973,2023-11-01
0.699999988079071,2023-11-02
0.800000011920929,2023-11-03
0.8629999756813049,2023-11-06
0.7250000238418579,2023-11-07
0.6000000238418579,2023-11-08
0.46799999475479126,2023-11-09
0.4699999988079071,2023-11-10
0.5,2023-11-13
0.5509999990463257,2023-11-14
0.5849999785423279,2023-11-15
0.6359999775886536,2023-11-16
0.7039999961853027,2023-11-17
0.7099999785423279,2023-11-20
0.7239999771118164,2023-11-21
0.7099999785423279,2023-11-22
0.7369999885559082,2023-11-24
0.7239999771118164,2023-11-27
0.7300000190734863,2023-11-28
0.7699999809265137,2023-11-29
0.8299999833106995,2023-11-30
1.1100000143051147,2023-12-01
1.1100000143051147,2023-12-04
1.0299999713897705,2023-12-05
1.0700000524520874,2023-12-06
1.0700000524520874,2023-12-07
1.0199999809265137,2023-12-08
1.0,2023-12-11
1.0299999713897705,2023-12-12
1.6799999475479126,2023-12-13
1.7899999618530273,2023-12-14
1.590000033378601,2023-12-15
1.409999966621399,2023-12-18
1.350000023841858,2023-12-19
1.2799999713897705,2023-12-20
1.2799999713897705,2023-12-21
1.4800000190734863,2023-12-22
1.649999976158142,2023-12-26
1.7200000286102295,2023-12-27
1.590000033378601,2023-12-28
1.659999966621399,2023-12-29
1.690000057220459,2024-01-02
1.659999966621399,2024-01-03
1.8799999952316284,2024-01-04
2.0299999713897705,2024-01-05
1.9199999570846558,2024-01-08
2.069999933242798,2024-01-09
2.180000066757202,2024-01-10
2.069999933242798,2024-01-11
2.130000114440918,2024-01-12
1.8799999952316284,2024-01-16
1.8600000143051147,2024-01-17
1.8300000429153442,2024-01-18
1.8200000524520874,2024-01-19
1.899999976158142,2024-01-22
1.9700000286102295,2024-01-23
2.0999999046325684,2024-01-24
2.5899999141693115,2024-01-25
2.6700000762939453,2024-01-26
3.2200000286102295,2024-01-29
