AGNC,Date
8.967787742614746,2012-06-12
9.008219718933105,2012-06-13
9.051342010498047,2012-06-14
9.056734085083008,2012-06-15
9.059430122375488,2012-06-18
9.095824241638184,2012-06-19
9.003435134887695,2012-06-20
9.053833961486816,2012-06-21
9.107022285461426,2012-06-22
9.051030158996582,2012-06-25
9.104218482971191,2012-06-26
9.224604606628418,2012-06-27
9.305790901184082,2012-06-28
9.409378051757812,2012-06-29
9.395379066467285,2012-07-02
9.501761436462402,2012-07-03
9.524164199829102,2012-07-05
9.591348648071289,2012-07-06
9.714529991149902,2012-07-09
9.680938720703125,2012-07-10
9.594149589538574,2012-07-11
9.633341789245605,2012-07-12
9.706133842468262,2012-07-13
9.820918083190918,2012-07-16
9.879700660705566,2012-07-17
9.49616527557373,2012-07-18
9.560555458068848,2012-07-19
9.610949516296387,2012-07-20
9.686540603637695,2012-07-23
9.795717239379883,2012-07-24
9.781715393066406,2012-07-25
9.792922973632812,2012-07-26
9.904895782470703,2012-07-27
9.840517044067383,2012-07-30
9.837709426879883,2012-07-31
9.790121078491211,2012-08-01
9.809721946716309,2012-08-02
9.75092601776123,2012-08-03
9.53816032409668,2012-08-06
9.22740364074707,2012-08-07
9.395379066467285,2012-08-08
9.510168075561523,2012-08-09
9.487762451171875,2012-08-10
9.571754455566406,2012-08-13
9.666938781738281,2012-08-14
9.529762268066406,2012-08-15
9.378582954406738,2012-08-16
9.456968307495117,2012-08-17
9.532556533813477,2012-08-20
9.540958404541016,2012-08-21
9.510168075561523,2012-08-22
9.484968185424805,2012-08-23
9.56614875793457,2012-08-24
9.613750457763672,2012-08-27
9.630542755126953,2012-08-28
9.7117338180542,2012-08-29
9.700532913208008,2012-08-30
9.7537260055542,2012-08-31
9.748126983642578,2012-09-04
9.739727020263672,2012-09-05
9.770523071289062,2012-09-06
9.804118156433105,2012-09-07
9.921696662902832,2012-09-10
9.98328685760498,2012-09-11
10.061678886413574,2012-09-12
10.12326431274414,2012-09-13
10.215656280517578,2012-09-14
10.268855094909668,2012-09-17
10.190464973449707,2012-09-18
10.100587844848633,2012-09-19
10.161467552185059,2012-09-20
10.196250915527344,2012-09-21
10.126680374145508,2012-09-24
10.042600631713867,2012-09-25
10.01940631866455,2012-09-26
9.96142864227295,2012-09-27
10.031009674072266,2012-09-28
10.04550552368164,2012-10-01
10.146976470947266,2012-10-02
10.184661865234375,2012-10-03
10.120881080627441,2012-10-04
10.11798095703125,2012-10-05
10.031009674072266,2012-10-08
9.767190933227539,2012-10-09
9.587442398071289,2012-10-10
9.625130653381348,2012-10-11
9.448282241821289,2012-10-12
9.277234077453613,2012-10-15
9.277234077453613,2012-10-16
9.427984237670898,2012-10-17
9.567146301269531,2012-10-18
9.578742980957031,2012-10-19
9.462774276733398,2012-10-22
9.372902870178223,2012-10-23
9.407692909240723,2012-10-24
9.36420726776123,2012-10-25
9.277234077453613,2012-10-26
9.567146301269531,2012-10-31
9.529457092285156,2012-11-01
9.407692909240723,2012-11-02
9.372902870178223,2012-11-05
9.19025707244873,2012-11-06
8.909046173095703,2012-11-07
8.97282600402832,2012-11-08
8.935134887695312,2012-11-09
8.822070121765137,2012-11-12
8.575638771057129,2012-11-13
8.317618370056152,2012-11-14
8.651016235351562,2012-11-15
8.984423637390137,2012-11-16
9.025009155273438,2012-11-19
9.048197746276855,2012-11-20
9.109086990356445,2012-11-21
9.178665161132812,2012-11-23
9.117781639099121,2012-11-26
9.085890769958496,2012-11-27
9.091683387756348,2012-11-28
9.12067985534668,2012-11-29
9.146771430969238,2012-11-30
9.164163589477539,2012-12-03
9.123573303222656,2012-12-04
8.984423637390137,2012-12-05
8.993114471435547,2012-12-06
