EVRG,Date
50.376792907714844,2020-11-13
50.835487365722656,2020-11-16
49.90046691894531,2020-11-17
48.524375915527344,2020-11-18
47.825138092041016,2020-11-19
48.55556106567383,2020-11-20
48.96531677246094,2020-11-23
49.70464324951172,2020-11-24
50.04313659667969,2020-11-25
49.67791748046875,2020-11-27
49.35724639892578,2020-11-30
49.49085998535156,2020-12-01
49.97187042236328,2020-12-02
49.437416076660156,2020-12-03
48.9207649230957,2020-12-04
49.09892272949219,2020-12-07
49.40178298950195,2020-12-08
49.437416076660156,2020-12-09
49.08110427856445,2020-12-10
49.10783386230469,2020-12-11
48.46648025512695,2020-12-14
48.68917465209961,2020-12-15
47.807315826416016,2020-12-16
48.136898040771484,2020-12-17
47.52227020263672,2020-12-18
47.0145263671875,2020-12-21
46.898738861083984,2020-12-22
47.0145263671875,2020-12-23
47.593528747558594,2020-12-24
47.94983673095703,2020-12-28
48.065635681152344,2020-12-29
48.163612365722656,2020-12-30
49.44631576538086,2020-12-31
47.878570556640625,2021-01-04
47.78059005737305,2021-01-05
48.74262237548828,2021-01-06
47.41537094116211,2021-01-07
47.21050262451172,2021-01-08
46.7116813659668,2021-01-11
47.112525939941406,2021-01-12
48.33286666870117,2021-01-13
47.48664855957031,2021-01-14
48.36850357055664,2021-01-15
47.54899597167969,2021-01-19
48.00328826904297,2021-01-20
47.72715377807617,2021-01-21
47.92311477661133,2021-01-22
48.33286666870117,2021-01-25
47.6915168762207,2021-01-26
46.96109390258789,2021-01-27
47.9587516784668,2021-01-28
47.86075973510742,2021-01-29
47.86967468261719,2021-02-01
47.98546600341797,2021-02-02
47.78059005737305,2021-02-03
48.99203109741211,2021-02-04
48.89404296875,2021-02-05
48.29723358154297,2021-02-08
48.72480010986328,2021-02-09
49.29489517211914,2021-02-10
48.74262237548828,2021-02-11
48.48429489135742,2021-02-12
48.47538757324219,2021-02-16
48.813880920410156,2021-02-17
49.1879997253418,2021-02-18
48.30614471435547,2021-02-19
