LYB,Date
65.64739990234375,2020-02-05
65.10086822509766,2020-02-06
64.10147857666016,2020-02-07
63.968753814697266,2020-02-10
65.56153869628906,2020-02-11
66.84201049804688,2020-02-12
65.1867446899414,2020-02-13
64.49185943603516,2020-02-14
63.49247360229492,2020-02-18
63.98435974121094,2020-02-19
65.07745361328125,2020-02-20
64.73391723632812,2020-02-21
62.1885871887207,2020-02-24
58.87811279296875,2020-02-25
58.081729888916016,2020-02-26
55.35681915283203,2020-02-27
56.632755279541016,2020-02-28
59.057838439941406,2020-03-02
57.25092697143555,2020-03-03
59.62053680419922,2020-03-04
58.57440948486328,2020-03-05
57.052791595458984,2020-03-06
47.24152374267578,2020-03-09
47.344547271728516,2020-03-10
42.795536041259766,2020-03-11
36.51093292236328,2020-03-12
37.12116622924805,2020-03-13
27.658599853515625,2020-03-16
33.06351852416992,2020-03-17
32.152130126953125,2020-03-18
34.26020812988281,2020-03-19
33.28541564941406,2020-03-20
32.0887336730957,2020-03-23
35.892784118652344,2020-03-24
41.28977584838867,2020-03-25
42.74005889892578,2020-03-26
39.14999771118164,2020-03-27
39.29265594482422,2020-03-30
39.3322639465332,2020-03-31
35.68672561645508,2020-04-01
36.39205551147461,2020-04-02
36.53470230102539,2020-04-03
39.5303955078125,2020-04-06
40.93313980102539,2020-04-07
43.960533142089844,2020-04-08
46.70261764526367,2020-04-09
45.99727249145508,2020-04-13
46.47278594970703,2020-04-14
41.76527786254883,2020-04-15
39.189613342285156,2020-04-16
41.36109161376953,2020-04-17
38.36540603637695,2020-04-20
36.95474624633789,2020-04-21
38.127662658691406,2020-04-22
39.126220703125,2020-04-23
39.66512680053711,2020-04-24
41.53544998168945,2020-04-27
44.11903762817383,2020-04-28
47.4951286315918,2020-04-29
45.92594909667969,2020-04-30
43.7148551940918,2020-05-01
43.07291793823242,2020-05-04
43.469173431396484,2020-05-05
41.29768753051758,2020-05-06
42.5815544128418,2020-05-07
44.73719024658203,2020-05-08
44.428104400634766,2020-05-11
44.26961135864258,2020-05-12
41.678104400634766,2020-05-13
42.23285675048828,2020-05-14
42.478538513183594,2020-05-15
47.05132293701172,2020-05-18
46.02104949951172,2020-05-19
47.859676361083984,2020-05-20
47.75665283203125,2020-05-21
47.883453369140625,2020-05-22
53.66878128051758,2020-05-26
53.343833923339844,2020-05-27
51.03765106201172,2020-05-28
50.53043746948242,2020-05-29
51.782596588134766,2020-06-01
54.19975662231445,2020-06-02
55.871952056884766,2020-06-03
58.606101989746094,2020-06-04
