FANG,Date
72.06961822509766,2016-07-22
69.71713256835938,2016-07-25
70.1582260131836,2016-07-26
69.72530364990234,2016-07-27
70.19091033935547,2016-07-28
71.7102279663086,2016-07-29
70.20722961425781,2016-08-01
70.12555694580078,2016-08-02
71.34262084960938,2016-08-03
72.62507629394531,2016-08-04
75.92509460449219,2016-08-05
76.53773498535156,2016-08-08
77.01148986816406,2016-08-09
76.20283508300781,2016-08-10
76.9134750366211,2016-08-11
77.25656127929688,2016-08-12
78.7840347290039,2016-08-15
77.6077880859375,2016-08-16
77.84466552734375,2016-08-17
80.4993896484375,2016-08-18
80.53205108642578,2016-08-19
78.81671142578125,2016-08-22
78.89839172363281,2016-08-23
78.57167053222656,2016-08-24
78.62882995605469,2016-08-25
78.6860122680664,2016-08-26
79.52735137939453,2016-08-29
78.82486724853516,2016-08-30
77.80384063720703,2016-08-31
77.82017517089844,2016-09-01
78.72684478759766,2016-09-02
79.35581970214844,2016-09-06
80.507568359375,2016-09-07
80.3278579711914,2016-09-08
78.4572982788086,2016-09-09
78.11422729492188,2016-09-12
74.25059509277344,2016-09-13
72.33917999267578,2016-09-14
73.41740417480469,2016-09-15
73.26220703125,2016-09-16
72.93548583984375,2016-09-19
72.16765594482422,2016-09-20
73.01715850830078,2016-09-21
74.33226013183594,2016-09-22
72.63324737548828,2016-09-23
73.76864624023438,2016-09-26
72.31468200683594,2016-09-27
76.27633666992188,2016-09-28
78.03254699707031,2016-09-29
78.85752868652344,2016-09-30
75.58201599121094,2016-10-03
74.81420135498047,2016-10-04
77.35458374023438,2016-10-05
77.63228607177734,2016-10-06
77.35458374023438,2016-10-07
85.93953704833984,2016-10-10
85.63732147216797,2016-10-11
85.39225006103516,2016-10-12
84.5672607421875,2016-10-13
82.4189682006836,2016-10-14
82.0677261352539,2016-10-17
81.4469223022461,2016-10-18
84.29768371582031,2016-10-19
83.52169036865234,2016-10-20
83.51351928710938,2016-10-21
81.3570785522461,2016-10-24
79.59269714355469,2016-10-25
78.4572982788086,2016-10-26
79.05357360839844,2016-10-27
76.77461242675781,2016-10-28
74.56916046142578,2016-10-31
74.99391174316406,2016-11-01
74.56099700927734,2016-11-02
75.60651397705078,2016-11-03
74.89588165283203,2016-11-04
76.7501220703125,2016-11-07
76.5704116821289,2016-11-08
80.18083190917969,2016-11-09
79.5355224609375,2016-11-10
77.99987030029297,2016-11-11
77.04417419433594,2016-11-14
78.95557403564453,2016-11-15
79.71524047851562,2016-11-16
79.98477935791016,2016-11-17
79.31497192382812,2016-11-18
82.0595474243164,2016-11-21
81.03034210205078,2016-11-22
82.31278228759766,2016-11-23
81.22638702392578,2016-11-25
79.02909851074219,2016-11-28
77.92635345458984,2016-11-29
88.09599304199219,2016-11-30
89.85218811035156,2016-12-01
88.33287811279297,2016-12-02
87.3445053100586,2016-12-05
86.82170104980469,2016-12-06
86.0865707397461,2016-12-07
87.61405181884766,2016-12-08
86.61752319335938,2016-12-09
85.75984191894531,2016-12-12
85.99671936035156,2016-12-13
82.91722869873047,2016-12-14
82.64765930175781,2016-12-15
83.27664184570312,2016-12-16
85.9721908569336,2016-12-19
83.85659790039062,2016-12-20
82.86823272705078,2016-12-21
83.9137954711914,2016-12-22
84.0771484375,2016-12-23
84.8286361694336,2016-12-27
