BKR,Date
38.79048156738281,2011-04-05
37.84461975097656,2011-04-06
37.84461975097656,2011-04-07
38.030609130859375,2011-04-08
36.8297004699707,2011-04-11
35.894466400146484,2011-04-12
36.29832077026367,2011-04-13
36.8297004699707,2011-04-14
37.451393127441406,2011-04-15
37.5736198425293,2011-04-18
38.801090240478516,2011-04-19
39.32184600830078,2011-04-20
39.57692337036133,2011-04-21
39.18368911743164,2011-04-25
39.35374069213867,2011-04-26
41.064754486083984,2011-04-27
41.447357177734375,2011-04-28
41.13386535644531,2011-04-29
39.48127746582031,2011-05-02
38.7745361328125,2011-05-03
38.37599182128906,2011-05-04
37.135311126708984,2011-05-05
36.88505172729492,2011-05-06
38.15235900878906,2011-05-09
38.47184371948242,2011-05-10
37.0447883605957,2011-05-11
37.48675537109375,2011-05-12
36.88505172729492,2011-05-13
36.618797302246094,2011-05-16
36.66672897338867,2011-05-17
37.71039581298828,2011-05-18
37.57727813720703,2011-05-19
37.3376579284668,2011-05-20
36.570884704589844,2011-05-23
37.428184509277344,2011-05-24
39.28654861450195,2011-05-25
39.66994094848633,2011-05-26
39.116153717041016,2011-05-27
39.36641311645508,2011-05-31
38.32274627685547,2011-06-01
39.19068908691406,2011-06-02
39.71253204345703,2011-06-03
38.46120071411133,2011-06-06
38.64756393432617,2011-06-07
38.70613479614258,2011-06-08
39.77642822265625,2011-06-09
38.38665771484375,2011-06-10
37.78496170043945,2011-06-13
38.51976013183594,2011-06-14
37.47611618041992,2011-06-15
37.188568115234375,2011-06-16
36.927642822265625,2011-06-17
36.89569854736328,2011-06-20
37.614540100097656,2011-06-21
37.651824951171875,2011-06-22
37.406890869140625,2011-06-23
35.82008361816406,2011-06-24
36.283348083496094,2011-06-27
37.66778564453125,2011-06-28
38.05118179321289,2011-06-29
38.63692092895508,2011-06-30
38.83393478393555,2011-07-01
39.345115661621094,2011-07-05
39.414337158203125,2011-07-06
40.13852310180664,2011-07-07
39.973445892333984,2011-07-08
38.82861328125,2011-07-11
38.567691802978516,2011-07-12
39.845645904541016,2011-07-13
39.19068908691406,2011-07-14
40.19709396362305,2011-07-15
41.00114822387695,2011-07-18
41.885047912597656,2011-07-19
41.83181381225586,2011-07-20
42.33234405517578,2011-07-21
42.545352935791016,2011-07-22
42.56663131713867,2011-07-25
42.4654655456543,2011-07-26
41.59751892089844,2011-07-27
41.624149322509766,2011-07-28
41.20348358154297,2011-07-29
40.165138244628906,2011-08-01
39.11081314086914,2011-08-02
38.32274627685547,2011-08-03
35.42533493041992,2011-08-04
34.43817901611328,2011-08-05
30.724374771118164,2011-08-08
32.437217712402344,2011-08-09
