NI,Date
2.325333833694458,1996-10-21
2.3173980712890625,1996-10-22
2.325333833694458,1996-10-23
2.3412067890167236,1996-10-24
2.3570799827575684,1996-10-25
2.3729519844055176,1996-10-28
2.391895055770874,1996-10-29
2.4159762859344482,1996-10-30
2.432027578353882,1996-10-31
2.4400551319122314,1996-11-01
2.456105947494507,1996-11-04
2.4721593856811523,1996-11-05
2.488213062286377,1996-11-06
2.4962399005889893,1996-11-07
2.5042660236358643,1996-11-08
2.5283448696136475,1996-11-11
2.5203182697296143,1996-11-12
2.5283448696136475,1996-11-13
2.5363709926605225,1996-11-14
2.5443978309631348,1996-11-15
2.5443978309631348,1996-11-18
2.5443978309631348,1996-11-19
2.5443978309631348,1996-11-20
2.5363709926605225,1996-11-21
2.5283448696136475,1996-11-22
2.5283448696136475,1996-11-25
2.5042660236358643,1996-11-26
2.488213062286377,1996-11-27
2.488213062286377,1996-11-29
2.488213062286377,1996-12-02
2.5042660236358643,1996-12-03
2.5042660236358643,1996-12-04
2.512291669845581,1996-12-05
2.488213062286377,1996-12-06
2.4962399005889893,1996-12-09
2.488213062286377,1996-12-10
2.488213062286377,1996-12-11
2.4721593856811523,1996-12-12
2.480186939239502,1996-12-13
2.4721593856811523,1996-12-16
2.488213062286377,1996-12-17
2.480186939239502,1996-12-18
2.5283448696136475,1996-12-19
2.4962399005889893,1996-12-20
2.5042660236358643,1996-12-23
2.5283448696136475,1996-12-24
2.5283448696136475,1996-12-26
2.5443978309631348,1996-12-27
2.5524256229400635,1996-12-30
2.5443978309631348,1996-12-31
2.4962399005889893,1997-01-02
2.5042660236358643,1997-01-03
2.4962399005889893,1997-01-06
2.512291669845581,1997-01-07
2.5203182697296143,1997-01-08
2.5363709926605225,1997-01-09
2.5363709926605225,1997-01-10
2.5443978309631348,1997-01-13
2.5524256229400635,1997-01-14
2.560450792312622,1997-01-15
2.560450792312622,1997-01-16
2.5524256229400635,1997-01-17
2.5443978309631348,1997-01-20
2.5443978309631348,1997-01-21
2.5524256229400635,1997-01-22
2.5684783458709717,1997-01-23
2.5363709926605225,1997-01-24
2.5363709926605225,1997-01-27
2.5443978309631348,1997-01-28
2.5411505699157715,1997-01-29
2.5330326557159424,1997-01-30
2.5330326557159424,1997-01-31
2.5411505699157715,1997-02-03
2.549269437789917,1997-02-04
2.549269437789917,1997-02-05
2.5411505699157715,1997-02-06
2.5411505699157715,1997-02-07
2.549269437789917,1997-02-10
2.5573883056640625,1997-02-11
2.5573883056640625,1997-02-12
2.5655064582824707,1997-02-13
2.5736260414123535,1997-02-14
2.5736260414123535,1997-02-18
2.5655064582824707,1997-02-19
2.589862108230591,1997-02-20
2.589862108230591,1997-02-21
2.589862108230591,1997-02-24
2.5817441940307617,1997-02-25
2.5817441940307617,1997-02-26
2.5817441940307617,1997-02-27
2.589862108230591,1997-02-28
2.5736260414123535,1997-03-03
2.5655064582824707,1997-03-04
2.5736260414123535,1997-03-05
2.5655064582824707,1997-03-06
2.5573883056640625,1997-03-07
2.549269437789917,1997-03-10
