AIG,Date
775.0896606445312,2002-07-10
788.8773193359375,2002-07-11
788.7530517578125,2002-07-12
786.6411743164062,2002-07-15
761.053466796875,2002-07-16
756.4574584960938,2002-07-17
710.871337890625,2002-07-18
705.6544799804688,2002-07-19
697.4561767578125,2002-07-22
634.7286987304688,2002-07-23
663.04931640625,2002-07-24
659.6956176757812,2002-07-25
705.7786865234375,2002-07-26
772.1083374023438,2002-07-29
772.7294311523438,2002-07-30
793.9697875976562,2002-07-31
780.5546875,2002-08-01
748.3836059570312,2002-08-02
715.9638671875,2002-08-05
753.3522338867188,2002-08-06
771.1149291992188,2002-08-07
813.7197875976562,2002-08-08
831.6064453125,2002-08-09
813.7197875976562,2002-08-12
773.9716796875,2002-08-13
793.1005249023438,2002-08-14
807.3846435546875,2002-08-15
807.3846435546875,2002-08-16
843.5311889648438,2002-08-19
833.9663696289062,2002-08-20
825.0233154296875,2002-08-21
838.4381713867188,2002-08-22
814.2167358398438,2002-08-23
821.4212036132812,2002-08-26
802.0435791015625,2002-08-27
771.1149291992188,2002-08-28
776.3317260742188,2002-08-29
780.0579223632812,2002-08-30
740.5584106445312,2002-09-03
748.9741821289062,2002-09-04
724.9818725585938,2002-09-05
739.0291748046875,2002-09-06
758.9192504882812,2002-09-09
758.29736328125,2002-09-10
758.7947387695312,2002-09-11
735.79736328125,2002-09-12
728.4627685546875,2002-09-13
730.9491577148438,2002-09-16
722.37158203125,2002-09-17
730.2032470703125,2002-09-18
714.7886962890625,2002-09-19
700.4928588867188,2002-09-20
686.8187255859375,2002-09-23
671.1553344726562,2002-09-24
690.6723022460938,2002-09-25
721.004150390625,2002-09-26
686.570068359375,2002-09-27
679.9815063476562,2002-09-30
724.3606567382812,2002-10-01
698.7523803710938,2002-10-02
678.9868774414062,2002-10-03
655.1194458007812,2002-10-04
652.0116577148438,2002-10-07
683.08935546875,2002-10-08
653.7520141601562,2002-10-09
693.0342407226562,2002-10-10
742.5100708007812,2002-10-11
724.7334594726562,2002-10-14
795.5907592773438,2002-10-15
775.9498291015625,2002-10-16
806.2814331054688,2002-10-17
791.9856567382812,2002-10-18
794.9691772460938,2002-10-21
793.1046752929688,2002-10-22
783.7811889648438,2002-10-23
797.5799560546875,2002-10-24
813.118896484375,2002-10-25
799.8174438476562,2002-10-28
800.9360961914062,2002-10-29
793.6016235351562,2002-10-30
777.565673828125,2002-10-31
768.8638916015625,2002-11-01
792.358642578125,2002-11-04
811.8757934570312,2002-11-05
818.7125854492188,2002-11-06
797.0827026367188,2002-11-07
801.4332275390625,2002-11-08
793.228759765625,2002-11-11
796.0878295898438,2002-11-12
791.48876953125,2002-11-13
817.3452758789062,2002-11-14
843.9478149414062,2002-11-15
826.6687622070312,2002-11-18
827.5387573242188,2002-11-19
837.9805908203125,2002-11-20
831.7650756835938,2002-11-21
814.2373657226562,2002-11-22
809.264892578125,2002-11-25
775.07958984375,2002-11-26
803.9197998046875,2002-11-27
809.8864135742188,2002-11-29
797.3312377929688,2002-12-02
781.0465698242188,2002-12-03
778.9065551757812,2002-12-04
760.7434692382812,2002-12-05
752.5325927734375,2002-12-06
741.087158203125,2002-12-09
755.7669067382812,2002-12-10
766.5904541015625,2002-12-11
747.5563354492188,2002-12-12
733.9957885742188,2002-12-13
762.6094360351562,2002-12-16
753.528076171875,2002-12-17
734.4935302734375,2002-12-18
722.6751098632812,2002-12-19
734.8668823242188,2002-12-20
739.0966796875,2002-12-23
737.603759765625,2002-12-24
725.28759765625,2002-12-26
705.1338500976562,2002-12-27
714.2153930664062,2002-12-30
719.6893920898438,2002-12-31
750.1689453125,2003-01-02
747.9293823242188,2003-01-03
773.0595092773438,2003-01-06
758.0061645507812,2003-01-07
748.551513671875,2003-01-08
776.294189453125,2003-01-09
768.9542236328125,2003-01-10
781.5191650390625,2003-01-13
789.978759765625,2003-01-14
783.6342163085938,2003-01-15
780.5238037109375,2003-01-16
770.3224487304688,2003-01-17
763.8532104492188,2003-01-21
751.4127807617188,2003-01-22
758.0061645507812,2003-01-23
697.1719360351562,2003-01-24
686.9705200195312,2003-01-27
696.6740112304688,2003-01-28
689.458740234375,2003-01-29
662.4622192382812,2003-01-30
673.2858276367188,2003-01-31
688.3389892578125,2003-02-03
643.1796875,2003-02-04
632.23193359375,2003-02-05
599.6375122070312,2003-02-06
580.9766845703125,2003-02-07
584.70849609375,2003-02-10
590.1826171875,2003-02-11
578.4884033203125,2003-02-12
596.7760620117188,2003-02-13
614.4417114257812,2003-02-14
633.4757690429688,2003-02-18
624.269775390625,2003-02-19
619.0447998046875,2003-02-20
632.107421875,2003-02-21
617.67626953125,2003-02-24
626.0112915039062,2003-02-25
615.3126831054688,2003-02-26
627.753173828125,2003-02-27
613.1975708007812,2003-02-28
601.5035400390625,2003-03-03
591.6752319335938,2003-03-04
609.8192138671875,2003-03-05
594.2532348632812,2003-03-06
596.2456665039062,2003-03-07
564.4908447265625,2003-03-10
553.7813110351562,2003-03-11
556.6454467773438,2003-03-12
594.0040893554688,2003-03-13
609.69482421875,2003-03-14
640.827392578125,2003-03-17
634.8496704101562,2003-03-18
645.9329223632812,2003-03-19
648.7969360351562,2003-03-20
678.434814453125,2003-03-21
647.177978515625,2003-03-24
645.80810546875,2003-03-25
640.827392578125,2003-03-26
627.626953125,2003-03-27
620.7779541015625,2003-03-28
615.7965087890625,2003-03-31
630.1175537109375,2003-04-01
660.2537231445312,2003-04-02
653.7781982421875,2003-04-03
668.2235107421875,2003-04-04
673.5783081054688,2003-04-07
668.0991821289062,2003-04-08
661.1255493164062,2003-04-09
661.7481689453125,2003-04-10
660.3781127929688,2003-04-11
668.8462524414062,2003-04-14
672.208251953125,2003-04-15
658.3856201171875,2003-04-16
667.974609375,2003-04-17
678.6837768554688,2003-04-21
708.6954956054688,2003-04-22
725.63134765625,2003-04-23
689.5181274414062,2003-04-24
681.7973022460938,2003-04-25
706.3294677734375,2003-04-28
704.4613647460938,2003-04-29
721.6466674804688,2003-04-30
713.4277954101562,2003-05-01
719.2804565429688,2003-05-02
717.0390014648438,2003-05-05
716.0427856445312,2003-05-06
704.2125244140625,2003-05-07
690.6387939453125,2003-05-08
700.4766235351562,2003-05-09
701.721923828125,2003-05-12
692.6312255859375,2003-05-13
703.091552734375,2003-05-14
713.6767578125,2003-05-15
721.6466674804688,2003-05-16
695.6199340820312,2003-05-19
690.1408081054688,2003-05-20
690.26513671875,2003-05-21
694.872802734375,2003-05-22
684.7860717773438,2003-05-23
703.7142944335938,2003-05-27
706.3294677734375,2003-05-28
700.4766235351562,2003-05-29
720.7747192382812,2003-05-30
728.4954833984375,2003-06-02
721.0240478515625,2003-06-03
731.8292846679688,2003-06-04
734.4464721679688,2003-06-05
726.2208251953125,2003-06-06
715.3779907226562,2003-06-09
721.983642578125,2003-06-10
739.3070068359375,2003-06-11
726.5949096679688,2003-06-12
725.3486938476562,2003-06-13
750.2745971679688,2003-06-16
747.407958984375,2003-06-17
740.1796264648438,2003-06-18
721.6098022460938,2003-06-19
720.3633422851562,2003-06-20
713.134765625,2003-06-23
709.0220336914062,2003-06-24
693.5677490234375,2003-06-25
700.4224853515625,2003-06-26
694.0662231445312,2003-06-27
687.7100219726562,2003-06-30
692.1968383789062,2003-07-01
710.39306640625,2003-07-02
703.9121704101562,2003-07-03
720.3633422851562,2003-07-07
722.85595703125,2003-07-08
710.5173950195312,2003-07-09
696.0604248046875,2003-07-10
712.386962890625,2003-07-11
728.339599609375,2003-07-14
739.0579223632812,2003-07-15
745.2894897460938,2003-07-16
745.2894897460938,2003-07-17
748.0313110351562,2003-07-18
747.7821655273438,2003-07-21
755.0106811523438,2003-07-22
750.89794921875,2003-07-23
775.2009887695312,2003-07-24
