CNC,Date
5.53000020980835,2007-07-09
5.442500114440918,2007-07-10
5.452499866485596,2007-07-11
5.605000019073486,2007-07-12
5.517499923706055,2007-07-13
5.309999942779541,2007-07-16
5.227499961853027,2007-07-17
5.355000019073486,2007-07-18
5.297500133514404,2007-07-19
5.144999980926514,2007-07-20
5.202499866485596,2007-07-23
5.630000114440918,2007-07-24
5.704999923706055,2007-07-25
5.449999809265137,2007-07-26
5.357500076293945,2007-07-27
5.382500171661377,2007-07-30
5.402500152587891,2007-07-31
5.510000228881836,2007-08-01
5.402500152587891,2007-08-02
5.237500190734863,2007-08-03
5.207499980926514,2007-08-06
5.057499885559082,2007-08-07
4.735000133514404,2007-08-08
4.567500114440918,2007-08-09
5.059999942779541,2007-08-10
4.987500190734863,2007-08-13
4.989999771118164,2007-08-14
4.852499961853027,2007-08-15
5.007500171661377,2007-08-16
4.872499942779541,2007-08-17
4.912499904632568,2007-08-20
4.954999923706055,2007-08-21
4.952499866485596,2007-08-22
4.949999809265137,2007-08-23
5.102499961853027,2007-08-24
4.947500228881836,2007-08-27
4.962500095367432,2007-08-28
4.96999979019165,2007-08-29
4.952499866485596,2007-08-30
5.052499771118164,2007-08-31
5.050000190734863,2007-09-04
5.045000076293945,2007-09-05
5.15500020980835,2007-09-06
5.005000114440918,2007-09-07
5.025000095367432,2007-09-10
5.099999904632568,2007-09-11
5.162499904632568,2007-09-12
5.082499980926514,2007-09-13
4.974999904632568,2007-09-14
5.010000228881836,2007-09-17
5.210000038146973,2007-09-18
5.224999904632568,2007-09-19
5.320000171661377,2007-09-20
5.275000095367432,2007-09-21
5.260000228881836,2007-09-24
5.264999866485596,2007-09-25
5.40500020980835,2007-09-26
5.375,2007-09-27
5.377500057220459,2007-09-28
5.409999847412109,2007-10-01
5.397500038146973,2007-10-02
5.362500190734863,2007-10-03
5.465000152587891,2007-10-04
5.462500095367432,2007-10-05
5.492499828338623,2007-10-08
5.505000114440918,2007-10-09
5.505000114440918,2007-10-10
5.434999942779541,2007-10-11
5.610000133514404,2007-10-12
5.505000114440918,2007-10-15
5.46750020980835,2007-10-16
5.517499923706055,2007-10-17
5.5,2007-10-18
5.642499923706055,2007-10-19
5.887499809265137,2007-10-22
6.34250020980835,2007-10-23
5.965000152587891,2007-10-24
6.070000171661377,2007-10-25
6.110000133514404,2007-10-26
5.78249979019165,2007-10-29
5.807499885559082,2007-10-30
5.832499980926514,2007-10-31
5.5625,2007-11-01
5.582499980926514,2007-11-02
5.59499979019165,2007-11-05
5.545000076293945,2007-11-06
5.53249979019165,2007-11-07
5.84499979019165,2007-11-08
5.672500133514404,2007-11-09
5.557499885559082,2007-11-12
5.764999866485596,2007-11-13
5.875,2007-11-14
5.755000114440918,2007-11-15
5.797500133514404,2007-11-16
5.695000171661377,2007-11-19
5.704999923706055,2007-11-20
