MRVL,Date
10.579737663269043,2012-08-16
9.080657005310059,2012-08-17
8.99450397491455,2012-08-20
9.149577140808105,2012-08-21
9.115118980407715,2012-08-22
8.97727108001709,2012-08-23
9.003116607666016,2012-08-24
8.916963577270508,2012-08-27
8.865270614624023,2012-08-28
9.028963088989258,2012-08-29
8.770499229431152,2012-08-30
8.753270149230957,2012-08-31
8.692963600158691,2012-09-04
8.822195053100586,2012-09-05
8.985886573791504,2012-09-06
9.028963088989258,2012-09-07
8.796348571777344,2012-09-10
8.969674110412598,2012-09-11
8.883007049560547,2012-09-12
8.839679718017578,2012-09-13
8.961010932922363,2012-09-14
8.75301742553711,2012-09-17
8.883007049560547,2012-09-18
8.744349479675293,2012-09-19
8.675017356872559,2012-09-20
8.510359764099121,2012-09-21
8.224370002746582,2012-09-24
8.007708549499512,2012-09-25
7.981710910797119,2012-09-26
8.085707664489746,2012-09-27
7.938375949859619,2012-09-28
7.964377403259277,2012-10-01
8.033706665039062,2012-10-02
7.964377403259277,2012-10-03
8.12037467956543,2012-10-04
8.016376495361328,2012-10-05
7.973043918609619,2012-10-08
7.799718379974365,2012-10-09
7.643723487854004,2012-10-10
7.695721626281738,2012-10-11
7.583057880401611,2012-10-12
7.548395156860352,2012-10-15
7.77371883392334,2012-10-16
7.799718379974365,2012-10-17
7.652389049530029,2012-10-18
6.560429573059082,2012-10-19
6.465099334716797,2012-10-22
6.603761196136475,2012-10-23
6.569096565246582,2012-10-24
6.707755088806152,2012-10-25
6.725088596343994,2012-10-26
6.837752342224121,2012-10-31
7.01107931137085,2012-11-01
6.91574764251709,2012-11-02
7.054410457611084,2012-11-05
7.071743488311768,2012-11-06
6.8637518882751465,2012-11-07
6.785754680633545,2012-11-08
6.733757972717285,2012-11-09
6.742421627044678,2012-11-12
6.551763534545898,2012-11-13
6.378436088562012,2012-11-14
6.4217658042907715,2012-11-15
6.413100719451904,2012-11-16
6.673091411590576,2012-11-19
6.768421649932861,2012-11-20
6.777087688446045,2012-11-21
6.993744373321533,2012-11-23
7.245071887969971,2012-11-26
7.193070888519287,2012-11-27
7.401065826416016,2012-11-28
7.349067211151123,2012-11-29
7.3404011726379395,2012-11-30
7.375064849853516,2012-12-03
7.505061626434326,2012-12-04
7.5657267570495605,2012-12-05
7.687053203582764,2012-12-06
7.626389503479004,2012-12-07
7.479063034057617,2012-12-10
7.5401506423950195,2012-12-11
7.400516510009766,2012-12-12
7.2783403396606445,2012-12-13
