MCK,Date
138.13365173339844,2019-09-23
135.60159301757812,2019-09-24
137.52481079101562,2019-09-25
134.4998779296875,2019-09-26
130.98196411132812,2019-09-27
132.0741424560547,2019-09-30
131.24290466308594,2019-10-01
126.69097900390625,2019-10-02
126.70066833496094,2019-10-03
126.29473114013672,2019-10-04
125.8598403930664,2019-10-07
125.8985366821289,2019-10-08
127.7927474975586,2019-10-09
128.35328674316406,2019-10-10
130.21853637695312,2019-10-11
129.5999755859375,2019-10-14
133.53343200683594,2019-10-15
139.9795379638672,2019-10-16
145.45928955078125,2019-10-17
147.1505889892578,2019-10-18
142.40533447265625,2019-10-21
141.98977661132812,2019-10-22
141.15866088867188,2019-10-23
140.71408081054688,2019-10-24
141.06201171875,2019-10-25
140.59811401367188,2019-10-28
144.38658142089844,2019-10-29
132.19969177246094,2019-10-30
128.53688049316406,2019-10-31
132.5089874267578,2019-11-01
132.98252868652344,2019-11-04
133.14683532714844,2019-11-05
131.09796142578125,2019-11-06
132.70225524902344,2019-11-07
135.4952850341797,2019-11-08
135.6305694580078,2019-11-11
139.9699249267578,2019-11-12
140.81069946289062,2019-11-13
139.79595947265625,2019-11-14
143.3428497314453,2019-11-15
144.57015991210938,2019-11-18
145.2080535888672,2019-11-19
145.64291381835938,2019-11-20
147.1505889892578,2019-11-21
147.48886108398438,2019-11-22
148.12669372558594,2019-11-25
140.90736389160156,2019-11-26
141.3809051513672,2019-11-27
140.17916870117188,2019-11-29
139.083984375,2019-12-02
137.41709899902344,2019-12-03
138.5509796142578,2019-12-04
136.27346801757812,2019-12-05
137.88223266601562,2019-12-06
138.4734649658203,2019-12-09
138.34747314453125,2019-12-10
138.9386444091797,2019-12-11
139.49107360839844,2019-12-12
136.26377868652344,2019-12-13
137.81443786621094,2019-12-16
133.6470489501953,2019-12-17
132.76512145996094,2019-12-18
131.4276580810547,2019-12-19
133.39503479003906,2019-12-20
133.35630798339844,2019-12-23
134.52899169921875,2019-12-24
135.01351928710938,2019-12-26
135.1395263671875,2019-12-27
132.9395294189453,2019-12-30
134.0540771484375,2019-12-31
134.4126739501953,2020-01-02
