COST,Date
9.274310111999512,1991-08-08
9.442933082580566,1991-08-09
9.780179977416992,1991-08-12
10.11742877960205,1991-08-13
10.538987159729004,1991-08-14
10.370367050170898,1991-08-15
10.412517547607422,1991-08-16
10.159586906433105,1991-08-19
10.138505935668945,1991-08-20
10.454676628112793,1991-08-21
10.39144229888916,1991-08-22
10.412517547607422,1991-08-23
10.496833801269531,1991-08-26
10.560067176818848,1991-08-27
10.74976634979248,1991-08-28
10.791926383972168,1991-08-29
10.707612037658691,1991-08-30
10.791926383972168,1991-09-03
10.538987159729004,1991-09-04
10.51791000366211,1991-09-05
10.286055564880371,1991-09-06
10.370367050170898,1991-09-09
10.033117294311523,1991-09-10
10.012040138244629,1991-09-11
10.075273513793945,1991-09-12
9.864493370056152,1991-09-13
10.033117294311523,1991-09-16
9.822341918945312,1991-09-17
9.969883918762207,1991-09-18
9.780179977416992,1991-09-19
9.864493370056152,1991-09-20
9.864493370056152,1991-09-23
9.906651496887207,1991-09-24
10.11742877960205,1991-09-25
9.990962982177734,1991-09-26
10.201741218566895,1991-09-27
10.159586906433105,1991-09-30
10.159586906433105,1991-10-01
9.990962982177734,1991-10-02
9.759099960327148,1991-10-03
9.653715133666992,1991-10-04
9.527243614196777,1991-10-07
9.653715133666992,1991-10-08
9.274310111999512,1991-10-09
9.527243614196777,1991-10-10
9.653715133666992,1991-10-11
9.948805809020996,1991-10-14
10.159586906433105,1991-10-15
10.412517547607422,1991-10-16
10.075273513793945,1991-10-17
10.286055564880371,1991-10-18
10.201741218566895,1991-10-21
10.159586906433105,1991-10-22
9.738024711608887,1991-10-23
9.59047794342041,1991-10-24
9.569402694702148,1991-10-25
9.780179977416992,1991-10-28
10.075273513793945,1991-10-29
10.1806640625,1991-10-30
10.033117294311523,1991-10-31
9.738024711608887,1991-11-01
9.611554145812988,1991-11-04
9.527243614196777,1991-11-05
9.653715133666992,1991-11-06
9.990962982177734,1991-11-07
10.033117294311523,1991-11-08
10.033117294311523,1991-11-11
10.138505935668945,1991-11-12
10.243894577026367,1991-11-13
10.11742877960205,1991-11-14
9.527243614196777,1991-11-15
9.611554145812988,1991-11-18
9.316465377807617,1991-11-19
