C,Date
332.7735290527344,2005-12-28
333.52862548828125,2005-12-29
333.1855163574219,2005-12-30
338.4032287597656,2006-01-03
332.1556091308594,2006-01-04
333.8033142089844,2006-01-05
333.8033142089844,2006-01-06
332.2242736816406,2006-01-09
333.25408935546875,2006-01-10
336.27490234375,2006-01-11
336.6181945800781,2006-01-12
335.8628845214844,2006-01-13
332.4987487792969,2006-01-17
332.01824951171875,2006-01-18
329.1347351074219,2006-01-19
313.6872253417969,2006-01-20
315.8155212402344,2006-01-23
315.8841552734375,2006-01-24
317.3946533203125,2006-01-25
322.749755859375,2006-01-26
321.7886047363281,2006-01-27
321.44537353515625,2006-01-30
319.7975769042969,2006-01-31
318.08111572265625,2006-02-01
313.5014953613281,2006-02-02
312.6689147949219,2006-02-03
313.43212890625,2006-02-06
312.59942626953125,2006-02-07
314.75042724609375,2006-02-08
317.7342224121094,2006-02-09
318.9139099121094,2006-02-10
316.9709167480469,2006-02-13
320.0240173339844,2006-02-14
320.92626953125,2006-02-15
322.2445373535156,2006-02-16
320.8568115234375,2006-02-17
320.3711242675781,2006-02-21
325.2976989746094,2006-02-22
324.7425231933594,2006-02-23
325.0896301269531,2006-02-24
324.6037902832031,2006-02-27
321.7588806152344,2006-02-28
322.869140625,2006-03-01
319.53826904296875,2006-03-02
318.63629150390625,2006-03-03
319.8159484863281,2006-03-06
321.967041015625,2006-03-07
323.90985107421875,2006-03-08
322.5915222167969,2006-03-09
326.0609130859375,2006-03-10
325.0201721191406,2006-03-13
327.3795471191406,2006-03-14
326.19976806640625,2006-03-15
328.35076904296875,2006-03-16
328.975341796875,2006-03-17
328.9059753417969,2006-03-20
327.656982421875,2006-03-21
330.7794189453125,2006-03-22
331.47344970703125,2006-03-23
331.7510070800781,2006-03-24
330.57122802734375,2006-03-27
330.2937316894531,2006-03-28
330.501953125,2006-03-29
328.07318115234375,2006-03-30
327.72637939453125,2006-03-31
328.975341796875,2006-04-03
334.5264892578125,2006-04-04
334.8733825683594,2006-04-05
332.0284729003906,2006-04-06
330.71002197265625,2006-04-07
332.5836181640625,2006-04-10
329.3916931152344,2006-04-11
330.2937316894531,2006-04-12
333.4162902832031,2006-04-13
335.4978942871094,2006-04-17
336.40008544921875,2006-04-18
334.665283203125,2006-04-19
335.1510009765625,2006-04-20
333.1387023925781,2006-04-21
333.0693359375,2006-04-24
329.3223571777344,2006-04-25
331.3345642089844,2006-04-26
337.5743713378906,2006-04-27
350.19384765625,2006-04-28
346.7585754394531,2006-05-01
347.7399597167969,2006-05-02
349.49273681640625,2006-05-03
346.1976318359375,2006-05-04
353.1385498046875,2006-05-05
351.6662292480469,2006-05-08
352.9981689453125,2006-05-09
352.6476745605469,2006-05-10
346.8987121582031,2006-05-11
343.46331787109375,2006-05-12
347.1091613769531,2006-05-15
347.3193359375,2006-05-16
342.34173583984375,2006-05-17
341.6405334472656,2006-05-18
342.1313171386719,2006-05-19
342.4117736816406,2006-05-22
340.2384948730469,2006-05-23
341.1499328613281,2006-05-24
344.02423095703125,2006-05-25
347.5297546386719,2006-05-26
343.67376708984375,2006-05-30
345.63677978515625,2006-05-31
349.35260009765625,2006-06-01
351.52587890625,2006-06-02
347.88031005859375,2006-06-05
