HII,Date
150.36154174804688,2016-08-04
147.91632080078125,2016-08-05
145.984375,2016-08-08
147.30714416503906,2016-08-09
145.23605346679688,2016-08-10
146.08016967773438,2016-08-11
145.1490478515625,2016-08-12
147.30714416503906,2016-08-15
143.79153442382812,2016-08-16
144.3484344482422,2016-08-17
145.70599365234375,2016-08-18
145.99314880371094,2016-08-19
146.5935821533203,2016-08-22
145.6624755859375,2016-08-23
145.435546875,2016-08-24
145.54025268554688,2016-08-25
144.763427734375,2016-08-26
145.74977111816406,2016-08-29
144.37942504882812,2016-08-30
144.16122436523438,2016-08-31
144.85073852539062,2016-09-01
145.50534057617188,2016-09-02
145.7933349609375,2016-09-06
145.28713989257812,2016-09-07
145.4005889892578,2016-09-08
142.19740295410156,2016-09-09
143.2098846435547,2016-09-12
140.43434143066406,2016-09-13
139.18621826171875,2016-09-14
139.55279541015625,2016-09-15
136.47183227539062,2016-09-16
134.9967803955078,2016-09-19
130.1439666748047,2016-09-20
130.96441650390625,2016-09-21
134.43814086914062,2016-09-22
133.94068908691406,2016-09-23
134.86585998535156,2016-09-26
134.2810516357422,2016-09-27
135.1189422607422,2016-09-28
133.1289825439453,2016-09-29
133.90574645996094,2016-09-30
133.99307250976562,2016-10-03
134.23744201660156,2016-10-04
134.95314025878906,2016-10-05
136.20999145507812,2016-10-06
135.52915954589844,2016-10-07
136.41067504882812,2016-10-10
134.53421020507812,2016-10-11
136.10523986816406,2016-10-12
135.79974365234375,2016-10-13
136.68125915527344,2016-10-14
139.01171875,2016-10-17
140.15504455566406,2016-10-18
138.83709716796875,2016-10-19
137.1962127685547,2016-10-20
135.87832641601562,2016-10-21
136.14015197753906,2016-10-24
136.68125915527344,2016-10-25
139.02915954589844,2016-10-26
138.88943481445312,2016-10-27
139.70997619628906,2016-10-28
140.83583068847656,2016-10-31
141.01913452148438,2016-11-01
139.6226348876953,2016-11-02
129.82106018066406,2016-11-03
128.08416748046875,2016-11-04
129.99559020996094,2016-11-07
131.287353515625,2016-11-08
146.27340698242188,2016-11-09
150.90802001953125,2016-11-10
152.40049743652344,2016-11-11
154.44285583496094,2016-11-14
149.4678497314453,2016-11-15
152.19976806640625,2016-11-16
154.40798950195312,2016-11-17
153.71841430664062,2016-11-18
153.78823852539062,2016-11-21
156.69590759277344,2016-11-22
155.6449432373047,2016-11-23
158.34237670898438,2016-11-25
157.6592559814453,2016-11-28
158.12338256835938,2016-11-29
156.55580139160156,2016-11-30
157.01991271972656,2016-12-01
158.3861541748047,2016-12-02
160.53184509277344,2016-12-05
161.0310516357422,2016-12-06
161.0923309326172,2016-12-07
158.6927032470703,2016-12-08
158.95541381835938,2016-12-09
156.06529235839844,2016-12-12
154.6115264892578,2016-12-13
154.34002685546875,2016-12-14
157.37026977539062,2016-12-15
159.74365234375,2016-12-16
161.3287811279297,2016-12-19
164.6129608154297,2016-12-20
161.8892822265625,2016-12-21
164.56045532226562,2016-12-22
163.78099060058594,2016-12-23
162.414794921875,2016-12-27
161.24119567871094,2016-12-28
161.7141571044922,2016-12-29
161.311279296875,2016-12-30
165.56756591796875,2017-01-03
168.03733825683594,2017-01-04
171.31277465820312,2017-01-05
169.50863647460938,2017-01-06
166.793701171875,2017-01-09
167.53814697265625,2017-01-10
166.69735717773438,2017-01-11
167.3367156982422,2017-01-12
167.78335571289062,2017-01-13
166.05804443359375,2017-01-17
167.22288513183594,2017-01-18
170.6209259033203,2017-01-19
171.40032958984375,2017-01-20
169.49986267089844,2017-01-23
170.56832885742188,2017-01-24
168.78170776367188,2017-01-25
170.16552734375,2017-01-26
167.73960876464844,2017-01-27
168.68536376953125,2017-01-30
169.8677520751953,2017-01-31
168.84303283691406,2017-02-01
170.55963134765625,2017-02-02
174.52688598632812,2017-02-03
174.67579650878906,2017-02-06
174.2904052734375,2017-02-07
173.9663848876953,2017-02-08
174.16786193847656,2017-02-09
175.46400451660156,2017-02-10
176.19964599609375,2017-02-13
177.42572021484375,2017-02-14
180.1494598388672,2017-02-15
183.86279296875,2017-02-16
185.58811950683594,2017-02-17
186.24493408203125,2017-02-21
188.52197265625,2017-02-22
187.72500610351562,2017-02-23
190.0283660888672,2017-02-24
191.03550720214844,2017-02-27
191.3595733642578,2017-02-28
192.7383270263672,2017-03-01
191.72837829589844,2017-03-02
192.16749572753906,2017-03-03
191.47372436523438,2017-03-06
191.24537658691406,2017-03-07
189.14646911621094,2017-03-08
187.67112731933594,2017-03-09
185.91468811035156,2017-03-10
187.27590942382812,2017-03-13
185.7302703857422,2017-03-14
185.85325622558594,2017-03-15
184.56228637695312,2017-03-16
187.6886749267578,2017-03-17
185.57223510742188,2017-03-20
181.89254760742188,2017-03-21
183.42059326171875,2017-03-22
182.61268615722656,2017-03-23
179.96926879882812,2017-03-24
177.46641540527344,2017-03-27
177.8001708984375,2017-03-28
177.51036071777344,2017-03-29
177.7386932373047,2017-03-30
175.85052490234375,2017-03-31
177.255615234375,2017-04-03
177.4488983154297,2017-04-04
174.4717559814453,2017-04-05
176.0261993408203,2017-04-06
178.9769744873047,2017-04-07
179.05601501464844,2017-04-10
180.5752716064453,2017-04-11
178.84523010253906,2017-04-12
178.248046875,2017-04-13
176.33352661132812,2017-04-17
175.01626586914062,2017-04-18
175.6837158203125,2017-04-19
175.6837158203125,2017-04-20
175.3148651123047,2017-04-21
178.9066619873047,2017-04-24
180.03076171875,2017-04-25
178.34461975097656,2017-04-26
177.5630645751953,2017-04-27
176.42138671875,2017-04-28
175.23580932617188,2017-05-01
176.21939086914062,2017-05-02
176.56190490722656,2017-05-03
165.28582763671875,2017-05-04
171.68789672851562,2017-05-05
171.52101135253906,2017-05-08
172.11819458007812,2017-05-09
172.53977966308594,2017-05-10
171.75819396972656,2017-05-11
170.4496612548828,2017-05-12
173.26861572265625,2017-05-15
172.36410522460938,2017-05-16
167.8677520751953,2017-05-17
167.15635681152344,2017-05-18
171.6790771484375,2017-05-19
172.0655059814453,2017-05-22
172.15330505371094,2017-05-23
171.99476623535156,2017-05-24
173.9239044189453,2017-05-25
172.93734741210938,2017-05-26
170.96412658691406,2017-05-30
172.488037109375,2017-05-31
171.14913940429688,2017-06-01
170.7086639404297,2017-06-02
168.40953063964844,2017-06-05
166.33946228027344,2017-06-06
167.26434326171875,2017-06-07
169.5811309814453,2017-06-08
170.42677307128906,2017-06-09
171.5719757080078,2017-06-12
173.24560546875,2017-06-13
173.33367919921875,2017-06-14
172.26783752441406,2017-06-15
163.82884216308594,2017-06-16
164.8683319091797,2017-06-19
164.08433532714844,2017-06-20
164.35743713378906,2017-06-21
163.4412841796875,2017-06-22
164.58648681640625,2017-06-23
164.10195922851562,2017-06-26
164.70095825195312,2017-06-27
165.0445098876953,2017-06-28
163.15940856933594,2017-06-29
163.98741149902344,2017-06-30
168.72666931152344,2017-07-03
169.98631286621094,2017-07-05
168.58570861816406,2017-07-06
169.9246368408203,2017-07-07
170.25941467285156,2017-07-10
171.66885375976562,2017-07-11
175.65048217773438,2017-07-12
174.76080322265625,2017-07-13
174.5493621826172,2017-07-14
174.66387939453125,2017-07-17
173.87110900878906,2017-07-18
174.848876953125,2017-07-19
175.4654541015625,2017-07-20
177.36822509765625,2017-07-21
177.64134216308594,2017-07-24
179.36785888671875,2017-07-25
179.2533416748047,2017-07-26
178.68077087402344,2017-07-27
181.15609741210938,2017-07-28
181.561279296875,2017-07-31
181.98416137695312,2017-08-01
183.41122436523438,2017-08-02
188.4499053955078,2017-08-03
188.467529296875,2017-08-04
188.10630798339844,2017-08-07
188.51153564453125,2017-08-08
189.18101501464844,2017-08-09
187.70114135742188,2017-08-10
187.77159118652344,2017-08-11
189.40127563476562,2017-08-14
188.80226135253906,2017-08-15
185.71031188964844,2017-08-16
183.6138153076172,2017-08-17
180.77732849121094,2017-08-18
179.63217163085938,2017-08-21
182.9883270263672,2017-08-22
182.7321319580078,2017-08-23
184.96725463867188,2017-08-24
184.5873565673828,2017-08-25
182.0960693359375,2017-08-28
184.46371459960938,2017-08-29
186.0097198486328,2017-08-30
189.02227783203125,2017-08-31
189.96755981445312,2017-09-01
188.4745635986328,2017-09-05
186.93734741210938,2017-09-06
185.4619903564453,2017-09-07
185.90370178222656,2017-09-08
187.0963592529297,2017-09-11
188.66891479492188,2017-09-12
185.90370178222656,2017-09-13
185.6563262939453,2017-09-14
187.6529998779297,2017-09-15
190.44467163085938,2017-09-18
191.76980590820312,2017-09-19
192.6974334716797,2017-09-20
193.63385009765625,2017-09-21
194.68519592285156,2017-09-22
194.7823486328125,2017-09-25
196.31076049804688,2017-09-26
197.41502380371094,2017-09-27
197.0616455078125,2017-09-28
200.04771423339844,2017-09-29
203.13092041015625,2017-10-02
204.95968627929688,2017-10-03
206.8502655029297,2017-10-04
206.86793518066406,2017-10-05
208.34324645996094,2017-10-06
208.44046020507812,2017-10-09
207.50396728515625,2017-10-10
206.66470336914062,2017-10-11
207.9987030029297,2017-10-12
207.0799560546875,2017-10-13
208.43162536621094,2017-10-16
207.813232421875,2017-10-17
207.51284790039062,2017-10-18
207.442138671875,2017-10-19
207.9810333251953,2017-10-20
207.2389678955078,2017-10-23
208.43162536621094,2017-10-24
206.7265625,2017-10-25
204.80062866210938,2017-10-26
206.24949645996094,2017-10-27
205.09219360351562,2017-10-30
205.6929168701172,2017-10-31
206.42616271972656,2017-11-01
207.2301483154297,2017-11-02
207.67185974121094,2017-11-03
208.6790008544922,2017-11-06
206.15235900878906,2017-11-07
222.5933074951172,2017-11-08
214.28005981445312,2017-11-09
212.61033630371094,2017-11-10
211.3028106689453,2017-11-13
209.84512329101562,2017-11-14
208.10472106933594,2017-11-15
208.33445739746094,2017-11-16
205.72824096679688,2017-11-17
207.03578186035156,2017-11-20
209.0588836669922,2017-11-21
207.41949462890625,2017-11-22
207.75624084472656,2017-11-24
208.28793334960938,2017-11-27
213.6579132080078,2017-11-28
212.3907470703125,2017-11-29
214.15419006347656,2017-11-30
209.1209259033203,2017-12-01
207.63214111328125,2017-12-04
206.2852020263672,2017-12-05
207.0472869873047,2017-12-06
209.0056915283203,2017-12-07
210.02476501464844,2017-12-08
207.4460906982422,2017-12-11
206.94981384277344,2017-12-12
208.3233642578125,2017-12-13
207.25115966796875,2017-12-14
211.63758850097656,2017-12-15
211.43374633789062,2017-12-18
210.9020538330078,2017-12-19
210.9197540283203,2017-12-20
208.5803680419922,2017-12-21
210.40579223632812,2017-12-22
209.83868408203125,2017-12-26
210.53872680664062,2017-12-27
212.1869354248047,2017-12-28
208.86390686035156,2017-12-29
202.0494842529297,2018-01-02
203.27230834960938,2018-01-03
206.1699981689453,2018-01-04
207.1359405517578,2018-01-05
209.16513061523438,2018-01-08
211.96539306640625,2018-01-09
210.30833435058594,2018-01-10
212.02745056152344,2018-01-11
219.25833129882812,2018-01-12
208.3765106201172,2018-01-16
