BDX,Date
16.23196029663086,1997-10-13
16.479459762573242,1997-10-14
16.314455032348633,1997-10-15
16.149457931518555,1997-10-16
16.108213424682617,1997-10-17
16.376331329345703,1997-10-20
16.355703353881836,1997-10-21
15.860710144042969,1997-10-22
15.303831100463867,1997-10-23
15.551328659057617,1997-10-24
14.396323204040527,1997-10-27
15.283205032348633,1997-10-28
15.365700721740723,1997-10-29
15.138833045959473,1997-10-30
15.200698852539062,1997-10-31
15.530701637268066,1997-11-03
15.510079383850098,1997-11-04
15.40695858001709,1997-11-05
15.180088996887207,1997-11-06
14.932578086853027,1997-11-07
15.09758472442627,1997-11-10
15.035707473754883,1997-11-11
14.623199462890625,1997-11-12
14.643826484680176,1997-11-13
14.870706558227539,1997-11-14
15.324456214904785,1997-11-17
16.211339950561523,1997-11-18
16.149457931518555,1997-11-19
16.995079040527344,1997-11-20
17.24258804321289,1997-11-21
16.95383644104004,1997-11-24
16.95383644104004,1997-11-25
16.95383644104004,1997-11-26
17.01570701599121,1997-11-28
17.077592849731445,1997-12-01
17.24258804321289,1997-12-02
16.933208465576172,1997-12-03
16.933208465576172,1997-12-04
17.077592849731445,1997-12-05
16.850723266601562,1997-12-08
17.24258804321289,1997-12-09
17.407594680786133,1997-12-10
17.221967697143555,1997-12-11
17.41472053527832,1997-12-12
17.269947052001953,1997-12-15
17.001079559326172,1997-12-16
16.85630226135254,1997-12-17
17.001079559326172,1997-12-18
16.690828323364258,1997-12-19
16.52537727355957,1997-12-22
16.38060188293457,1997-12-23
16.049680709838867,1997-12-24
15.966952323913574,1997-12-26
16.318544387817383,1997-12-29
16.690828323364258,1997-12-30
16.546064376831055,1997-12-31
16.546064376831055,1998-01-02
16.62879180908203,1998-01-05
16.608108520507812,1998-01-06
16.4840145111084,1998-01-07
16.752880096435547,1998-01-08
16.401281356811523,1998-01-09
16.38060188293457,1998-01-12
16.421960830688477,1998-01-13
16.752880096435547,1998-01-14
17.311317443847656,1998-01-15
18.200674057006836,1998-01-16
18.26272964477539,1998-01-20
18.697046279907227,1998-01-21
19.358890533447266,1998-01-22
19.937997817993164,1998-01-23
19.52434730529785,1998-01-26
20.413705825805664,1998-01-27
20.475746154785156,1998-01-28
