PLD,Date
27.117185592651367,2013-12-13
27.215078353881836,2013-12-16
27.35816764831543,2013-12-17
27.98318862915039,2013-12-18
27.65937614440918,2013-12-19
27.734682083129883,2013-12-20
27.855167388916016,2013-12-23
27.840112686157227,2013-12-24
27.96060562133789,2013-12-26
28.005779266357422,2013-12-27
28.005779266357422,2013-12-30
27.825054168701172,2013-12-31
27.7949275970459,2014-01-02
28.043428421020508,2014-01-03
28.163925170898438,2014-01-06
28.41242218017578,2014-01-07
28.374771118164062,2014-01-08
28.0133113861084,2014-01-09
28.314529418945312,2014-01-10
27.6744441986084,2014-01-13
28.028379440307617,2014-01-14
28.24675178527832,2014-01-15
28.081087112426758,2014-01-16
27.847640991210938,2014-01-17
28.118732452392578,2014-01-21
28.42748260498047,2014-01-22
28.17897605895996,2014-01-23
27.666912078857422,2014-01-24
27.493703842163086,2014-01-27
28.03590202331543,2014-01-28
27.87023162841797,2014-01-29
29.225711822509766,2014-01-30
29.18806266784668,2014-01-31
28.743762969970703,2014-02-03
29.18053436279297,2014-02-04
29.459165573120117,2014-02-05
29.805559158325195,2014-02-06
30.069128036499023,2014-02-07
30.377880096435547,2014-02-10
30.588722229003906,2014-02-11
30.656509399414062,2014-02-12
30.746871948242188,2014-02-13
30.62639045715332,2014-02-14
30.72428321838379,2014-02-18
30.664033889770508,2014-02-19
30.41551971435547,2014-02-20
30.581199645996094,2014-02-21
30.64143180847168,2014-02-24
30.807111740112305,2014-02-25
30.88994789123535,2014-02-26
30.799577713012695,2014-02-27
31.017961502075195,2014-02-28
30.822172164916992,2014-03-03
31.6053466796875,2014-03-04
31.447202682495117,2014-03-05
31.115869522094727,2014-03-06
30.776992797851562,2014-03-07
30.609968185424805,2014-03-10
30.70865821838379,2014-03-11
30.845308303833008,2014-03-12
30.640336990356445,2014-03-13
30.51129150390625,2014-03-14
30.746625900268555,2014-03-17
31.004745483398438,2014-03-18
30.38222312927246,2014-03-19
30.556835174560547,2014-03-20
30.814956665039062,2014-03-21
30.450542449951172,2014-03-24
30.723846435546875,2014-03-25
30.298715591430664,2014-03-26
30.4581356048584,2014-03-27
30.776987075805664,2014-03-28
30.997156143188477,2014-03-31
31.03510856628418,2014-04-01
30.981966018676758,2014-04-02
31.03510856628418,2014-04-03
31.156585693359375,2014-04-04
31.19454574584961,2014-04-07
31.24768829345703,2014-04-08
31.361560821533203,2014-04-09
30.70865821838379,2014-04-10
30.404998779296875,2014-04-11
30.442943572998047,2014-04-14
30.906057357788086,2014-04-15
31.050291061401367,2014-04-16
31.346363067626953,2014-04-17
31.42229461669922,2014-04-21
31.300827026367188,2014-04-22
31.080656051635742,2014-04-23
31.300827026367188,2014-04-24
30.92123031616211,2014-04-25
31.080656051635742,2014-04-28
31.04270362854004,2014-04-29
30.845308303833008,2014-04-30
31.080656051635742,2014-05-01
30.966779708862305,2014-05-02
31.27045249938965,2014-05-05
30.845308303833008,2014-05-06
31.293243408203125,2014-05-07
31.414695739746094,2014-05-08
31.278039932250977,2014-05-09
31.437475204467773,2014-05-12
31.39952278137207,2014-05-13
31.331186294555664,2014-05-14
31.11862564086914,2014-05-15
31.46784782409668,2014-05-16
31.21731185913086,2014-05-19
30.98955535888672,2014-05-20
30.822553634643555,2014-05-21
30.746625900268555,2014-05-22
31.141395568847656,2014-05-23
31.475427627563477,2014-05-27
31.156585693359375,2014-05-28
31.384328842163086,2014-05-29
31.513399124145508,2014-05-30
31.513399124145508,2014-06-02
31.164167404174805,2014-06-03
31.414695739746094,2014-06-04
32.287750244140625,2014-06-05
32.02962875366211,2014-06-06
31.70060920715332,2014-06-09
31.47870635986328,2014-06-10
31.5169677734375,2014-06-11
31.340984344482422,2014-06-12
31.302722930908203,2014-06-13
31.302722930908203,2014-06-16
31.394533157348633,2014-06-17
31.662355422973633,2014-06-18
31.891889572143555,2014-06-19
31.58583641052246,2014-06-20
31.53227424621582,2014-06-23
31.654699325561523,2014-06-24
31.800077438354492,2014-06-25
31.448118209838867,2014-06-26
31.509319305419922,2014-06-27
31.44046401977539,2014-06-30
31.4710636138916,2014-07-01
31.501670837402344,2014-07-02
31.295080184936523,2014-07-03
31.4710636138916,2014-07-07
31.46340560913086,2014-07-08
31.40985679626465,2014-07-09
31.54758071899414,2014-07-10
31.593490600585938,2014-07-11
31.82304573059082,2014-07-14
31.723562240600586,2014-07-15
31.91485023498535,2014-07-16
31.715917587280273,2014-07-17
31.91485023498535,2014-07-18
31.79242515563965,2014-07-21
32.12144088745117,2014-07-22
32.15205764770508,2014-07-23
32.03727722167969,2014-07-24
31.853649139404297,2014-07-25
32.259178161621094,2014-07-28
31.953121185302734,2014-07-29
31.70060920715332,2014-07-30
31.226213455200195,2014-07-31
31.02726173400879,2014-08-01
31.13438606262207,2014-08-04
30.728864669799805,2014-08-05
30.568164825439453,2014-08-06
30.506959915161133,2014-08-07
30.767114639282227,2014-08-08
30.86659049987793,2014-08-11
30.8206787109375,2014-08-12
31.279767990112305,2014-08-13
31.24152183532715,2014-08-14
31.21856117248535,2014-08-15
31.58583641052246,2014-08-18
31.578187942504883,2014-08-19
31.654699325561523,2014-08-20
31.47870635986328,2014-08-21
31.302722930908203,2014-08-22
31.24152183532715,2014-08-25
31.21856117248535,2014-08-26
31.180299758911133,2014-08-27
31.17265510559082,2014-08-28
31.325681686401367,2014-08-29
31.302722930908203,2014-09-02
31.157344818115234,2014-09-03
31.057878494262695,2014-09-04
31.570526123046875,2014-09-05
31.715917587280273,2014-09-08
31.639402389526367,2014-09-09
31.103784561157227,2014-09-10
30.920154571533203,2014-09-11
29.879528045654297,2014-09-12
29.711193084716797,2014-09-15
29.833616256713867,2014-09-16
29.92621421813965,2014-09-17
29.56353187561035,2014-09-18
29.82590103149414,2014-09-19
29.463211059570312,2014-09-22
29.29343032836914,2014-09-23
29.347450256347656,2014-09-24
28.89986801147461,2014-09-25
29.355175018310547,2014-09-26
29.463211059570312,2014-09-29
29.09278678894043,2014-09-30
28.984764099121094,2014-10-01
28.97703742980957,2014-10-02
29.038782119750977,2014-10-03
29.11594581604004,2014-10-06
28.784114837646484,2014-10-07
29.409194946289062,2014-10-08
29.038782119750977,2014-10-09
28.76868438720703,2014-10-10
28.683794021606445,2014-10-13
29.540369033813477,2014-10-14
29.478639602661133,2014-10-15
29.648401260375977,2014-10-16
30.165443420410156,2014-10-17
30.5435791015625,2014-10-20
31.02973747253418,2014-10-21
30.875394821166992,2014-10-22
31.214941024780273,2014-10-23
31.43101692199707,2014-10-24
31.454172134399414,2014-10-27
31.6856746673584,2014-10-28
31.631662368774414,2014-10-29
31.677961349487305,2014-10-30
32.1409797668457,2014-10-31
32.27988815307617,2014-11-03
32.04836654663086,2014-11-04
32.1409797668457,2014-11-05
32.08696365356445,2014-11-06
31.955774307250977,2014-11-07
32.164119720458984,2014-11-10
32.1409797668457,2014-11-11
31.639375686645508,2014-11-12
31.716548919677734,2014-11-13
31.46189308166504,2014-11-14
31.647085189819336,2014-11-17
31.932615280151367,2014-11-18
31.515913009643555,2014-11-19
31.60079574584961,2014-11-20
31.82459259033203,2014-11-21
32.01750183105469,2014-11-24
32.10239028930664,2014-11-25
32.41107177734375,2014-11-26
32.62714385986328,2014-11-28
32.65028762817383,2014-12-01
32.91266632080078,2014-12-02
32.95896911621094,2014-12-03
32.827789306640625,2014-12-04
32.8586540222168,2014-12-05
33.02842712402344,2014-12-08
33.1441764831543,2014-12-09
32.935821533203125,2014-12-10
33.09786605834961,2014-12-11
32.59626770019531,2014-12-12
32.11406707763672,2014-12-15
32.1762809753418,2014-12-16
32.96183395385742,2014-12-17
33.164039611816406,2014-12-18
33.05514907836914,2014-12-19
33.73181915283203,2014-12-22
33.81736755371094,2014-12-23
33.52960968017578,2014-12-24
33.80180740356445,2014-12-26
33.8407096862793,2014-12-29
33.941810607910156,2014-12-30
33.467376708984375,2014-12-31
33.77848434448242,2015-01-02
33.75515365600586,2015-01-05
33.871822357177734,2015-01-06
34.3851432800293,2015-01-07
34.39292526245117,2015-01-08
34.33848190307617,2015-01-09
34.6884765625,2015-01-12
33.99624252319336,2015-01-13
34.0040283203125,2015-01-14
34.04292297363281,2015-01-15
34.33848190307617,2015-01-16
34.09735107421875,2015-01-20
34.24513626098633,2015-01-21
35.092918395996094,2015-01-22
35.240692138671875,2015-01-23
35.66067886352539,2015-01-26
36.65623092651367,2015-01-27
