SBAC,Date
0.21030960977077484,2002-10-17
0.21030960977077484,2002-10-18
0.21986910700798035,2002-10-21
0.21986910700798035,2002-10-22
0.21986910700798035,2002-10-23
0.2581072151660919,2002-10-24
0.3154643774032593,2002-10-25
0.3537024259567261,2002-10-28
0.2963452935218811,2002-10-29
0.38238105177879333,2002-10-30
0.3537024259567261,2002-10-31
0.36326202750205994,2002-11-01
0.48753586411476135,2002-11-04
0.47797638177871704,2002-11-05
0.5831310153007507,2002-11-06
0.47797638177871704,2002-11-07
0.44929778575897217,2002-11-08
0.3728215992450714,2002-11-11
0.33458346128463745,2002-11-12
0.4206192195415497,2002-11-13
0.4397382140159607,2002-11-14
0.44929778575897217,2002-11-15
0.4206192195415497,2002-11-18
0.5735716223716736,2002-11-19
0.5544524788856506,2002-11-20
0.5257739424705505,2002-11-21
0.5926905870437622,2002-11-22
0.7934408783912659,2002-11-25
0.7169644832611084,2002-11-26
0.7647621035575867,2002-11-27
0.7169644832611084,2002-11-29
0.6882859468460083,2002-12-02
0.6309287548065186,2002-12-03
0.6022502183914185,2002-12-04
0.5640119910240173,2002-12-05
0.5448930263519287,2002-12-06
0.4970954358577728,2002-12-09
0.46841689944267273,2002-12-10
0.5544524788856506,2002-12-11
0.5640119910240173,2002-12-12
0.5353334546089172,2002-12-13
0.4970954358577728,2002-12-16
0.48753586411476135,2002-12-17
0.46841689944267273,2002-12-18
0.4015001058578491,2002-12-19
0.4015001058578491,2002-12-20
0.3728215992450714,2002-12-23
0.33458346128463745,2002-12-24
0.4110596477985382,2002-12-26
0.38238105177879333,2002-12-27
0.38238105177879333,2002-12-30
0.39194053411483765,2002-12-31
0.4397382140159607,2003-01-02
0.4015001058578491,2003-01-03
0.45885735750198364,2003-01-06
0.5448930263519287,2003-01-07
0.6022502183914185,2003-01-08
0.5640119910240173,2003-01-09
0.5735716223716736,2003-01-10
0.5640119910240173,2003-01-13
0.6118096709251404,2003-01-14
0.5926905870437622,2003-01-15
0.6213691830635071,2003-01-16
0.5735716223716736,2003-01-17
0.48753586411476135,2003-01-21
0.5353334546089172,2003-01-22
0.5353334546089172,2003-01-23
