HRL,Date
0.1309661865234375,1982-02-08
0.1319292187690735,1982-02-09
0.1309661865234375,1982-02-10
0.1309661865234375,1982-02-11
0.1309661865234375,1982-02-12
0.1309661865234375,1982-02-16
0.13000334799289703,1982-02-17
0.13000334799289703,1982-02-18
0.13000334799289703,1982-02-19
0.13000334799289703,1982-02-22
0.12422534078359604,1982-02-23
0.12904046475887299,1982-02-24
0.13000334799289703,1982-02-25
0.1309661865234375,1982-02-26
0.13481852412223816,1982-03-01
0.14252237975597382,1982-03-02
0.14348527789115906,1982-03-03
0.14059601724147797,1982-03-04
0.1415589302778244,1982-03-05
0.1454111486673355,1982-03-08
0.1454111486673355,1982-03-09
0.1454111486673355,1982-03-10
0.1454111486673355,1982-03-11
0.1444481909275055,1982-03-12
0.1444481909275055,1982-03-15
0.1454111486673355,1982-03-16
0.1454111486673355,1982-03-17
0.1482999324798584,1982-03-18
0.14733710885047913,1982-03-19
0.14637401700019836,1982-03-22
0.14733710885047913,1982-03-23
0.14252237975597382,1982-03-24
0.14733710885047913,1982-03-25
0.14733710885047913,1982-03-26
0.1482999324798584,1982-03-29
0.15311503410339355,1982-03-30
0.16178184747695923,1982-03-31
0.1743009388446808,1982-04-01
0.17237460613250732,1982-04-02
0.1675599366426468,1982-04-05
0.168522909283638,1982-04-06
0.16948582231998444,1982-04-07
0.1675599366426468,1982-04-08
0.1800784468650818,1982-04-12
0.1800784468650818,1982-04-13
0.17526377737522125,1982-04-14
0.17333801090717316,1982-04-15
0.17526377737522125,1982-04-16
0.17718970775604248,1982-04-19
0.1858564168214798,1982-04-20
0.18489359319210052,1982-04-21
0.18874584138393402,1982-04-22
0.18778225779533386,1982-04-23
0.18489359319210052,1982-04-26
0.18200471997261047,1982-04-27
0.18296769261360168,1982-04-28
0.18296769261360168,1982-04-29
0.18296769261360168,1982-04-30
0.1800784468650818,1982-05-03
0.18104188144207,1982-05-04
0.17333801090717316,1982-05-05
0.1714116334915161,1982-05-06
0.1743009388446808,1982-05-07
0.16948582231998444,1982-05-10
0.1714116334915161,1982-05-11
0.1743009388446808,1982-05-12
0.17526377737522125,1982-05-13
0.16467070579528809,1982-05-14
0.16370773315429688,1982-05-17
0.16563406586647034,1982-05-18
0.16274476051330566,1982-05-19
0.16081897914409637,1982-05-20
0.15985599160194397,1982-05-21
0.15696676075458527,1982-05-24
0.1560039073228836,1982-05-25
0.15407806634902954,1982-05-26
0.15407806634902954,1982-05-27
0.15696676075458527,1982-05-28
0.15793024003505707,1982-06-01
0.16178184747695923,1982-06-02
0.168522909283638,1982-06-03
0.16948582231998444,1982-06-04
0.1675599366426468,1982-06-07
0.16948582231998444,1982-06-08
0.16563406586647034,1982-06-09
0.15985599160194397,1982-06-10
0.16178184747695923,1982-06-11
0.16274476051330566,1982-06-14
0.15889307856559753,1982-06-15
0.15793024003505707,1982-06-16
0.15407806634902954,1982-06-17
0.15022625029087067,1982-06-18
0.1482999324798584,1982-06-21
0.14926281571388245,1982-06-22
0.15215210616588593,1982-06-23
0.1482999324798584,1982-06-24
0.15022625029087067,1982-06-25
0.1550409197807312,1982-06-28
0.1560039073228836,1982-06-29
0.15407806634902954,1982-06-30
0.15696676075458527,1982-07-01
0.15311503410339355,1982-07-02
0.15118923783302307,1982-07-06
0.15022625029087067,1982-07-07
0.15022625029087067,1982-07-08
0.15022625029087067,1982-07-09
0.15407806634902954,1982-07-12
0.15407806634902954,1982-07-13
0.15118923783302307,1982-07-14
0.15311503410339355,1982-07-15
0.14733710885047913,1982-07-16
0.1415589302778244,1982-07-19
0.1444481909275055,1982-07-20
0.14252237975597382,1982-07-21
0.14252237975597382,1982-07-22
0.14348527789115906,1982-07-23
0.14252237975597382,1982-07-26
0.1415589302778244,1982-07-27
0.13963311910629272,1982-07-28
0.13674437999725342,1982-07-29
0.1386701911687851,1982-07-30
0.14252237975597382,1982-08-02
0.14733710885047913,1982-08-03
0.14926281571388245,1982-08-04
0.14733710885047913,1982-08-05
0.14637401700019836,1982-08-06
0.14252237975597382,1982-08-09
0.1386701911687851,1982-08-10
0.13770729303359985,1982-08-11
0.1386701911687851,1982-08-12
