HWM,Date
17.0362606048584,2018-07-13
18.820261001586914,2018-07-16
18.859472274780273,2018-07-17
19.290775299072266,2018-07-18
18.790857315063477,2018-07-19
18.653629302978516,2018-07-20
18.614418029785156,2018-07-23
19.045713424682617,2018-07-24
18.87907600402832,2018-07-25
20.95714569091797,2018-07-26
20.996356964111328,2018-07-27
20.44743537902832,2018-07-30
21.261018753051758,2018-07-31
20.986557006835938,2018-08-01
20.711320877075195,2018-08-02
20.868600845336914,2018-08-03
20.81945037841797,2018-08-06
20.593366622924805,2018-08-07
20.554052352905273,2018-08-08
20.416427612304688,2018-08-09
20.45574951171875,2018-08-10
20.062557220458984,2018-08-13
20.337785720825195,2018-08-14
19.993751525878906,2018-08-15
20.347620010375977,2018-08-16
20.524555206298828,2018-08-17
20.839111328125,2018-08-20
21.19297981262207,2018-08-21
21.06519317626953,2018-08-22
20.868600845336914,2018-08-23
21.85157585144043,2018-08-24
21.684465408325195,2018-08-27
21.527193069458008,2018-08-28
21.7925968170166,2018-08-29
21.694299697875977,2018-08-30
21.999021530151367,2018-08-31
21.713960647583008,2018-09-04
21.78277015686035,2018-09-05
21.546852111816406,2018-09-06
21.546852111816406,2018-09-07
21.61566162109375,2018-09-10
21.841745376586914,2018-09-11
22.30374526977539,2018-09-12
22.116979598999023,2018-09-13
22.30374526977539,2018-09-14
22.333234786987305,2018-09-17
22.598636627197266,2018-09-18
22.43153190612793,2018-09-19
22.215274810791016,2018-09-20
22.490507125854492,2018-09-21
21.25196075439453,2018-09-24
21.704132080078125,2018-09-25
21.173324584960938,2018-09-26
21.546852111816406,2018-09-27
21.63532066345215,2018-09-28
21.763107299804688,2018-10-01
21.812253952026367,2018-10-02
21.900728225708008,2018-10-03
21.83191680908203,2018-10-04
21.468217849731445,2018-10-05
23.001659393310547,2018-10-08
22.45119285583496,2018-10-09
21.379741668701172,2018-10-10
20.809619903564453,2018-10-11
21.242130279541016,2018-10-12
21.11433982849121,2018-10-15
21.812253952026367,2018-10-16
22.136642456054688,2018-10-17
21.65498161315918,2018-10-18
21.507532119750977,2018-10-19
21.084857940673828,2018-10-22
20.29846954345703,2018-10-23
19.531747817993164,2018-10-24
19.610387802124023,2018-10-25
19.50226402282715,2018-10-26
18.89281463623047,2018-10-29
19.364646911621094,2018-10-30
19.983919143676758,2018-10-31
20.969806671142578,2018-11-01
20.861360549926758,2018-11-02
20.46700668334961,2018-11-05
20.624744415283203,2018-11-06
20.84164047241211,2018-11-07
20.752910614013672,2018-11-08
20.47686195373535,2018-11-09
19.79659652709961,2018-11-12
19.82617950439453,2018-11-13
20.052934646606445,2018-11-14
20.368419647216797,2018-11-15
19.865612030029297,2018-11-16
20.052934646606445,2018-11-19
19.55999183654785,2018-11-20
20.200817108154297,2018-11-21
20.210670471191406,2018-11-23
20.17123794555664,2018-11-26
20.09236717224121,2018-11-27
20.526159286499023,2018-11-28
21.038820266723633,2018-11-29
21.17683982849121,2018-11-30
21.216278076171875,2018-12-03
20.555734634399414,2018-12-04
20.24025535583496,2018-12-06
20.00363540649414,2018-12-07
19.609283447265625,2018-12-10
19.85575294494629,2018-12-11
19.97406005859375,2018-12-12
19.65857696533203,2018-12-13
19.46139907836914,2018-12-14
18.87972640991211,2018-12-17
18.436079025268555,2018-12-18
17.667081832885742,2018-12-19
17.312164306640625,2018-12-20
16.7403507232666,2018-12-21
15.912205696105957,2018-12-24
16.602331161499023,2018-12-26
16.789648056030273,2018-12-27
16.52345848083496,2018-12-28
16.62204360961914,2018-12-31
18.29805564880371,2019-01-02
18.169891357421875,2019-01-03
18.69240379333496,2019-01-04
19.13606071472168,2019-01-07
19.19521141052246,2019-01-08
19.244504928588867,2019-01-09
19.333236694335938,2019-01-10
19.402250289916992,2019-01-11
19.096622467041016,2019-01-14
19.786741256713867,2019-01-15
19.816320419311523,2019-01-16
19.895191192626953,2019-01-17
20.052934646606445,2019-01-18
16.848800659179688,2019-01-22
17.795249938964844,2019-01-23
18.140310287475586,2019-01-24
18.278335571289062,2019-01-25
18.00228500366211,2019-01-28
18.130451202392578,2019-01-29
18.44593620300293,2019-01-30
18.554384231567383,2019-01-31
18.238903045654297,2019-02-01
18.465652465820312,2019-02-04
18.544523239135742,2019-02-05
18.06144142150879,2019-02-06
17.487747192382812,2019-02-07
16.91405487060547,2019-02-08
17.299816131591797,2019-02-11
17.725141525268555,2019-02-12
17.695465087890625,2019-02-13
17.299816131591797,2019-02-14
17.359161376953125,2019-02-15
17.863615036010742,2019-02-19
18.190025329589844,2019-02-20
18.04166030883789,2019-02-21
18.081222534179688,2019-02-22
18.209808349609375,2019-02-25
18.219697952270508,2019-02-26
18.427417755126953,2019-02-27
18.2889404296875,2019-02-28
18.496654510498047,2019-03-01
18.2889404296875,2019-03-04
18.407634735107422,2019-03-05
18.407634735107422,2019-03-06
18.12078857421875,2019-03-07
18.2889404296875,2019-03-08
18.60546112060547,2019-03-11
18.66480827331543,2019-03-12
18.743938446044922,2019-03-13
18.743938446044922,2019-03-14
18.78350257873535,2019-03-15
19.020893096923828,2019-03-18
18.912086486816406,2019-03-19
18.872522354125977,2019-03-20
18.99122428894043,2019-03-21
18.516441345214844,2019-03-22
18.397743225097656,2019-03-25
18.595565795898438,2019-03-26
18.714263916015625,2019-03-27
18.921981811523438,2019-03-28
18.902198791503906,2019-03-29
19.44621467590332,2019-04-01
19.535240173339844,2019-04-02
19.367084503173828,2019-04-03
19.653932571411133,2019-04-04
19.89132308959961,2019-04-05
20.039691925048828,2019-04-08
19.78251838684082,2019-04-09
