MCIC,Date
241045.453125,2001-11-01
241045.453125,2001-11-02
241045.453125,2001-11-05
241045.453125,2001-11-06
241045.453125,2001-11-07
137742.421875,2001-11-08
137742.421875,2001-11-09
68871.2109375,2001-11-12
68871.2109375,2001-11-13
137742.421875,2001-11-14
137742.421875,2001-11-15
137742.421875,2001-11-16
137742.421875,2001-11-19
137742.421875,2001-11-20
68871.2109375,2001-11-21
68871.2109375,2001-11-23
68871.2109375,2001-11-26
68871.2109375,2001-11-27
68871.2109375,2001-11-28
68871.2109375,2001-11-29
68871.2109375,2001-11-30
68871.2109375,2001-12-03
51651.515625,2001-12-04
51651.515625,2001-12-05
51651.515625,2001-12-06
51651.515625,2001-12-07
51651.515625,2001-12-10
34431.81640625,2001-12-11
17219.697265625,2001-12-12
20659.091796875,2001-12-13
20659.091796875,2001-12-14
13772.7275390625,2001-12-17
13772.7275390625,2001-12-18
13772.7275390625,2001-12-19
24106.060546875,2001-12-20
10333.3330078125,2001-12-21
10333.3330078125,2001-12-24
