PKG,Date
122.85301971435547,2021-06-18
125.24069213867188,2021-06-21
125.23143005371094,2021-06-22
124.56510925292969,2021-06-23
123.82474517822266,2021-06-24
125.17588806152344,2021-06-25
125.48126983642578,2021-06-28
125.00006103515625,2021-06-29
125.32395935058594,2021-06-30
126.36044311523438,2021-07-01
126.46224975585938,2021-07-02
125.60160064697266,2021-07-06
127.35993957519531,2021-07-07
125.98102569580078,2021-07-08
128.29464721679688,2021-07-09
128.5537872314453,2021-07-12
127.2396240234375,2021-07-13
126.9342269897461,2021-07-14
126.52704620361328,2021-07-15
124.86121368408203,2021-07-16
122.33477020263672,2021-07-19
122.69569396972656,2021-07-20
122.91779327392578,2021-07-21
121.71471405029297,2021-07-22
123.66741180419922,2021-07-23
124.537353515625,2021-07-26
127.79491424560547,2021-07-27
128.58154296875,2021-07-28
129.76611328125,2021-07-29
130.95068359375,2021-07-30
128.88694763183594,2021-08-02
129.75685119628906,2021-08-03
128.38717651367188,2021-08-04
128.21136474609375,2021-08-05
130.08999633789062,2021-08-06
132.0056610107422,2021-08-09
133.31983947753906,2021-08-10
134.7542724609375,2021-08-11
134.61544799804688,2021-08-12
135.5038604736328,2021-08-13
135.19847106933594,2021-08-16
134.80978393554688,2021-08-17
134.2360076904297,2021-08-18
134.27304077148438,2021-08-19
137.2436981201172,2021-08-20
136.0220947265625,2021-08-23
136.82725524902344,2021-08-24
138.74293518066406,2021-08-25
138.26168823242188,2021-08-26
140.10333251953125,2021-08-27
139.88124084472656,2021-08-30
140.39024353027344,2021-08-31
142.46324157714844,2021-09-01
141.8802032470703,2021-09-02
141.08432006835938,2021-09-03
140.29769897460938,2021-09-07
140.37171936035156,2021-09-08
140.39947509765625,2021-09-09
140.5012664794922,2021-09-10
140.37171936035156,2021-09-13
138.13589477539062,2021-09-14
136.0491485595703,2021-09-15
133.87852478027344,2021-09-16
131.37257385253906,2021-09-17
130.16151428222656,2021-09-20
128.57778930664062,2021-09-21
131.11170959472656,2021-09-22
132.92832946777344,2021-09-23
132.1644287109375,2021-09-24
133.8040313720703,2021-09-27
132.3134765625,2021-09-28
131.7079620361328,2021-09-29
128.03750610351562,2021-09-30
129.6304931640625,2021-10-01
129.86338806152344,2021-10-04
132.02467346191406,2021-10-05
131.54957580566406,2021-10-06
132.9097137451172,2021-10-07
129.6118927001953,2021-10-08
128.64303588867188,2021-10-11
129.9844970703125,2021-10-12
127.8511962890625,2021-10-13
129.59324645996094,2021-10-14
124.56267547607422,2021-10-15
124.94462585449219,2021-10-18
123.77080535888672,2021-10-19
126.2674560546875,2021-10-20
125.53150177001953,2021-10-21
124.82352447509766,2021-10-22
124.75830841064453,2021-10-25
126.7239761352539,2021-10-26
126.13702392578125,2021-10-27
129.30445861816406,2021-10-28
127.9722900390625,2021-10-29
126.18362426757812,2021-11-01
124.56267547607422,2021-11-02
126.1184310913086,2021-11-03
125.2054672241211,2021-11-04
126.1184310913086,2021-11-05
125.17750549316406,2021-11-08
125.00981140136719,2021-11-09
126.18362426757812,2021-11-10
125.85757446289062,2021-11-11
125.84825897216797,2021-11-12
125.59674072265625,2021-11-15
125.35449981689453,2021-11-16
125.38247680664062,2021-11-17
123.53790283203125,2021-11-18
123.98509216308594,2021-11-19
125.14955139160156,2021-11-22
125.48493194580078,2021-11-23
123.0814208984375,2021-11-24
124.43225860595703,2021-11-26
124.55333709716797,2021-11-29
121.6561050415039,2021-11-30
120.64998626708984,2021-12-01
122.89513397216797,2021-12-02
124.09687805175781,2021-12-03
126.87300109863281,2021-12-06
126.09979248046875,2021-12-07
123.18389892578125,2021-12-08
120.37983703613281,2021-12-09
119.40166473388672,2021-12-10
121.59090423583984,2021-12-13
121.69336700439453,2021-12-14
122.75537872314453,2021-12-15
125.29861450195312,2021-12-16
122.04180145263672,2021-12-17
121.13138580322266,2021-12-20
122.69877624511719,2021-12-21
122.94281768798828,2021-12-22
123.23377990722656,2021-12-23
124.82933044433594,2021-12-27
125.27985382080078,2021-12-28
126.34041595458984,2021-12-29
126.39673614501953,2021-12-30
127.78579711914062,2021-12-31
126.34041595458984,2022-01-03
129.5503387451172,2022-01-04
130.44195556640625,2022-01-05
128.55545043945312,2022-01-06
129.38140869140625,2022-01-07
127.61687469482422,2022-01-10
127.56056213378906,2022-01-11
125.76789855957031,2022-01-12
128.72439575195312,2022-01-13
128.8745574951172,2022-01-14
126.09642028808594,2022-01-18
128.69622802734375,2022-01-19
126.9129638671875,2022-01-20
126.2559585571289,2022-01-21
128.18002319335938,2022-01-24
126.73462677001953,2022-01-25
125.20475769042969,2022-01-26
134.67489624023438,2022-01-27
136.60833740234375,2022-01-28
141.37628173828125,2022-01-31
140.2781524658203,2022-02-01
138.2133026123047,2022-02-02
139.07675170898438,2022-02-03
137.6595458984375,2022-02-04
139.2738800048828,2022-02-07
141.25424194335938,2022-02-08
141.77981567382812,2022-02-09
139.57421875,2022-02-10
138.7107391357422,2022-02-11
137.98806762695312,2022-02-14
138.97354125976562,2022-02-15
139.3677215576172,2022-02-16
139.40528869628906,2022-02-17
139.3489532470703,2022-02-18
139.90269470214844,2022-02-22
136.33616638183594,2022-02-23
137.0213165283203,2022-02-24
140.4282989501953,2022-02-25
138.14761352539062,2022-02-28
134.32762145996094,2022-03-01
138.23207092285156,2022-03-02
139.5178985595703,2022-03-03
140.41893005371094,2022-03-04
136.25167846679688,2022-03-07
132.15016174316406,2022-03-08
138.57933044433594,2022-03-09
139.8557891845703,2022-03-10
140.5503387451172,2022-03-11
142.6101531982422,2022-03-14
143.95188903808594,2022-03-15
146.77703857421875,2022-03-16
147.64634704589844,2022-03-17
147.8447723388672,2022-03-18
147.71249389648438,2022-03-21
145.00070190429688,2022-03-22
144.39598083496094,2022-03-23
144.52825927734375,2022-03-24
