AM,Date
3.2120518684387207,2020-05-29
3.1717331409454346,2020-06-01
3.373326301574707,2020-06-02
3.4942822456359863,2020-06-03
3.581639051437378,2020-06-04
3.7966718673706055,2020-06-05
3.998265504837036,2020-06-08
3.9109079837799072,2020-06-09
3.736194133758545,2020-06-10
3.460683584213257,2020-06-11
3.5480408668518066,2020-06-12
4.112501621246338,2020-06-15
3.998265504837036,2020-06-16
3.904188871383667,2020-06-17
3.978105306625366,2020-06-18
3.998265504837036,2020-06-19
3.8369903564453125,2020-06-22
3.843709945678711,2020-06-23
3.63539719581604,2020-06-24
3.6286773681640625,2020-06-25
3.406925916671753,2020-06-26
3.3666069507598877,2020-06-29
3.4270849227905273,2020-06-30
3.4875621795654297,2020-07-01
3.662276268005371,2020-07-02
3.682436227798462,2020-07-06
3.8840296268463135,2020-07-07
3.8773090839385986,2020-07-08
3.675715923309326,2020-07-09
3.601799249649048,2020-07-10
3.554760217666626,2020-07-13
3.5749194622039795,2020-07-14
3.8705899715423584,2020-07-15
3.9377877712249756,2020-07-16
3.9646668434143066,2020-07-17
3.9915452003479004,2020-07-20
4.119220733642578,2020-07-21
4.0049848556518555,2020-07-22
4.025143146514893,2020-07-23
4.031863689422607,2020-07-24
3.8840296268463135,2020-07-27
3.924347162246704,2020-07-28
3.944211006164551,2020-07-29
4.135745525360107,2020-07-30
4.022243976593018,2020-07-31
4.22087287902832,2020-08-03
4.6181321144104,2020-08-04
4.873512268066406,2020-08-05
4.866418361663818,2020-08-06
4.9231696128845215,2020-08-07
5.221113204956055,2020-08-10
4.965732574462891,2020-08-11
5.050858974456787,2020-08-12
4.979920387268066,2020-08-13
5.185643672943115,2020-08-14
5.29205322265625,2020-08-17
5.12889289855957,2020-08-18
5.185643672943115,2020-08-19
5.121798992156982,2020-08-20
5.12889289855957,2020-08-21
5.16436243057251,2020-08-24
5.16436243057251,2020-08-25
4.930263042449951,2020-08-26
4.958638668060303,2020-08-27
4.809667587280273,2020-08-28
4.8025736808776855,2020-08-31
4.561380386352539,2020-09-01
4.433690071105957,2020-09-02
4.3272809982299805,2020-09-03
4.256341934204102,2020-09-04
4.1570281982421875,2020-09-08
4.064807415008545,2020-09-09
3.9158356189727783,2020-09-10
3.922929525375366,2020-09-11
4.057713031768799,2020-09-14
3.7030184268951416,2020-09-15
3.795238733291626,2020-09-16
3.8307080268859863,2020-09-17
3.8307080268859863,2020-09-18
3.795238733291626,2020-09-21
3.7384872436523438,2020-09-22
3.6888301372528076,2020-09-23
3.78105092048645,2020-09-24
3.788144588470459,2020-09-25
3.9016475677490234,2020-09-28
3.9016475677490234,2020-09-29
3.809426784515381,2020-09-30
3.6817362308502197,2020-10-01
3.78105092048645,2020-10-02
3.9867746829986572,2020-10-05
3.922929525375366,2020-10-06
4.057713031768799,2020-10-07
4.22087287902832,2020-10-08
4.206685543060303,2020-10-09
4.313093185424805,2020-10-12
4.426596164703369,2020-10-13
4.511723518371582,2020-10-14
4.561380386352539,2020-10-15
4.568474292755127,2020-10-16
4.660695552825928,2020-10-19
4.611037731170654,2020-10-20
4.490440845489502,2020-10-21
4.653601169586182,2020-10-22
4.696164131164551,2020-10-23
4.596850395202637,2020-10-26
4.511723518371582,2020-10-27
