INVH,Date
30.161169052124023,2021-03-26
30.067790985107422,2021-03-29
30.11448097229004,2021-03-30
29.87169647216797,2021-03-31
30.50666618347168,2021-04-01
30.207855224609375,2021-04-05
30.674747467041016,2021-04-06
30.36660385131836,2021-04-07
30.282562255859375,2021-04-08
30.226533889770508,2021-04-09
30.34792709350586,2021-04-12
30.553361892700195,2021-04-13
30.422630310058594,2021-04-14
30.8708438873291,2021-04-15
31.132307052612305,2021-04-16
31.40310287475586,2021-04-19
31.729921340942383,2021-04-20
31.608531951904297,2021-04-21
31.589855194091797,2021-04-22
31.69257164001465,2021-04-23
31.608531951904297,2021-04-26
31.664560317993164,2021-04-27
31.8886661529541,2021-04-28
32.420921325683594,2021-04-29
32.73841094970703,2021-04-30
32.439598083496094,2021-05-03
32.55165100097656,2021-05-04
32.01005554199219,2021-05-05
32.60767364501953,2021-05-06
32.71039581298828,2021-05-07
33.001277923583984,2021-05-10
32.916831970214844,2021-05-11
32.13801193237305,2021-05-12
32.522727966308594,2021-05-13
32.94498062133789,2021-05-14
33.001277923583984,2021-05-17
32.898067474365234,2021-05-18
32.804229736328125,2021-05-19
33.40476608276367,2021-05-20
33.16079330444336,2021-05-21
33.82700729370117,2021-05-24
33.95838165283203,2021-05-25
33.94898986816406,2021-05-26
33.6768798828125,2021-05-27
34.033451080322266,2021-05-28
34.305564880371094,2021-06-01
34.62460708618164,2021-06-02
34.493228912353516,2021-06-03
34.63398742675781,2021-06-04
35.14068603515625,2021-06-07
35.08438491821289,2021-06-08
35.14068603515625,2021-06-09
35.60985565185547,2021-06-10
35.3846549987793,2021-06-11
35.47848892211914,2021-06-14
35.11253356933594,2021-06-15
34.85918045043945,2021-06-16
35.11253356933594,2021-06-17
34.25864791870117,2021-06-18
35.21574783325195,2021-06-21
35.08438491821289,2021-06-22
35.29082107543945,2021-06-23
35.22513961791992,2021-06-24
35.60985565185547,2021-06-25
35.394039154052734,2021-06-28
35.20637130737305,2021-06-29
34.99055480957031,2021-06-30
35.22513961791992,2021-07-01
35.53478240966797,2021-07-02
36.37929153442383,2021-07-06
36.59510803222656,2021-07-07
36.95167541503906,2021-07-08
37.439613342285156,2021-07-09
37.61789321899414,2021-07-12
37.17687225341797,2021-07-13
37.38330841064453,2021-07-14
37.37392807006836,2021-07-15
37.50529479980469,2021-07-16
36.81092834472656,2021-07-19
37.768028259277344,2021-07-20
37.4583740234375,2021-07-21
37.39268493652344,2021-07-22
38.021385192871094,2021-07-23
37.768028259277344,2021-07-26
38.19028091430664,2021-07-27
38.04014205932617,2021-07-28
38.133975982666016,2021-07-29
38.1715087890625,2021-07-30
38.10582733154297,2021-08-02
37.91816329956055,2021-08-03
37.927547454833984,2021-08-04
37.936920166015625,2021-08-05
37.64604187011719,2021-08-06
37.49527359008789,2021-08-09
36.66602325439453,2021-08-10
36.86390686035156,2021-08-11
36.9581413269043,2021-08-12
37.3350715637207,2021-08-13
37.35392379760742,2021-08-16
37.3350715637207,2021-08-17
37.79682159423828,2021-08-18
37.900474548339844,2021-08-19
38.14548110961914,2021-08-20
38.0135498046875,2021-08-23
37.78738784790039,2021-08-24
37.768550872802734,2021-08-25
37.975860595703125,2021-08-26
38.16432189941406,2021-08-27
38.91819381713867,2021-08-30
38.805110931396484,2021-08-31
39.5118522644043,2021-09-01
40.020713806152344,2021-09-02
39.53070068359375,2021-09-03
38.91819381713867,2021-09-07
39.34223937988281,2021-09-08
38.72972106933594,2021-09-09
37.966434478759766,2021-09-10
38.23028564453125,2021-09-13
38.23971939086914,2021-09-14
38.07008743286133,2021-09-15
38.13605499267578,2021-09-16
37.589508056640625,2021-09-17
37.57065200805664,2021-09-20
37.664894104003906,2021-09-21
38.18317794799805,2021-09-22
38.12663650512695,2021-09-23
37.3350715637207,2021-09-24
36.33620834350586,2021-09-27
36.317359924316406,2021-09-28
36.70372009277344,2021-09-29
36.11946487426758,2021-09-30
36.57179260253906,2021-10-01
36.505828857421875,2021-10-04
36.20428466796875,2021-10-05
36.4210205078125,2021-10-06
36.326778411865234,2021-10-07
36.29850769042969,2021-10-08
36.39274597167969,2021-10-11
36.75083541870117,2021-10-12
37.56123733520508,2021-10-13
37.966434478759766,2021-10-14
37.86277770996094,2021-10-15
37.94758987426758,2021-10-18
37.872196197509766,2021-10-19
38.14548110961914,2021-10-20
37.975860595703125,2021-10-21
38.52241516113281,2021-10-22
38.663753509521484,2021-10-25
38.57894515991211,2021-10-26
38.13605499267578,2021-10-27
39.00300216674805,2021-10-28
38.871070861816406,2021-10-29
38.748565673828125,2021-11-01
39.144344329833984,2021-11-02
39.106651306152344,2021-11-03
38.35279083251953,2021-11-04
38.46586608886719,2021-11-05
38.28607940673828,2021-11-08
38.35231399536133,2021-11-09
38.390167236328125,2021-11-10
38.37124252319336,2021-11-11
38.380706787109375,2021-11-12
38.69297409057617,2021-11-15
38.33338928222656,2021-11-16
38.32393264770508,2021-11-17
38.85383987426758,2021-11-18
38.71189498901367,2021-11-19
38.56049346923828,2021-11-22
38.939002990722656,2021-11-23
39.70548629760742,2021-11-24
38.939002990722656,2021-11-26
39.05255889892578,2021-11-29
38.267154693603516,2021-11-30
37.67100143432617,2021-12-01
39.11879348754883,2021-12-02
39.41213607788086,2021-12-03
40.02721405029297,2021-12-06
40.36787033081055,2021-12-07
40.95455551147461,2021-12-08
40.424652099609375,2021-12-09
40.43411636352539,2021-12-10
40.850467681884766,2021-12-13
39.87581253051758,2021-12-14
40.557132720947266,2021-12-15
40.244850158691406,2021-12-16
40.5949821472168,2021-12-17
40.23539733886719,2021-12-20
41.01133728027344,2021-12-21
41.616947174072266,2021-12-22
41.588565826416016,2021-12-23
42.13739776611328,2021-12-27
42.194175720214844,2021-12-28
42.743003845214844,2021-12-29
42.73354721069336,2021-12-30
42.903873443603516,2021-12-31
42.55375289916992,2022-01-03
42.70515823364258,2022-01-04
41.53178405761719,2022-01-05
41.39930725097656,2022-01-06
40.61389923095703,2022-01-07
40.34894561767578,2022-01-10
40.84100341796875,2022-01-11
41.1248893737793,2022-01-12
41.27629089355469,2022-01-13
41.05864715576172,2022-01-14
