MU,Date
66.45516204833984,2021-10-19
67.14361572265625,2021-10-20
67.50751495361328,2021-10-21
66.39617156982422,2021-10-22
67.62553405761719,2021-10-25
67.80256652832031,2021-10-26
67.11410522460938,2021-10-27
68.4320068359375,2021-10-28
67.95993041992188,2021-10-29
69.53351593017578,2021-11-01
69.59253692626953,2021-11-02
70.07445526123047,2021-11-03
71.04811096191406,2021-11-04
71.71688842773438,2021-11-05
73.32982635498047,2021-11-08
74.34284210205078,2021-11-09
72.19880676269531,2021-11-10
73.32001495361328,2021-11-11
76.02462768554688,2021-11-12
75.5132064819336,2021-11-15
75.5427017211914,2021-11-16
74.21498107910156,2021-11-17
75.74923706054688,2021-11-18
81.66008758544922,2021-11-19
82.47640228271484,2021-11-22
84.00081634521484,2021-11-23
84.7876205444336,2021-11-24
82.04364013671875,2021-11-26
84.71878051757812,2021-11-29
82.61409759521484,2021-11-30
83.74510955810547,2021-12-01
81.5125503540039,2021-12-02
80.27334594726562,2021-12-03
81.08964538574219,2021-12-06
84.41387939453125,2021-12-07
84.60076141357422,2021-12-08
83.52873992919922,2021-12-09
84.1286849975586,2021-12-10
82.95829772949219,2021-12-13
81.9157943725586,2021-12-14
84.24671173095703,2021-12-15
81.32571411132812,2021-12-16
81.6305923461914,2021-12-17
80.67658996582031,2021-12-20
89.18386840820312,2021-12-21
88.8494873046875,2021-12-22
92.86216735839844,2021-12-23
92.87200164794922,2021-12-27
91.4065933227539,2021-12-28
94.58329010009766,2021-12-29
92.34091186523438,2021-12-30
91.71080017089844,2021-12-31
94.2706298828125,2022-01-03
94.85150909423828,2022-01-04
92.94148254394531,2022-01-05
94.17217254638672,2022-01-06
92.99070739746094,2022-01-07
92.43936157226562,2022-01-10
92.74457550048828,2022-01-11
93.64051055908203,2022-01-12
94.14264678955078,2022-01-13
95.85575103759766,2022-01-14
91.43511962890625,2022-01-18
88.60948181152344,2022-01-19
83.7556381225586,2022-01-20
80.66415405273438,2022-01-21
81.66839599609375,2022-01-24
79.47283172607422,2022-01-25
80.70353698730469,2022-01-26
77.50373840332031,2022-01-27
78.04524993896484,2022-01-28
80.99889373779297,2022-01-31
80.19156646728516,2022-02-01
83.20429229736328,2022-02-02
80.70353698730469,2022-02-03
79.91588592529297,2022-02-04
79.62052917480469,2022-02-07
82.8203125,2022-02-08
86.75851440429688,2022-02-09
89.61370086669922,2022-02-10
88.37317657470703,2022-02-11
88.47162628173828,2022-02-14
94.51676940917969,2022-02-15
94.5758285522461,2022-02-16
92.28184509277344,2022-02-17
89.39710998535156,2022-02-18
89.17066192626953,2022-02-22
85.96102142333984,2022-02-23
87.4575424194336,2022-02-24
