URBN,Date
1.84375,1997-12-11
2.0625,1997-12-12
1.9765629768371582,1997-12-15
1.9375,1997-12-16
2.0625,1997-12-17
1.96875,1997-12-18
1.984375,1997-12-19
2.0,1997-12-22
2.03125,1997-12-23
2.0625,1997-12-24
2.015625,1997-12-26
2.164062976837158,1997-12-29
2.253906011581421,1997-12-30
2.28125,1997-12-31
2.203125,1998-01-02
2.1875,1998-01-05
2.140625,1998-01-06
2.15625,1998-01-07
2.1875,1998-01-08
2.117187976837158,1998-01-09
2.125,1998-01-12
2.125,1998-01-13
2.179687976837158,1998-01-14
2.1875,1998-01-15
2.21875,1998-01-16
2.1875,1998-01-20
2.171875,1998-01-21
1.9140629768371582,1998-01-22
1.96875,1998-01-23
2.03125,1998-01-26
2.015625,1998-01-27
2.140625,1998-01-28
2.140625,1998-01-29
2.125,1998-01-30
2.1875,1998-02-02
2.15625,1998-02-03
2.140625,1998-02-04
2.125,1998-02-05
2.234375,1998-02-06
2.125,1998-02-09
2.1875,1998-02-10
2.1875,1998-02-11
2.125,1998-02-12
2.164062976837158,1998-02-13
2.1875,1998-02-17
2.125,1998-02-18
2.140625,1998-02-19
2.070312976837158,1998-02-20
2.132812976837158,1998-02-23
2.140625,1998-02-24
2.171875,1998-02-25
2.320312976837158,1998-02-26
2.390625,1998-02-27
2.328125,1998-03-02
2.382812976837158,1998-03-03
2.375,1998-03-04
2.53125,1998-03-05
3.0625,1998-03-06
2.75,1998-03-09
2.699218988418579,1998-03-10
2.8125,1998-03-11
2.75,1998-03-12
2.796875,1998-03-13
2.875,1998-03-16
2.875,1998-03-17
2.5,1998-03-18
2.40625,1998-03-19
2.328125,1998-03-20
2.3125,1998-03-23
2.25,1998-03-24
2.234375,1998-03-25
2.1875,1998-03-26
2.078125,1998-03-27
2.078125,1998-03-30
2.34375,1998-03-31
2.25,1998-04-01
2.265625,1998-04-02
2.257812976837158,1998-04-03
2.1875,1998-04-06
2.128906011581421,1998-04-07
2.140625,1998-04-08
2.15625,1998-04-09
2.125,1998-04-13
2.179687976837158,1998-04-14
2.140625,1998-04-15
2.148437976837158,1998-04-16
2.117187976837158,1998-04-17
2.1875,1998-04-20
2.125,1998-04-21
2.03125,1998-04-22
2.03125,1998-04-23
2.085937976837158,1998-04-24
2.015625,1998-04-27
2.0625,1998-04-28
1.984375,1998-04-29
