NSC,Date
80.66331481933594,2015-11-27
80.3927001953125,2015-11-30
80.18123626708984,2015-12-01
77.93170928955078,2015-12-02
78.74356079101562,2015-12-03
77.85558319091797,2015-12-04
77.3989028930664,2015-12-07
73.00121307373047,2015-12-08
74.04143524169922,2015-12-09
74.15140533447266,2015-12-10
75.63985443115234,2015-12-11
75.56371307373047,2015-12-14
76.97604370117188,2015-12-15
75.93582916259766,2015-12-16
71.93565368652344,2015-12-17
71.26753997802734,2015-12-18
71.10684967041016,2015-12-21
72.78982543945312,2015-12-22
73.449462890625,2015-12-23
73.3902587890625,2015-12-24
72.38386535644531,2015-12-28
72.3584976196289,2015-12-29
71.76651763916016,2015-12-30
71.53816986083984,2015-12-31
69.1871109008789,2016-01-04
69.57611846923828,2016-01-05
67.21661376953125,2016-01-06
65.96497344970703,2016-01-07
65.78736877441406,2016-01-08
64.2481918334961,2016-01-11
64.21435546875,2016-01-12
60.41715621948242,2016-01-13
61.0175895690918,2016-01-14
60.69622039794922,2016-01-15
60.76387405395508,2016-01-19
60.1972770690918,2016-01-20
59.2585334777832,2016-01-21
58.00687789916992,2016-01-22
57.27958679199219,2016-01-25
58.26906204223633,2016-01-26
59.106292724609375,2016-01-27
59.2923698425293,2016-01-28
59.62218475341797,2016-01-29
59.36003112792969,2016-02-01
56.323936462402344,2016-02-02
57.44170379638672,2016-02-03
59.19090270996094,2016-02-04
59.847930908203125,2016-02-05
60.14656448364258,2016-02-08
60.940093994140625,2016-02-09
62.30531692504883,2016-02-10
61.15341567993164,2016-02-11
61.91280746459961,2016-02-12
63.13297653198242,2016-02-16
64.65178680419922,2016-02-17
63.8497314453125,2016-02-18
63.99477767944336,2016-02-19
64.81388854980469,2016-02-22
63.03059387207031,2016-02-23
63.090328216552734,2016-02-24
62.85993957519531,2016-02-25
63.73878860473633,2016-02-26
62.43330001831055,2016-02-29
64.25931549072266,2016-03-01
65.18934631347656,2016-03-02
65.70130157470703,2016-03-03
66.0426025390625,2016-03-04
68.02217864990234,2016-03-07
65.15521240234375,2016-03-08
64.63469696044922,2016-03-09
64.64324951171875,2016-03-10
67.4163818359375,2016-03-11
67.38223266601562,2016-03-14
67.4078369140625,2016-03-15
69.1058120727539,2016-03-16
70.65023040771484,2016-03-17
71.69122314453125,2016-03-18
71.70829010009766,2016-03-21
71.93013763427734,2016-03-22
70.7014389038086,2016-03-23
71.563232421875,2016-03-24
69.7542953491211,2016-03-28
70.65023040771484,2016-03-29
72.31410217285156,2016-03-30
71.03421020507812,2016-03-31
70.79528045654297,2016-04-01
70.38571166992188,2016-04-04
69.2850341796875,2016-04-05
69.24235534667969,2016-04-06
68.34642028808594,2016-04-07
69.5324478149414,2016-04-08
67.6467514038086,2016-04-11
67.16893768310547,2016-04-12
69.23381805419922,2016-04-13
70.08707427978516,2016-04-14
69.65190887451172,2016-04-15
69.57513427734375,2016-04-18
