CBRE,Date
37.560001373291016,2015-11-02
37.130001068115234,2015-11-03
36.75,2015-11-04
36.75,2015-11-05
36.15999984741211,2015-11-06
35.959999084472656,2015-11-09
35.959999084472656,2015-11-10
36.02000045776367,2015-11-11
35.099998474121094,2015-11-12
34.68000030517578,2015-11-13
34.9900016784668,2015-11-16
34.9900016784668,2015-11-17
36.04999923706055,2015-11-18
36.31999969482422,2015-11-19
36.86000061035156,2015-11-20
36.84000015258789,2015-11-23
36.86000061035156,2015-11-24
37.31999969482422,2015-11-25
37.34000015258789,2015-11-27
37.470001220703125,2015-11-30
37.709999084472656,2015-12-01
36.880001068115234,2015-12-02
35.97999954223633,2015-12-03
36.66999816894531,2015-12-04
36.380001068115234,2015-12-07
36.09000015258789,2015-12-08
35.33000183105469,2015-12-09
35.18000030517578,2015-12-10
34.56999969482422,2015-12-11
34.689998626708984,2015-12-14
35.56999969482422,2015-12-15
36.279998779296875,2015-12-16
35.380001068115234,2015-12-17
33.95000076293945,2015-12-18
33.91999816894531,2015-12-21
34.29999923706055,2015-12-22
34.869998931884766,2015-12-23
34.7400016784668,2015-12-24
34.72999954223633,2015-12-28
35.130001068115234,2015-12-29
34.63999938964844,2015-12-30
34.58000183105469,2015-12-31
34.09000015258789,2016-01-04
34.38999938964844,2016-01-05
32.90999984741211,2016-01-06
31.06999969482422,2016-01-07
30.719999313354492,2016-01-08
30.09000015258789,2016-01-11
30.329999923706055,2016-01-12
29.09000015258789,2016-01-13
29.469999313354492,2016-01-14
28.940000534057617,2016-01-15
28.559999465942383,2016-01-19
28.010000228881836,2016-01-20
28.350000381469727,2016-01-21
28.75,2016-01-22
27.299999237060547,2016-01-25
28.0,2016-01-26
27.739999771118164,2016-01-27
27.100000381469727,2016-01-28
27.969999313354492,2016-01-29
27.530000686645508,2016-02-01
26.290000915527344,2016-02-02
25.68000030517578,2016-02-03
26.360000610351562,2016-02-04
24.8700008392334,2016-02-05
23.360000610351562,2016-02-08
23.31999969482422,2016-02-09
24.010000228881836,2016-02-10
23.530000686645508,2016-02-11
24.34000015258789,2016-02-12
24.31999969482422,2016-02-16
25.84000015258789,2016-02-17
25.25,2016-02-18
25.059999465942383,2016-02-19
25.790000915527344,2016-02-22
25.799999237060547,2016-02-23
25.270000457763672,2016-02-24
25.709999084472656,2016-02-25
26.200000762939453,2016-02-26
25.40999984741211,2016-02-29
26.700000762939453,2016-03-01
26.43000030517578,2016-03-02
27.010000228881836,2016-03-03
27.889999389648438,2016-03-04
27.950000762939453,2016-03-07
26.719999313354492,2016-03-08
26.780000686645508,2016-03-09
26.540000915527344,2016-03-10
27.719999313354492,2016-03-11
27.889999389648438,2016-03-14
26.940000534057617,2016-03-15
27.25,2016-03-16
27.81999969482422,2016-03-17
28.6200008392334,2016-03-18
28.860000610351562,2016-03-21
29.510000228881836,2016-03-22
28.5,2016-03-23
28.040000915527344,2016-03-24
28.139999389648438,2016-03-28
28.579999923706055,2016-03-29
28.690000534057617,2016-03-30
28.81999969482422,2016-03-31
29.110000610351562,2016-04-01
29.239999771118164,2016-04-04
28.889999389648438,2016-04-05
28.889999389648438,2016-04-06
28.040000915527344,2016-04-07
28.65999984741211,2016-04-08
28.389999389648438,2016-04-11
29.020000457763672,2016-04-12
30.149999618530273,2016-04-13
30.3700008392334,2016-04-14
30.40999984741211,2016-04-15
30.709999084472656,2016-04-18
30.6200008392334,2016-04-19
30.68000030517578,2016-04-20
30.1299991607666,2016-04-21
30.520000457763672,2016-04-22
30.010000228881836,2016-04-25
30.3799991607666,2016-04-26
30.600000381469727,2016-04-27
30.8799991607666,2016-04-28
29.6299991607666,2016-04-29
30.040000915527344,2016-05-02
29.329999923706055,2016-05-03
29.40999984741211,2016-05-04
29.559999465942383,2016-05-05
29.34000015258789,2016-05-06
29.030000686645508,2016-05-09
29.34000015258789,2016-05-10
29.280000686645508,2016-05-11
28.809999465942383,2016-05-12
28.68000030517578,2016-05-13
28.43000030517578,2016-05-16
28.309999465942383,2016-05-17
28.290000915527344,2016-05-18
27.760000228881836,2016-05-19
28.799999237060547,2016-05-20
28.610000610351562,2016-05-23
29.18000030517578,2016-05-24
30.0,2016-05-25
29.389999389648438,2016-05-26
29.559999465942383,2016-05-27
29.850000381469727,2016-05-31
30.030000686645508,2016-06-01
30.190000534057617,2016-06-02
30.149999618530273,2016-06-03
30.649999618530273,2016-06-06
30.969999313354492,2016-06-07
31.040000915527344,2016-06-08
30.75,2016-06-09
29.799999237060547,2016-06-10
29.399999618530273,2016-06-13
28.600000381469727,2016-06-14
28.690000534057617,2016-06-15
28.350000381469727,2016-06-16
28.110000610351562,2016-06-17
29.43000030517578,2016-06-20
29.100000381469727,2016-06-21
29.229999542236328,2016-06-22
30.010000228881836,2016-06-23
27.309999465942383,2016-06-24
24.8799991607666,2016-06-27
25.690000534057617,2016-06-28
26.5,2016-06-29
26.479999542236328,2016-06-30
25.93000030517578,2016-07-01
24.540000915527344,2016-07-05
24.75,2016-07-06
24.6200008392334,2016-07-07
26.200000762939453,2016-07-08
26.670000076293945,2016-07-11
27.530000686645508,2016-07-12
27.5,2016-07-13
