CB,Date
19.04982566833496,2002-06-27
20.065814971923828,2002-06-28
19.20857810974121,2002-07-01
18.510072708129883,2002-07-02
18.821226119995117,2002-07-03
19.443523406982422,2002-07-05
19.081575393676758,2002-07-08
18.891077041625977,2002-07-09
17.652841567993164,2002-07-10
18.592628479003906,2002-07-11
18.73232650756836,2002-07-12
18.54183006286621,2002-07-15
18.186235427856445,2002-07-16
17.792522430419922,2002-07-17
16.12885093688965,2002-07-18
16.38284683227539,2002-07-19
15.716105461120605,2002-07-22
14.808063507080078,2002-07-23
15.398611068725586,2002-07-24
15.620853424072266,2002-07-25
17.011493682861328,2002-07-26
18.44022560119629,2002-07-29
19.24032211303711,2002-07-30
20.11025619506836,2002-07-31
20.18011474609375,2002-08-01
19.748319625854492,2002-08-02
18.446577072143555,2002-08-05
19.23397445678711,2002-08-06
18.71327018737793,2002-08-07
20.20551872253418,2002-08-08
20.15471076965332,2002-08-09
20.503963470458984,2002-08-12
20.167409896850586,2002-08-13
20.68810272216797,2002-08-14
21.050050735473633,2002-08-15
20.85955810546875,2002-08-16
21.145301818847656,2002-08-19
20.923051834106445,2002-08-20
20.75796127319336,2002-08-21
21.58980941772461,2002-08-22
21.043701171875,2002-08-23
21.488201141357422,2002-08-26
20.738908767700195,2002-08-27
20.54205894470215,2002-08-28
20.13566017150879,2002-08-29
20.199172973632812,2002-08-30
19.386369705200195,2002-09-03
19.456212997436523,2002-09-04
19.538774490356445,2002-09-05
19.74196434020996,2002-09-06
20.122962951660156,2002-09-09
19.913414001464844,2002-09-10
19.951515197753906,2002-09-11
20.865909576416016,2002-09-12
21.284996032714844,2002-09-13
21.189754486083984,2002-09-16
20.732561111450195,2002-09-17
20.713504791259766,2002-09-18
20.065814971923828,2002-09-19
20.32615852355957,2002-09-20
19.678468704223633,2002-09-23
19.011722564697266,2002-09-24
18.986177444458008,2002-09-25
19.92495346069336,2002-09-26
19.126678466796875,2002-09-27
18.909543991088867,2002-09-30
19.541778564453125,2002-10-01
18.104888916015625,2002-10-02
18.36672019958496,2002-10-03
18.411422729492188,2002-10-04
17.517351150512695,2002-10-07
18.954252243041992,2002-10-08
17.977153778076172,2002-10-09
19.477920532226562,2002-10-10
20.697683334350586,2002-10-11
19.471538543701172,2002-10-14
21.23412322998047,2002-10-15
21.042537689208984,2002-10-16
22.160118103027344,2002-10-17
22.192052841186523,2002-10-18
23.245769500732422,2002-10-21
